ID_Produto,Produto,Categoria,Preco_Unitario,Quantidade_Vendida,Receita_Total
1,Produto_1,Carnes,3.2,30,96.0
2,Produto_2,Hortifruti,29.28,29,849.12
3,Produto_3,Laticínios,27.45,193,5297.85
4,Produto_4,Bebidas,26.09,144,3756.96
5,Produto_5,Congelados,19.9,163,3243.7
6,Produto_6,Congelados,39.64,10,396.4
7,Produto_7,Laticínios,29.69,50,1484.5
8,Produto_8,Hortifruti,46.01,27,1242.27
9,Produto_9,Laticínios,29.02,43,1247.86
10,Produto_10,Congelados,49.18,125,6147.5
11,Produto_11,Laticínios,23.09,188,4340.92
12,Produto_12,Bebidas,47.17,99,4669.83
13,Produto_13,Bebidas,34.88,93,3243.84
14,Produto_14,Carnes,35.9,122,4379.8
15,Produto_15,Congelados,35.81,117,4189.77
16,Produto_16,Laticínios,21.72,12,260.64
17,Produto_17,Hortifruti,2.45,176,431.2
18,Produto_18,Congelados,41.13,98,4030.74
19,Produto_19,Hortifruti,27.27,170,4635.9
20,Produto_20,Congelados,33.15,140,4641.0
