ID_Residencia,Regiao,Mes,Consumo_kWh,Custo_Total
1,Oeste,2024-01,356,196.57
2,Oeste,2024-02,570,160.28
3,Leste,2024-03,235,446.6
4,Oeste,2024-04,343,58.66
5,Norte,2024-05,616,263.0
6,Norte,2024-06,630,290.12
7,Norte,2024-07,283,139.77
8,Norte,2024-08,124,477.76
9,Oeste,2024-09,569,294.99
10,Oeste,2024-10,728,120.35
11,Sul,2024-11,164,126.56
12,Norte,2024-12,935,419.59
13,Oeste,2025-01,614,211.98
14,Oeste,2025-02,301,255.65
15,Norte,2025-03,189,439.28
16,Norte,2025-04,406,256.81
17,Norte,2025-05,576,350.23
18,Sul,2025-06,607,263.87
19,Norte,2025-07,714,487.6
20,Sul,2025-08,928,376.93
