ID_Pedido,Data_Compra,Categoria_Produto,Valor_Venda,Metodo_Pagamento
1,2024-01-01,Beleza,306.15,Pix
2,2024-01-02,Casa,996.99,Pix
3,2024-01-03,Beleza,401.0,Boleto
4,2024-01-04,Beleza,741.86,Pix
5,2024-01-05,Casa,617.07,Cartão de Crédito
6,2024-01-06,Eletrônicos,104.56,Boleto
7,2024-01-07,Casa,500.94,Pix
8,2024-01-08,Beleza,182.73,Pix
9,2024-01-09,Moda,999.44,Débito
10,2024-01-10,Livros,954.27,Cartão de Crédito
11,2024-01-11,Beleza,570.55,Débito
12,2024-01-12,Eletrônicos,806.83,Boleto
13,2024-01-13,Livros,218.98,Débito
14,2024-01-14,Beleza,721.4,Boleto
15,2024-01-15,Livros,171.77,Pix
16,2024-01-16,Moda,104.22,Boleto
17,2024-01-17,Livros,252.98,Boleto
18,2024-01-18,Moda,300.64,Boleto
19,2024-01-19,Eletrônicos,266.19,Débito
20,2024-01-20,Beleza,950.64,Pix
