ID_Venda,Data,Produto,Categoria,Quantidade,Preço_Unitário,Total_Venda
1,2024-01-01,Smartphone,Eletrônicos,2,1549.59,3099.18
2,2024-01-02,Monitor,Acessórios,3,1269.22,3807.66
3,2024-01-03,Tablet,Eletrônicos,2,1189.13,2378.26
4,2024-01-04,Notebook,Acessórios,4,1792.52,7170.08
5,2024-01-05,Smartphone,Eletrônicos,4,1328.04,5312.16
6,2024-01-06,Tablet,,4,689.65,2758.6
7,2024-01-07,Monitor,Eletrônicos,2,1680.42,3360.84
8,2024-01-08,Smartphone,Acessórios,2,1379.66,2759.32
9,2024-01-09,Tablet,Acessórios,1,1489.74,1489.74
10,2024-01-10,Tablet,Acessórios,3,299.41,898.23
11,2024-01-11,Tablet,Eletrônicos,4,1590.4,6361.6
12,2024-01-12,Tablet,Informática,3,839.86,2519.58
13,2024-01-13,Monitor,Acessórios,3,,2272.95
14,2024-01-14,Tablet,Eletrônicos,4,241.53,966.12
15,2024-01-15,Tablet,Informática,4,1395.61,5582.44
16,2024-01-16,Monitor,Eletrônicos,1,1402.4,1402.4
17,2024-01-17,Monitor,Eletrônicos,2,708.96,1417.92
18,2024-01-18,Monitor,Eletrônicos,2,818.27,1636.54
19,2024-01-19,Smartphone,Eletrônicos,1,1612.36,1612.36
20,2024-01-20,Smartphone,Acessórios,1,1959.17,1959.17
