Data,Painel_ID,Regiao,Horas_Sol,Energia_Gerada_kWh,Temperatura_C,Umidade_Relativa
2024-03-12,P05,Leste,8.2,7.91,37.3,48.0
2024-03-13,P02,Sul,3.5,7.64,26.6,75.5
2024-03-08,P04,Leste,8.9,11.89,31.1,48.3
2024-03-07,P02,Sul,5.3,9.43,31.8,81.9
2024-03-11,P06,Norte,6.1,10.94,37.0,48.7
2024-03-11,P09,Oeste,3.5,7.36,31.4,26.7
2024-03-17,P02,Oeste,4.5,4.83,21.7,53.8
2024-03-09,P04,Norte,9.6,3.91,31.0,73.9
2024-03-14,P08,Oeste,6.1,5.31,34.3,30.1
2024-03-12,P01,Norte,3.6,7.15,34.8,33.1
2024-03-01,P04,Norte,6.6,2.89,27.3,68.3
2024-03-05,P01,Sul,7.2,12.4,31.4,88.9
2024-03-14,P08,Oeste,8.9,2.89,36.4,31.4
2024-03-11,P02,Sul,5.7,2.48,27.9,89.8
2024-03-11,P05,Oeste,9.7,4.59,27.2,51.3
2024-03-01,P06,Norte,4.0,4.89,37.2,74.2
2024-03-06,P05,Norte,6.4,5.44,37.8,65.4
2024-03-06,P04,Oeste,5.5,2.19,36.9,87.6
2024-03-06,P09,Oeste,4.6,7.01,37.2,79.5
2024-03-10,P07,Sul,7.0,10.88,23.1,45.7
2024-03-09,P10,Sul,3.1,3.28,30.3,40.8
2024-03-08,P01,Sul,6.2,11.03,27.9,58.9
2024-03-04,P09,Leste,6.1,3.19,27.6,50.5
2024-03-16,P05,Norte,8.0,13.44,24.7,37.5
2024-03-05,P04,Leste,4.7,7.82,27.2,55.2
2024-03-14,P07,Sul,4.1,9.34,28.0,53.3
2024-03-14,P07,Norte,4.0,7.48,19.4,66.6
2024-03-18,P09,Leste,9.9,12.44,24.9,89.6
2024-03-01,P03,Leste,5.9,6.38,23.7,57.0
2024-03-10,P10,Sul,9.7,6.24,25.4,88.9
2024-03-12,P08,Leste,9.2,3.49,34.6,78.3
2024-03-19,P02,Oeste,5.8,12.63,28.6,44.7
2024-03-02,P01,Leste,5.6,3.31,22.2,58.4
2024-03-08,P05,Oeste,7.5,3.24,23.5,83.7
2024-03-09,P09,Norte,9.5,11.06,36.5,45.2
2024-03-11,P02,Leste,8.5,14.2,20.9,35.4
2024-03-14,P07,Sul,6.1,3.28,25.6,87.5
2024-03-16,P09,Norte,6.2,5.82,27.5,37.8
2024-03-20,P03,Norte,4.4,3.69,29.2,84.1
2024-03-02,P06,Norte,7.1,7.17,37.5,25.5
2024-03-12,P02,Leste,3.0,9.38,26.4,32.4
2024-03-14,P03,Oeste,6.8,12.79,24.6,71.9
2024-03-18,P01,Sul,3.2,7.57,34.6,87.2
2024-03-06,P01,Sul,6.4,12.1,37.3,40.2
2024-03-14,P04,Oeste,7.0,7.17,19.2,48.9
2024-03-16,P04,Norte,8.3,8.1,37.9,54.4
2024-03-10,P04,Oeste,6.4,7.88,32.7,54.1
2024-03-14,P07,Leste,7.3,5.05,21.7,64.9
2024-03-04,P09,Leste,6.6,6.15,20.2,89.5
2024-03-11,P03,Leste,4.5,14.64,19.5,66.5
2024-03-15,P03,Oeste,4.8,3.12,30.3,86.7
2024-03-15,P05,Oeste,5.8,10.22,24.3,59.5
2024-03-15,P08,Oeste,5.3,3.85,28.5,24.1
2024-03-10,P08,Oeste,6.8,8.63,21.6,55.1
2024-03-15,P06,Leste,5.6,4.5,37.3,69.6
2024-03-05,P07,Sul,9.7,2.33,29.5,58.2
2024-03-19,P10,Norte,7.0,8.66,34.7,54.5
2024-03-17,P04,Leste,6.1,7.78,24.7,25.1
2024-03-06,P09,Leste,10.0,10.73,36.1,66.2
2024-03-02,P06,Leste,4.2,5.2,27.0,47.6
