ID_Transacao,Data,Hora,Cliente_ID,Valor_R$,Categoria,Cidade,Bandeira_Cartao,Parcelado,Transacao_Internacional
T0001,2024-02-08,14:00,C010,1608.02,Transporte,Porto Alegre,Amex,Não,False
T0002,2024-02-09,23:00,C027,872.69,Restaurante,Campinas,Mastercard,Não,False
T0003,2024-02-07,09:30,C003,435.87,Restaurante,Campinas,Mastercard,Não,False
T0004,2024-02-15,23:30,C029,297.4,Supermercado,Fortaleza,Mastercard,Não,False
T0005,2024-02-24,12:30,C024,676.65,Supermercado,São Paulo,Mastercard,Sim,True
T0006,2024-02-28,19:00,C043,1259.86,Vestuário,Brasília,Elo,Não,False
T0007,2024-02-29,23:00,C024,1988.88,Tecnologia,Campinas,Visa,Não,False
T0008,2024-02-20,02:30,C017,1860.79,Restaurante,Campinas,Mastercard,Não,True
T0009,2024-03-01,02:30,C024,456.31,Restaurante,Campinas,Visa,Não,True
T0010,2024-03-01,16:00,C024,75.55,Supermercado,São Paulo,Amex,Sim,True
T0011,2024-02-03,11:30,C026,1281.7,Transporte,Brasília,Amex,Sim,False
T0012,2024-02-05,02:00,C010,302.68,Vestuário,Fortaleza,Elo,Não,False
T0013,2024-02-13,13:30,C005,1087.45,Vestuário,Fortaleza,Amex,Sim,False
T0014,2024-02-27,12:30,C028,1214.31,Tecnologia,São Paulo,Elo,Não,False
T0015,2024-02-15,02:00,C044,407.83,Vestuário,Recife,Visa,Não,False
T0016,2024-02-10,11:00,C011,431.88,Restaurante,Fortaleza,Elo,Sim,True
T0017,2024-02-18,06:30,C025,1577.99,Supermercado,Recife,Visa,Não,False
T0018,2024-02-08,21:30,C047,1146.79,Transporte,Campinas,Amex,Não,False
T0019,2024-02-20,02:30,C047,848.28,Tecnologia,Brasília,Visa,Sim,False
T0020,2024-02-28,17:30,C048,1971.01,Restaurante,Fortaleza,Amex,Não,False
T0021,2024-03-01,03:30,C043,318.8,Transporte,Porto Alegre,Elo,Não,False
T0022,2024-02-14,09:30,C007,1033.69,Tecnologia,Campinas,Visa,Não,True
T0023,2024-02-12,22:30,C050,244.6,Tecnologia,Porto Alegre,Visa,Não,False
T0024,2024-02-04,17:30,C028,821.47,Tecnologia,Porto Alegre,Amex,Não,False
T0025,2024-02-23,20:00,C038,1291.29,Transporte,Porto Alegre,Mastercard,Sim,False
T0026,2024-02-27,18:30,C050,1509.7,Supermercado,Fortaleza,Visa,Não,False
T0027,2024-02-19,16:30,C045,22.51,Vestuário,Porto Alegre,Elo,Não,False
T0028,2024-02-16,09:30,C028,672.8,Supermercado,Porto Alegre,Mastercard,Sim,False
T0029,2024-02-05,11:00,C001,1366.63,Tecnologia,Fortaleza,Amex,Não,True
T0030,2024-02-05,23:30,C047,769.51,Tecnologia,Porto Alegre,Elo,Não,False
T0031,2024-02-11,09:00,C045,1182.36,Restaurante,Fortaleza,Elo,Sim,False
T0032,2024-02-20,08:00,C031,1161.95,Farmácia,Recife,Mastercard,Sim,False
T0033,2024-02-20,10:30,C001,746.91,Transporte,Campinas,Mastercard,Não,True
T0034,2024-02-27,09:00,C035,756.05,Farmácia,Porto Alegre,Elo,Sim,False
T0035,2024-02-12,04:00,C011,1717.01,Farmácia,Brasília,Amex,Não,False
T0036,2024-02-01,08:30,C013,293.75,Tecnologia,Porto Alegre,Mastercard,Não,False
T0037,2024-02-01,01:30,C050,30.56,Supermercado,Campinas,Amex,Sim,False
T0038,2024-02-13,13:30,C028,296.77,Farmácia,Campinas,Amex,Não,False
T0039,2024-02-12,02:00,C038,864.08,Transporte,Porto Alegre,Visa,Não,True
T0040,2024-02-15,06:30,C041,1688.09,Vestuário,Campinas,Visa,Não,False
T0041,2024-02-17,08:30,C015,1582.78,Supermercado,Recife,Visa,Não,False
T0042,2024-02-29,10:30,C021,478.72,Transporte,Brasília,Amex,Não,False
T0043,2024-02-21,22:30,C002,90.19,Transporte,Porto Alegre,Visa,Não,False
T0044,2024-02-02,03:00,C017,600.67,Farmácia,Campinas,Visa,Não,False
T0045,2024-02-22,05:30,C036,1277.28,Supermercado,Fortaleza,Amex,Sim,False
T0046,2024-02-06,00:30,C003,1819.69,Transporte,Campinas,Amex,Sim,False
T0047,2024-02-12,14:30,C012,1496.68,Farmácia,Brasília,Visa,Sim,False
T0048,2024-02-14,03:30,C029,1672.37,Transporte,Fortaleza,Mastercard,Não,True
T0049,2024-02-08,06:00,C028,1080.8,Vestuário,Porto Alegre,Elo,Não,True
T0050,2024-02-03,07:30,C004,1597.22,Supermercado,Recife,Mastercard,Não,False
T0051,2024-02-04,17:30,C043,1516.76,Transporte,Recife,Amex,Sim,False
T0052,2024-02-05,12:00,C034,1088.34,Transporte,Campinas,Visa,Sim,False
T0053,2024-02-18,22:00,C047,941.68,Vestuário,Brasília,Elo,Sim,False
T0054,2024-02-06,02:30,C024,367.32,Supermercado,Porto Alegre,Visa,Não,False
T0055,2024-02-18,05:30,C035,1850.26,Vestuário,Campinas,Mastercard,Não,False
T0056,2024-02-29,20:00,C027,139.95,Vestuário,São Paulo,Elo,Não,True
T0057,2024-02-24,03:00,C015,1051.98,Vestuário,Recife,Elo,Sim,False
T0058,2024-02-26,22:30,C049,974.4,Transporte,Porto Alegre,Elo,Sim,False
T0059,2024-02-14,10:00,C038,1210.42,Transporte,Recife,Visa,Não,False
T0060,2024-02-27,00:00,C018,263.16,Tecnologia,Brasília,Amex,Sim,False
T0061,2024-02-22,13:30,C047,154.07,Transporte,Fortaleza,Mastercard,Sim,False
T0062,2024-02-03,14:00,C015,982.4,Supermercado,Brasília,Visa,Sim,False
T0063,2024-02-29,22:30,C042,1716.21,Restaurante,Porto Alegre,Mastercard,Não,False
T0064,2024-02-11,20:00,C021,241.49,Farmácia,Porto Alegre,Mastercard,Não,False
T0065,2024-02-28,11:30,C032,517.31,Farmácia,Brasília,Visa,Sim,False
T0066,2024-02-04,09:30,C022,252.92,Tecnologia,Porto Alegre,Amex,Sim,False
T0067,2024-02-08,10:30,C018,1402.75,Supermercado,São Paulo,Mastercard,Não,True
T0068,2024-02-11,16:30,C043,739.29,Supermercado,São Paulo,Amex,Sim,False
T0069,2024-03-01,22:30,C023,973.84,Transporte,São Paulo,Mastercard,Não,True
T0070,2024-02-05,16:00,C039,1595.86,Vestuário,São Paulo,Mastercard,Não,False
T0071,2024-02-07,15:30,C032,1175.68,Vestuário,Campinas,Elo,Não,True
T0072,2024-02-18,03:30,C003,1591.0,Tecnologia,Recife,Visa,Não,False
T0073,2024-02-17,02:30,C035,798.24,Supermercado,São Paulo,Amex,Sim,True
T0074,2024-02-14,04:30,C027,733.26,Vestuário,São Paulo,Elo,Não,False
T0075,2024-03-01,18:30,C028,386.13,Tecnologia,Campinas,Elo,Sim,True
T0076,2024-02-04,00:00,C015,273.35,Supermercado,São Paulo,Visa,Não,False
T0077,2024-02-14,19:00,C033,636.37,Vestuário,Fortaleza,Amex,Não,False
T0078,2024-02-01,18:00,C042,405.81,Restaurante,São Paulo,Amex,Sim,False
T0079,2024-02-21,08:00,C020,657.77,Farmácia,Fortaleza,Elo,Sim,False
T0080,2024-02-16,10:00,C007,1808.08,Vestuário,Campinas,Elo,Sim,False
T0081,2024-02-25,14:00,C024,327.62,Restaurante,São Paulo,Mastercard,Não,False
T0082,2024-02-17,03:30,C039,1948.24,Restaurante,Fortaleza,Elo,Não,False
T0083,2024-02-19,16:30,C012,952.22,Tecnologia,Brasília,Mastercard,Não,False
T0084,2024-02-05,17:00,C026,297.65,Restaurante,Porto Alegre,Elo,Sim,False
T0085,2024-02-29,17:30,C026,1350.54,Restaurante,Fortaleza,Visa,Não,False
T0086,2024-02-29,03:30,C008,1708.05,Transporte,Campinas,Mastercard,Sim,False
T0087,2024-02-14,07:30,C041,838.18,Supermercado,São Paulo,Amex,Sim,False
T0088,2024-02-22,18:00,C013,555.69,Farmácia,Fortaleza,Amex,Não,False
T0089,2024-02-06,07:30,C030,1956.92,Farmácia,Brasília,Amex,Não,False
T0090,2024-02-08,07:30,C049,634.74,Tecnologia,Brasília,Amex,Não,False
T0091,2024-02-28,07:30,C021,1865.03,Supermercado,Fortaleza,Elo,Sim,False
T0092,2024-02-06,21:00,C050,39.11,Tecnologia,Fortaleza,Visa,Não,False
T0093,2024-02-11,00:00,C035,986.35,Transporte,Brasília,Amex,Não,False
T0094,2024-02-22,04:30,C044,1751.02,Restaurante,São Paulo,Visa,Não,False
T0095,2024-02-08,02:30,C010,1186.13,Transporte,Porto Alegre,Mastercard,Sim,False
T0096,2024-02-24,21:00,C002,1322.92,Farmácia,Campinas,Mastercard,Sim,False
T0097,2024-02-10,14:00,C012,417.07,Farmácia,Campinas,Amex,Não,False
T0098,2024-02-04,07:00,C045,707.34,Tecnologia,Porto Alegre,Elo,Sim,False
T0099,2024-02-05,06:00,C001,1286.62,Supermercado,São Paulo,Elo,Sim,True
T0100,2024-02-01,01:00,C025,574.43,Farmácia,São Paulo,Elo,Sim,False
