ID_Usuario,Data_Acesso,Hora_Acesso,Sessao_ID,Secao_Visitada,Dispositivo,Tempo_Sessao_segundos
U033,2024-01-18,09:30,S0001,Política,Desktop,84
U020,2024-01-03,02:45,S0002,Tecnologia,Mobile,185
U008,2024-01-04,20:30,S0003,Economia,Tablet,423
U012,2024-01-15,09:30,S0004,Política,Mobile,57
U042,2024-01-29,00:15,S0005,Tecnologia,Mobile,15
U047,2024-01-05,01:45,S0006,Economia,Mobile,73
U031,2024-01-16,18:15,S0007,Internacional,Mobile,825
U002,2024-01-02,10:45,S0008,Economia,Tablet,199
U046,2024-01-08,00:15,S0009,Economia,Desktop,756
U055,2024-01-24,14:00,S0010,Tecnologia,Mobile,94
U002,2024-01-05,03:45,S0011,Tecnologia,Mobile,20
U036,2024-01-05,03:15,S0012,Economia,Tablet,279
U001,2024-01-23,22:30,S0013,Esportes,Desktop,33
U055,2024-01-02,07:45,S0014,Entretenimento,Tablet,46
U026,2024-01-11,17:15,S0015,Economia,Mobile,187
U042,2024-01-15,20:00,S0016,Economia,Mobile,92
U012,2024-01-24,22:00,S0017,Esportes,Desktop,254
U003,2024-01-28,17:15,S0018,Esportes,Desktop,3
U043,2024-01-09,00:15,S0019,Economia,Mobile,107
U006,2024-01-27,13:15,S0020,Economia,Mobile,570
U054,2024-01-03,15:15,S0021,Política,Desktop,489
U002,2024-01-29,16:30,S0022,Entretenimento,Desktop,186
U029,2024-01-02,20:30,S0023,Tecnologia,Desktop,63
U032,2024-01-10,13:30,S0024,Tecnologia,Desktop,389
U004,2024-01-19,02:45,S0025,Política,Desktop,21
U036,2024-01-07,16:00,S0026,Tecnologia,Tablet,154
U037,2024-01-29,00:15,S0027,Economia,Tablet,24
U005,2024-01-15,16:00,S0028,Internacional,Desktop,130
U025,2024-01-30,14:15,S0029,Internacional,Mobile,252
U020,2024-01-23,00:30,S0030,Política,Tablet,50
U038,2024-01-06,20:30,S0031,Entretenimento,Mobile,89
U045,2024-01-24,21:00,S0032,Política,Mobile,449
U045,2024-01-16,08:15,S0033,Tecnologia,Tablet,108
U029,2024-01-16,04:30,S0034,Economia,Tablet,101
U002,2024-01-05,13:30,S0035,Internacional,Mobile,85
U028,2024-01-13,11:15,S0036,Economia,Mobile,188
U046,2024-01-03,00:15,S0037,Economia,Desktop,421
U056,2024-01-03,12:15,S0038,Entretenimento,Mobile,56
U035,2024-01-10,10:45,S0039,Tecnologia,Mobile,406
U014,2024-01-03,10:30,S0040,Internacional,Mobile,573
U047,2024-01-19,19:15,S0041,Internacional,Tablet,200
U033,2024-01-14,05:15,S0042,Política,Tablet,531
U038,2024-01-14,20:15,S0043,Internacional,Tablet,138
U030,2024-01-25,21:15,S0044,Tecnologia,Desktop,200
U014,2024-01-02,23:15,S0045,Tecnologia,Desktop,42
U043,2024-01-01,03:15,S0046,Entretenimento,Tablet,129
U033,2024-01-22,15:15,S0047,Tecnologia,Desktop,17
U001,2024-01-22,16:15,S0048,Esportes,Desktop,87
U038,2024-01-02,18:30,S0049,Internacional,Desktop,231
U002,2024-01-28,16:30,S0050,Internacional,Tablet,1582
U051,2024-01-07,17:30,S0051,Entretenimento,Mobile,637
U048,2024-01-19,17:30,S0052,Economia,Desktop,186
