Ano,Município,Cultura,Área_plantada_ha,Produtividade_t/ha,Produção_total_t
2021,Anápolis,Soja,8574,3.19,27351.06
2023,Cristalina,Cana-de-Açúcar,5861,2.44,14300.84
2023,Luziânia,Cana-de-Açúcar,6772,3.97,26884.84
2021,Jataí,Algodão,4161,3.36,13980.96
2021,Cristalina,Trigo,3036,4.32,13115.52
2021,Rio Verde,Soja,5819,3.15,18329.85
2022,Jataí,Milho,4749,2.31,10970.19
2019,Rio Verde,Trigo,4605,2.38,10959.9
2022,Luziânia,Trigo,7885,2.58,20343.3
2020,Rio Verde,Cana-de-Açúcar,982,3.02,2965.64
2020,Jataí,Algodão,8349,2.55,21289.95
2023,Luziânia,Cana-de-Açúcar,6636,3.58,23756.88
2021,Catalão,Algodão,6366,4.12,26227.92
2023,Cristalina,Soja,3739,3.93,14694.27
2023,Anápolis,Soja,4631,3.2,14819.2
2019,Jataí,Soja,1377,3.61,4970.97
2023,Catalão,Soja,3849,1.65,6350.85
2023,Catalão,Cana-de-Açúcar,3920,3.32,13014.4
2021,Jataí,Trigo,6838,3.67,25095.46
2020,Rio Verde,Trigo,8587,2.25,19320.75
2021,Catalão,Algodão,2404,3.15,7572.6
2022,Rio Verde,Trigo,523,3.52,1840.96
2023,Formosa,Soja,887,3.07,2723.09
2023,Formosa,Trigo,2569,1.8,4624.2
2023,Rio Verde,Soja,2778,4.01,11139.78
2022,Rio Verde,Cana-de-Açúcar,6554,4.4,28837.6
2022,Jataí,Soja,5463,3.51,19175.13
2019,Luziânia,Trigo,5962,4.36,25994.32
2023,Jataí,Trigo,8128,1.58,12842.24
2022,Anápolis,Soja,8288,2.95,24449.6
2022,Anápolis,Soja,2278,2.88,6560.64
2022,Luziânia,Algodão,2962,2.71,8027.02
2023,Catalão,Algodão,2667,2.54,6774.18
2023,Rio Verde,Cana-de-Açúcar,2677,3.97,10627.69
2019,Anápolis,Trigo,5861,2.21,12952.81
2022,Formosa,Algodão,3501,3.31,11588.31
2021,Rio Verde,Soja,3378,3.0,10134.0
2022,Formosa,Cana-de-Açúcar,4959,1.67,8281.53
2020,Catalão,Trigo,6234,2.62,16333.08
2022,Formosa,Algodão,5150,2.48,12772.0
2019,Rio Verde,Trigo,1286,4.33,5568.38
2021,Jataí,Cana-de-Açúcar,7038,4.21,29629.98
2021,Cristalina,Milho,8760,2.78,24352.8
2021,Catalão,Milho,6951,4.27,29680.77
2019,Anápolis,Milho,5366,1.89,10141.74
2019,Anápolis,Trigo,6183,2.08,12860.64
2020,Luziânia,Soja,2692,3.41,9179.72
2023,Catalão,Cana-de-Açúcar,2956,4.13,12208.28
2020,Catalão,Trigo,8754,4.02,35191.08
2020,Formosa,Milho,8220,3.11,25564.2
2020,Luziânia,Milho,8341,2.54,21186.14
2021,Cristalina,Milho,6222,2.07,12879.54
2019,Rio Verde,Milho,7550,3.49,26349.5
2021,Jataí,Milho,7939,3.72,29533.08
2022,Rio Verde,Trigo,2881,2.91,8383.71
2020,Jataí,Cana-de-Açúcar,1575,2.87,4520.25
2020,Anápolis,Trigo,1756,1.64,2879.84
2022,Formosa,Milho,7793,2.23,17378.39
2022,Rio Verde,Algodão,9761,3.08,30063.88
2019,Luziânia,Soja,2030,2.05,4161.5
2021,Anápolis,Soja,9839,2.41,23711.99
2023,Anápolis,Algodão,3124,1.92,5998.08
2023,Cristalina,Trigo,6931,2.87,19891.97
2023,Jataí,Trigo,2889,1.96,5662.44
2022,Anápolis,Trigo,3418,3.11,10629.98
2020,Luziânia,Trigo,5527,3.53,19510.31
2022,Formosa,Milho,4890,3.04,14865.6
2019,Jataí,Soja,979,3.08,3015.32
2022,Luziânia,Soja,9154,3.18,29109.72
2019,Rio Verde,Soja,4051,4.34,17581.34
2022,Rio Verde,Algodão,1965,4.27,8390.55
2019,Jataí,Trigo,9309,3.31,30812.79
2022,Jataí,Milho,4613,1.96,9041.48
2019,Catalão,Soja,9860,3.82,37665.2
2019,Cristalina,Algodão,3360,3.39,11390.4
2020,Anápolis,Algodão,799,3.37,2692.63
2020,Cristalina,Soja,7239,1.65,11944.35
2023,Cristalina,Algodão,6105,1.64,10012.2
2020,Anápolis,Trigo,5351,1.69,9043.19
2019,Luziânia,Milho,7270,3.51,25517.7
2021,Jataí,Soja,2856,4.37,12480.72
2021,Anápolis,Soja,5066,2.21,11195.86
2020,Rio Verde,Milho,2429,3.62,8792.98
2023,Jataí,Trigo,3615,3.67,13267.05
2020,Catalão,Algodão,7090,3.36,23822.4
2022,Rio Verde,Algodão,4683,3.97,18591.51
2021,Anápolis,Trigo,8977,1.58,14183.66
2023,Anápolis,Soja,6506,1.63,10604.78
2019,Luziânia,Cana-de-Açúcar,9513,4.13,39288.69
2020,Formosa,Algodão,2899,3.78,10958.22
2019,Cristalina,Algodão,1613,3.55,5726.15
2023,Formosa,Algodão,4264,1.94,8272.16
2022,Cristalina,Trigo,2877,3.19,9177.63
2019,Catalão,Trigo,7210,3.26,23504.6
2019,Anápolis,Milho,3425,3.18,10891.5
2023,Jataí,Algodão,1644,4.32,7102.08
2019,Catalão,Algodão,7546,1.89,14261.94
2020,Formosa,Algodão,4101,2.95,12097.95
2021,Cristalina,Milho,2694,2.38,6411.72
2023,Formosa,Algodão,1578,4.07,6422.46
