Curso,Categoria,Avaliação,Carga_Horaria_h,Total_Alunos
Python para Iniciantes,Dados,1.2,1,406
SQL e Banco de Dados,Tecnologia,4.2,1,978
Análise de Dados com Pandas,Tecnologia,4.0,9,972
Python para Iniciantes,Negócios,1.2,35,859
Power BI Essencial,Dados,2.2,23,365
Power BI Essencial,Tecnologia,3.3,28,959
SQL e Banco de Dados,Negócios,3.2,38,184
Machine Learning Básico,Tecnologia,3.5,14,607
Análise de Dados com Pandas,Negócios,2.8,20,703
SQL e Banco de Dados,Design,2.0,10,69
SQL e Banco de Dados,Tecnologia,2.8,5,538
Machine Learning Básico,Design,2.8,45,951
Power BI Essencial,Dados,1.1,41,658
Power BI Essencial,Negócios,4.4,36,279
Machine Learning Básico,Design,3.0,19,797
Python para Iniciantes,Tecnologia,3.1,32,85
SQL e Banco de Dados,Negócios,1.6,47,621
SQL e Banco de Dados,Dados,3.2,37,438
Machine Learning Básico,Dados,1.6,34,81
SQL e Banco de Dados,Tecnologia,3.3,36,832
Machine Learning Básico,Dados,2.8,27,578
Machine Learning Básico,Tecnologia,2.3,29,625
Python para Iniciantes,Dados,1.4,18,606
SQL e Banco de Dados,Tecnologia,4.5,2,363
Machine Learning Básico,Design,3.5,34,217
Machine Learning Básico,Tecnologia,4.2,18,333
Python para Iniciantes,Tecnologia,2.8,6,884
Python para Iniciantes,Negócios,2.1,48,292
SQL e Banco de Dados,Dados,3.0,42,814
Power BI Essencial,Negócios,3.8,40,414
Power BI Essencial,Dados,4.8,33,445
Machine Learning Básico,Negócios,4.8,22,517
Machine Learning Básico,Negócios,4.7,13,922
Machine Learning Básico,Negócios,4.4,34,975
Machine Learning Básico,Dados,4.8,25,380
Power BI Essencial,Dados,1.4,32,150
Power BI Essencial,Tecnologia,2.1,43,555
SQL e Banco de Dados,Design,3.2,16,516
Power BI Essencial,Design,4.8,23,257
Power BI Essencial,Negócios,4.0,8,345
SQL e Banco de Dados,Negócios,3.9,18,566
Python para Iniciantes,Negócios,3.9,33,516
Machine Learning Básico,Dados,4.5,11,766
Análise de Dados com Pandas,Dados,2.3,27,161
Power BI Essencial,Design,4.5,32,849
Power BI Essencial,Tecnologia,4.8,36,325
Análise de Dados com Pandas,Design,2.5,25,250
Python para Iniciantes,Negócios,2.9,38,767
Power BI Essencial,Negócios,4.4,19,540
Power BI Essencial,Design,3.9,23,102
Python para Iniciantes,Tecnologia,4.9,21,871
SQL e Banco de Dados,Negócios,2.0,47,59
Machine Learning Básico,Dados,2.3,34,861
SQL e Banco de Dados,Tecnologia,2.1,27,109
SQL e Banco de Dados,Design,3.0,34,566
Power BI Essencial,Negócios,3.4,24,119
Power BI Essencial,Negócios,1.5,25,447
Análise de Dados com Pandas,Dados,1.6,6,599
SQL e Banco de Dados,Dados,1.3,10,609
Machine Learning Básico,Dados,4.1,4,198
Machine Learning Básico,Design,3.6,27,248
Power BI Essencial,Design,4.7,17,93
Análise de Dados com Pandas,Tecnologia,4.2,36,948
Python para Iniciantes,Negócios,1.2,28,509
SQL e Banco de Dados,Tecnologia,4.6,6,479
SQL e Banco de Dados,Design,4.8,41,698
Power BI Essencial,Dados,1.1,26,457
Análise de Dados com Pandas,Dados,4.1,46,113
SQL e Banco de Dados,Negócios,1.4,8,164
Análise de Dados com Pandas,Dados,4.8,32,597
Machine Learning Básico,Dados,2.2,10,618
Machine Learning Básico,Design,4.8,33,510
Machine Learning Básico,Design,2.6,32,108
SQL e Banco de Dados,Tecnologia,1.4,24,708
SQL e Banco de Dados,Negócios,1.4,42,776
Machine Learning Básico,Negócios,1.2,34,506
Python para Iniciantes,Design,1.6,17,179
Análise de Dados com Pandas,Negócios,5.0,33,723
Análise de Dados com Pandas,Tecnologia,4.0,37,446
SQL e Banco de Dados,Negócios,1.5,28,934
Análise de Dados com Pandas,Negócios,1.4,30,103
SQL e Banco de Dados,Design,2.8,3,806
Python para Iniciantes,Negócios,5.0,27,501
SQL e Banco de Dados,Negócios,1.5,15,216
SQL e Banco de Dados,Tecnologia,3.4,3,210
Power BI Essencial,Design,4.7,14,340
Power BI Essencial,Negócios,2.4,33,358
Python para Iniciantes,Design,4.0,41,430
Python para Iniciantes,Negócios,2.3,48,939
SQL e Banco de Dados,Tecnologia,2.9,44,387
Análise de Dados com Pandas,Negócios,2.9,48,700
Power BI Essencial,Negócios,1.6,46,890
Python para Iniciantes,Tecnologia,2.5,27,451
SQL e Banco de Dados,Negócios,1.7,33,842
Machine Learning Básico,Tecnologia,2.5,38,810
Python para Iniciantes,Dados,3.1,13,601
Python para Iniciantes,Dados,3.4,19,953
Python para Iniciantes,Dados,3.9,13,152
Análise de Dados com Pandas,Negócios,3.0,13,240
Python para Iniciantes,Negócios,1.3,16,581
Power BI Essencial,Tecnologia,3.5,23,640
SQL e Banco de Dados,Design,3.3,37,983
Power BI Essencial,Dados,4.8,15,987
SQL e Banco de Dados,Dados,3.3,14,222
Machine Learning Básico,Tecnologia,1.4,40,707
Machine Learning Básico,Negócios,1.9,14,597
Análise de Dados com Pandas,Negócios,3.1,20,440
Python para Iniciantes,Design,4.2,10,927
Python para Iniciantes,Design,2.7,41,508
Machine Learning Básico,Negócios,1.0,49,933
Python para Iniciantes,Tecnologia,4.0,31,663
Análise de Dados com Pandas,Negócios,4.0,33,534
Machine Learning Básico,Dados,4.7,4,936
Power BI Essencial,Negócios,2.0,49,151
Power BI Essencial,Tecnologia,2.3,27,563
Python para Iniciantes,Tecnologia,3.2,40,145
Análise de Dados com Pandas,Dados,1.9,1,681
Machine Learning Básico,Tecnologia,3.8,37,966
Python para Iniciantes,Tecnologia,3.5,27,743
Análise de Dados com Pandas,Dados,4.2,21,848
