ONG,Cidade,Valor_Doacao,Forma_Pagamento,Tipo_Doador,Data_Doacao
Ajuda Animal,Porto Alegre,2352.47,Transferência,Pessoa Física,2024-01-01
Ajuda Animal,Recife,4691.83,Cartão de Crédito,Pessoa Física,2024-01-02
Lar dos Idosos,São Paulo,388.07,Cartão de Crédito,Pessoa Física,2024-01-03
Lar dos Idosos,São Paulo,4802.02,Transferência,Empresa,2024-01-04
Lar dos Idosos,São Paulo,4561.4,Transferência,Empresa,2024-01-05
Lar dos Idosos,Belo Horizonte,498.6,Pix,Pessoa Física,2024-01-06
Ajuda Animal,Rio de Janeiro,1440.94,Boleto,Pessoa Física,2024-01-07
Ajuda Animal,São Paulo,4830.03,Transferência,Empresa,2024-01-08
Ajuda Animal,Recife,2484.37,Cartão de Crédito,Empresa,2024-01-09
Ajuda Animal,Rio de Janeiro,2310.32,Transferência,Pessoa Física,2024-01-10
Saúde e Vida,Belo Horizonte,3190.09,Boleto,Pessoa Física,2024-01-11
Educar para o Futuro,São Paulo,1336.1,Transferência,Empresa,2024-01-12
Lar dos Idosos,São Paulo,644.49,Boleto,Pessoa Física,2024-01-13
Lar dos Idosos,Belo Horizonte,587.93,Transferência,Empresa,2024-01-14
Saúde e Vida,Recife,577.47,Boleto,Empresa,2024-01-15
Lar dos Idosos,Porto Alegre,35.09,Cartão de Crédito,Empresa,2024-01-16
Ajuda Animal,Rio de Janeiro,3015.75,Transferência,Pessoa Física,2024-01-17
Meio Ambiente Já,Porto Alegre,2234.66,Pix,Pessoa Física,2024-01-18
Meio Ambiente Já,Rio de Janeiro,4360.54,Boleto,Empresa,2024-01-19
Ajuda Animal,Belo Horizonte,4795.47,Cartão de Crédito,Empresa,2024-01-20
Meio Ambiente Já,São Paulo,3724.25,Cartão de Crédito,Empresa,2024-01-21
Educar para o Futuro,Rio de Janeiro,334.2,Boleto,Pessoa Física,2024-01-22
Educar para o Futuro,Porto Alegre,3847.91,Boleto,Empresa,2024-01-23
Saúde e Vida,Belo Horizonte,1020.23,Boleto,Empresa,2024-01-24
Educar para o Futuro,Recife,1164.6,Pix,Empresa,2024-01-25
Saúde e Vida,Rio de Janeiro,497.7,Boleto,Empresa,2024-01-26
Meio Ambiente Já,Rio de Janeiro,2613.66,Pix,Empresa,2024-01-27
Meio Ambiente Já,Porto Alegre,2497.56,Boleto,Empresa,2024-01-28
Saúde e Vida,São Paulo,322.12,Boleto,Empresa,2024-01-29
Lar dos Idosos,Belo Horizonte,1168.86,Pix,Pessoa Física,2024-01-30
Meio Ambiente Já,Recife,4170.58,Cartão de Crédito,Pessoa Física,2024-01-31
Educar para o Futuro,São Paulo,1711.63,Pix,Empresa,2024-02-01
Meio Ambiente Já,Rio de Janeiro,1638.15,Transferência,Empresa,2024-02-02
Educar para o Futuro,São Paulo,1119.56,Pix,Empresa,2024-02-03
Lar dos Idosos,Porto Alegre,1948.83,Pix,Pessoa Física,2024-02-04
Saúde e Vida,Recife,757.81,Pix,Pessoa Física,2024-02-05
Ajuda Animal,Recife,1054.82,Cartão de Crédito,Pessoa Física,2024-02-06
Educar para o Futuro,Rio de Janeiro,1243.94,Cartão de Crédito,Empresa,2024-02-07
Educar para o Futuro,Recife,421.67,Boleto,Pessoa Física,2024-02-08
Saúde e Vida,Porto Alegre,3486.93,Boleto,Empresa,2024-02-09
Saúde e Vida,Recife,4890.12,Pix,Empresa,2024-02-10
Educar para o Futuro,Rio de Janeiro,99.99,Pix,Pessoa Física,2024-02-11
Ajuda Animal,São Paulo,3207.65,Cartão de Crédito,Pessoa Física,2024-02-12
Saúde e Vida,Porto Alegre,4729.32,Boleto,Empresa,2024-02-13
Ajuda Animal,Recife,3418.9,Pix,Empresa,2024-02-14
Lar dos Idosos,Porto Alegre,3081.99,Transferência,Empresa,2024-02-15
