Ano,Estado,Cultura,Clima,Area_Produtiva_ha,Producao_Toneladas
2023,PR,Soja,Subtropical,1404.7,36801.37
2022,RS,Milho,Tropical,7115.82,1820.77
2023,MG,Algodão,Equatorial,8968.15,57367.9
2018,PR,Café,Subtropical,8392.7,
2019,RS,Soja,Subtropical,4398.2,50159.24
2019,MG,Café,Tropical,4305.59,69520.63
2018,MG,Arroz,Equatorial,4621.3,27990.42
2018,PR,Algodão,Subtropical,4591.0,19884.82
2020,GO,Milho,Tropical,1644.22,4716.62
2018,RS,Algodão,Subtropical,5343.11,45530.61
2018,PR,Soja,Tropical,3053.34,45568.23
2023,PR,Milho,Subtropical,1764.33,111664.18
2019,GO,Algodão,Equatorial,1540.47,71802.32
2019,PR,Algodão,Subtropical,4769.14,39146.46
2021,SP,Algodão,Equatorial,2023.96,32749.64
2021,GO,Algodão,Equatorial,4081.62,95297.48
2021,RS,Arroz,Equatorial,5270.21,619.79
2024,SP,Arroz,Equatorial,9058.68,78976.24
2024,RS,Milho,Subtropical,3072.36,117075.37
2018,SP,Café,Equatorial,9102.54,11086.95
2021,GO,Algodão,Equatorial,5775.92,15954.37
2018,MG,Arroz,Subtropical,264.93,35892.02
2021,MG,Milho,Tropical,8384.4,73339.99
2024,RS,Café,Equatorial,7866.13,66669.67
2018,GO,Café,Tropical,808.01,118286.07
2024,PR,Café,Subtropical,4691.51,22741.74
2023,SP,Soja,sub-tropical,2422.16,86115.98
2018,PR,Milho,Subtropical,7002.36,91666.98
2020,GO,Café,Tropical,5186.83,115783.53
2020,SP,Milho,Tropical,3591.59,73588.46
2021,PR,Algodão,Tropical,7531.87,96881.88
2024,PR,Algodão,Tropical,8060.87,24050.15
2019,SP,Algodão,Tropical,5878.65,65901.61
2020,RS,Arroz,Tropical,4717.51,107412.87
2018,RS,Algodão,Subtropical,6610.0,81646.75
2023,SP,Arroz,Tropical,169.99,90389.54
2023,GO,Arroz,Equatorial,4645.61,54481.46
2019,SP,Arroz,Equatorial,288.67,65715.9
2023,RS,Soja,Equatorial,7120.94,47276.96
2023,SP,Algodão,Equatorial,8058.43,66408.04
2022,PR,Algodão,Tropical,8190.17,11602.54
2018,SP,Algodão,Tropical,1924.93,60726.08
2020,SP,Milho,Tropical,9531.64,
2020,GO,Algodão,Equatorial,7038.8,72344.54
2020,MG,Café,Subtropical,7937.01,4441.41
2021,GO,Algodão,Subtropical,2900.27,27424.23
2022,PR,Algodão,Tropical,1761.85,89904.9
2023,RS,Arroz,Subtropical,4730.61,20449.95
2019,GO,Café,Equatorial,9754.41,78166.79
2020,SP,Soja,Equatorial,1305.0,91217.6
2022,PR,Milho,Equatorial,1730.8,68748.75
2024,MG,Café,Equatorial,8094.58,111104.5
2018,MG,Algodão,Tropical,1426.81,57580.13
2023,MG,milho,Equatorial,9243.8,40435.19
2023,MG,café,Tropical,9065.02,56670.75
2022,mg,Arroz,Tropical,6912.02,74962.5
2020,GO,Milho,Subtropical,5069.64,16523.8
2023,MG,Soja,Equatorial,1663.44,91253.07
2018,PR,Café,Tropical,5467.38,41112.55
2023,GO,Soja,Subtropical,724.94,29619.58
2023,SP,Café,Equatorial,8789.61,3312.55
2023,RS,Arroz,Equatorial,1145.06,14298.29
2023,GO,Arroz,Tropical,6519.8,28320.47
2023,PR,Arroz,Equatorial,,15861.75
2018,PR,Café,Equatorial,3582.0,50773.28
2021,GO,Milho,Tropical,7741.47,89793.55
2021,PR,Arroz,Tropical,5841.26,65696.83
2024,GO,Algodão,Tropical,7815.07,35654.13
2020,SP,Algodão,Subtropical,6966.8,37659.79
2022,SP,Algodão,Subtropical,7151.7,18741.63
2018,MG,Arroz,Subtropical,3133.74,53996.46
2019,RS,Milho,Tropical,1520.61,62187.53
2022,MG,Café,Subtropical,6755.88,68982.96
2024,SP,Soja,Tropical,3948.19,6580.58
2019,GO,Arroz,Subtropical,8606.91,83651.17
2018,RS,Soja,Tropical,2634.11,53698.76
2023,RS,Arroz,Subtropical,4784.94,6440.56
2023,MG,Soja,Equatorial,139.59,42964.15
2018,rS,Milho,Subtropical,5144.15,50297.99
2018,RS,Arroz,Subtropical,2666.73,42984.48
2021,PR,Milho,Tropical,1905.61,71713.12
2019,GO,Milho,Subtropical,2410.86,4570.68
2023,MG,Soja,Equatorial,1716.26,119555.8
2021,PR,Café,Subtropical,8365.95,89473.35
2020,SP,Milho,Equatorial,7947.13,30634.1
2019,MG,Milho,Subtropical,2465.33,86567.83
2023,PR,Arroz,Subtropical,855.29,24602.79
2020,SP,Milho,Subtropical,3990.99,103406.59
2019,PR,Algodão,Subtropical,9173.76,117776.0
2022,GO,Café,equatorial,6832.26,4664.62
2019,SP,Café,Tropical,7482.93,16733.77
2024,PR,Arroz,Tropical,3317.72,
2024,RS,Arroz,Tropical,N/A,38944.68
2020,SP,Milho,Tropical,7460.71,101004.88
2020,MG,Soja,Equatorial,1962.94,20659.52
2019,SP,Algodão,Equatorial,1499.12,28991.12
2023,SP,Arroz,Equatorial,8235.94,52258.65
2019,RS,Milho,Equatorial,7035.63,96127.26
2020,GO,Algodão,Tropical,2855.58,10293.23
2024,PR,Milho,Subtropical,9912.14,70566.87
2019,RS,Café,Equatorial,8571.98,104882.47
2022,PR,Soja,Tropical,8415.98,47259.27
2021,MG,Algodão,Equatorial,2646.13,22052.02
2018,MG,Arroz,Tropical,3935.8,51240.91
2022,RS,Soja,Tropical,8529.63,98048.84
2022,GO,Arroz,Equatorial,795.84,48392.04
2022,RS,Café,Tropical,5776.73,2889.04
2022,PR,Arroz,Subtropical,5489.06,107201.31
2024,RS,Soja,Subtropical,8419.35,95551.77
2018,SP,Milho,Tropical,520.78,39284.75
2019,RS,Soja,Subtropical,7710.5,88637.11
2020,GO,Milho,Subtropical,9863.31,19030.47
2020,RS,Soja,Equatorial,3996.49,63789.75
2022,PR,Milho,Tropical,1108.28,72026.06
2019,PR,Milho,Tropical,3405.3,46273.65
2023,SP,Café,Equatorial,3191.89,23413.47
2023,MG,Café,Tropical,1095.9,60201.01
2024,RS,Arroz,Equatorial,3134.09,72754.33
2020,PR,Café,Tropical,5219.82,15718.13
2018,MG,Milho,Equatorial,6376.61,4540.14
2018,RS,Arroz,Tropical,982.27,43719.23
2022,GO,Algodão,Subtropical,271.64,92178.46
2024,SP,Café,Equatorial,292.98,77238.53
2018,RS,Algodão,Tropical,8388.19,10529.9
2018,MG,Algodão,Tropical,6190.06,36496.45
