ID,Nome,Idade,Gênero,Departamento,Faixa_Salarial
1,Funcionario_1,57,nan,Marketing,alta
2,Funcionario_2,20,MASCULINO,RH,Alta
3,Funcionario_3,40,Masculino,Financeiro,Média
4,Funcionario_4,31,Feminino,Comercial,alta
5,Funcionario_5,40,Outro,Comercial,Alta
6,Funcionario_6,47,Outro,TI,Alta
7,Funcionario_7,19,,Comercial,Baixa
8,Funcionario_8,19,Feminino,Financeiro,media
9,Funcionario_9,41,feminino,TI,Baixa
10,Funcionario_10,40,nan,Marketing,alta
11,Funcionario_11,22,nan,RH,Baixa
12,Funcionario_12,48,feminino,Marketing,media
13,Funcionario_13,28,Outro,RH,BAIXA
14,Funcionario_14,29,Feminino,RH,media
15,Funcionario_15,50,Masculino,Financeiro,Alta
16,Funcionario_16,19,,Financeiro,media
17,Funcionario_17,58,Masculino,TI,Média
18,Funcionario_18,43,,Financeiro,media
19,Funcionario_19,60,Outro,Financeiro,Baixa
20,Funcionario_20,50,feminino,RH,alta
21,Funcionario_21,55,Feminino,Financeiro,Média
22,Funcionario_22,44,Outro,Marketing,Média
23,Funcionario_23,45,MASCULINO,Marketing,Média
24,Funcionario_24,23,,Marketing,Alta
25,Funcionario_25,18,Outro,TI,BAIXA
26,Funcionario_26,57,feminino,RH,Baixa
27,Funcionario_27,36,Feminino,Marketing,Média
28,Funcionario_28,40,feminino,Financeiro,media
29,Funcionario_29,27,,Marketing,BAIXA
30,Funcionario_30,64,Feminino,RH,BAIXA
31,Funcionario_31,59,Outro,Financeiro,Média
32,Funcionario_32,26,feminino,Marketing,Baixa
33,Funcionario_33,51,MASCULINO,RH,media
34,Funcionario_34,26,Masculino,TI,BAIXA
35,Funcionario_35,45,,Marketing,Média
36,Funcionario_36,31,MASCULINO,RH,alta
37,Funcionario_37,41,MASCULINO,Marketing,alta
38,Funcionario_38,61,nan,Comercial,Baixa
39,Funcionario_39,54,,TI,Baixa
40,Funcionario_40,37,,Comercial,media
41,Funcionario_41,43,MASCULINO,Marketing,Alta
42,Funcionario_42,51,MASCULINO,Financeiro,Baixa
43,Funcionario_43,45,Feminino,Marketing,media
44,Funcionario_44,nan,,Comercial,media
45,Funcionario_45,19,Feminino,Comercial,Alta
46,Funcionario_46,43,MASCULINO,TI,Baixa
47,Funcionario_47,29,feminino,TI,Alta
48,Funcionario_48,28,Masculino,Marketing,media
49,Funcionario_49,26,,Comercial,Baixa
50,Funcionario_50,45,,Comercial,Baixa
51,Funcionario_51,31,Outro,TI,alta
52,Funcionario_52,49,nan,RH,BAIXA
53,Funcionario_53,40,Masculino,RH,alta
54,Funcionario_54,41,Feminino,TI,media
55,Funcionario_55,45,feminino,RH,Baixa
56,Funcionario_56,53,Masculino,Financeiro,Alta
57,Funcionario_57,45,feminino,TI,Alta
58,Funcionario_58,56,MASCULINO,RH,alta
59,Funcionario_59,26,Masculino,RH,media
60,Funcionario_60,60,,Financeiro,alta
61,Funcionario_61,58,Feminino,TI,Baixa
62,Funcionario_62,23,Masculino,TI,BAIXA
63,Funcionario_63,49,Feminino,Comercial,media
64,Funcionario_64,50,,Financeiro,Média
65,Funcionario_65,25,feminino,Financeiro,Média
66,Funcionario_66,29,Outro,Financeiro,Baixa
67,Funcionario_67,28,,Financeiro,alta
68,Funcionario_68,51,MASCULINO,Financeiro,BAIXA
69,Funcionario_69,44,,RH,Alta
70,Funcionario_70,47,nan,Marketing,alta
71,Funcionario_71,26,nan,Comercial,Média
72,Funcionario_72,18,feminino,Comercial,Alta
73,Funcionario_73,N/A,Masculino,Comercial,BAIXA
74,Funcionario_74,19,Outro,Marketing,BAIXA
75,Funcionario_75,45,,Financeiro,Baixa
76,Funcionario_76,51,Feminino,Marketing,media
77,Funcionario_77,21,Feminino,RH,alta
78,Funcionario_78,44,feminino,Comercial,alta
79,Funcionario_79,50,,RH,media
80,Funcionario_80,50,nan,Marketing,media
81,Funcionario_81,19,Feminino,Marketing,Alta
82,Funcionario_82,44,Outro,TI,BAIXA
83,Funcionario_83,28,MASCULINO,Comercial,alta
84,Funcionario_84,28,Outro,TI,Média
85,Funcionario_85,51,Outro,Marketing,Alta
86,Funcionario_86,53,Masculino,Marketing,media
87,Funcionario_87,49,,Marketing,Média
88,Funcionario_88,44,Feminino,RH,media
89,Funcionario_89,27,nan,TI,media
90,Funcionario_90,53,feminino,Marketing,Alta
91,Funcionario_91,51,Feminino,TI,alta
92,Funcionario_92,60,Outro,Financeiro,alta
93,Funcionario_93,40,feminino,Financeiro,alta
94,Funcionario_94,25,Outro,Financeiro,Baixa
95,Funcionario_95,45,Feminino,RH,Baixa
