Loja,Produto,Mês,Quantidade_Vendida,Valor_Total_Venda
Loja D,Teclado,Abr,55,1400.0
Loja C,Notebook,Fev,93,5700.0
Loja D,Teclado,Jan,9,3400.0
Loja D,Teclado,Mar,56,3800.0
Loja B,Notebook,Jun,81,100.0
Loja D,Mouse,Abr,59,1800.0
Loja D,Tablet,Fev,85,9000.0
Loja D,Teclado,Fev,70,5800.0
Loja B,Mouse,Fev,19,2000.0
Loja A,Mouse,Abr,45,9600.0
Loja D,Teclado,Mar,45,5600.0
Loja C,Monitor,Abr,20,3800.0
Loja C,Teclado,Fev,30,erro
Loja C,Smartphone,Jan,30,8600.0
Loja D,Teclado,Mar,29,5300.0
Loja A,Teclado,Mai,48,7600.0
Loja A,Smartphone,Fev,8,9100.0
Loja D,Mouse,Fev,41,8900.0
Loja D,Tablet,Abr,26,700.0
Loja D,Smartphone,Abr,55,3800.0
Loja D,Notebook,Fev,29,8000.0
Loja D,Monitor,Abr,94,900.0
Loja A,Teclado,Jan,88,7900.0
Loja C,Monitor,Fev,53,
Loja A,Mouse,Fev,62,8300.0
Loja B,Notebook,Mai,87,2900.0
Loja B,Teclado,Jun,0,4000.0
Loja A,Tablet,Mar,6,700.0
Loja A,Smartphone,Abr,69,900.0
Loja C,Mouse,Mar,96,3800.0
Loja C,Tablet,Abr,79,6000.0
Loja B,Smartphone,Jan,64,5700.0
Loja A,Teclado,Mai,77,200.0
Loja A,Mouse,Abr,74,2500.0
Loja D,Mouse,Jun,41,2700.0
Loja B,Mouse,Mai,49,1100.0
Loja C,Mouse,Mar,38,6800.0
Loja D,Notebook,Mar,20,6800.0
Loja C,Monitor,Mai,1,6700.0
Loja B,Tablet,Jan,90,1700.0
Loja D,Tablet,Fev,88,5400.0
Loja A,Notebook,Fev,62,5400.0
Loja C,Smartphone,Mai,57,4700.0
Loja A,Tablet,Abr,47,
Loja A,Monitor,Mar,75,6600.0
Loja A,Teclado,Abr,2,1300.0
Loja C,Tablet,Jan,59,6300.0
Loja B,Tablet,Jan,1,1900.0
Loja C,Monitor,Jun,2,4100.0
Loja D,Mouse,Jun,66,6500.0
Loja D,Tablet,Mar,30,3200.0
Loja B,Smartphone,Mai,5,7200.0
Loja B,Mouse,Jun,63,9400.0
Loja C,Mouse,Jan,25,700.0
Loja B,Notebook,Jun,43,7000.0
Loja D,Smartphone,Jan,76,1200.0
Loja B,Smartphone,Jan,79,2200.0
Loja C,Smartphone,Jan,26,400.0
Loja B,Mouse,Fev,89,1900.0
Loja D,Monitor,Mar,94,9300.0
Loja C,Mouse,Jan,32,9300.0
Loja B,Monitor,Jun,95,2600.0
Loja B,Tablet,Jan,30,2500.0
Loja A,Notebook,Abr,51,6200.0
Loja B,Notebook,Jan,43,7500.0
Loja A,Smartphone,Jan,25,9100.0
Loja C,Monitor,Jan,32,8900.0
Loja D,Notebook,Mar,36,300.0
Loja B,Monitor,Jan,55,5800.0
Loja B,Smartphone,Mai,78,6400.0
Loja A,Teclado,Mar,0,2400.0
Loja C,Notebook,Jun,3,7000.0
Loja B,Notebook,Jan,86,5500.0
Loja B,Tablet,Abr,85,5600.0
Loja B,Tablet,Abr,45,1100.0
Loja C,Smartphone,Abr,58,6700.0
Loja B,Notebook,Jun,16,6200.0
Loja B,Monitor,Jan,39,4000.0
Loja D,Mouse,Jan,99,7400.0
Loja C,Notebook,Fev,26,8500.0
Loja D,Mouse,Mar,67,9400.0
Loja C,Teclado,Jun,76,8200.0
Loja B,Mouse,Abr,54,1800.0
Loja C,Teclado,Jun,62,4600.0
Loja D,Teclado,Fev,66,2800.0
Loja C,Notebook,Mar,56,5600.0
Loja B,Notebook,Mar,35,3900.0
Loja C,Smartphone,Mar,39,8100.0
Loja C,Notebook,Jan,6,8000.0
Loja A,Mouse,Jun,97,4600.0
Loja B,Notebook,Abr,21,8800.0
Loja C,Teclado,Jun,96,5500.0
Loja B,Teclado,Mar,84,
Loja A,Mouse,Mar,34,1100.0
Loja B,Teclado,Jan,77,2200.0
Loja C,Notebook,Jan,40,3600.0
Loja A,Tablet,Mai,15,1000.0
Loja D,Smartphone,Jan,17,9500.0
Loja A,Teclado,Mai,76,5400.0
Loja B,Monitor,Fev,72,7800.0
Loja D,Monitor,Jun,51,3800.0
Loja D,Notebook,Jun,3,9100.0
Loja C,Monitor,Abr,19,100.0
Loja A,Mouse,Mai,65,1700.0
Loja A,Notebook,Abr,90,300.0
Loja B,Monitor,Jan,5,7300.0
Loja A,Notebook,Abr,86,3500.0
Loja D,Smartphone,Jun,64,7700.0
Loja D,Mouse,Abr,0,100.0
Loja A,Mouse,Jan,24,6800.0
Loja C,Tablet,Jun,73,7400.0
Loja A,Notebook,Jun,86,9600.0
Loja D,Notebook,Abr,53,
Loja B,Mouse,Mar,61,1800.0
