Cliente,Mês,Categoria,Valor
Cliente_15,Jun,Moradia,3500.0
Cliente_43,Abr,Saúde,4550.0
Cliente_22,Jun,Educação,1500.0
Cliente_30,Mai,Transporte,2600.0
Cliente_43,Jun,Educação,3200.0
Cliente_22,Abr,Lazer,300.0
Cliente_46,Jun,Educação,4750.0
Cliente_7,Abr,Saúde,1550.0
Cliente_61,Mai,Educação,1950.0
Cliente_19,Abr,Transporte,1500.0
Cliente_14,Fev,Alimentação,750.0
Cliente_40,Fev,Transporte,4300.0
Cliente_8,Abr,Transporte,400.0
Cliente_26,Mar,Moradia,2900.0
Cliente_18,Jun,Moradia,4950.0
Cliente_33,Jan,Alimentação,desconhecido
Cliente_42,Mai,Lazer,650.0
Cliente_20,Mai,Lazer,3000.0
Cliente_18,Mar,Transporte,1500.0
Cliente_22,Abr,Transporte,3050.0
Cliente_2,Mai,Educação,5000.0
Cliente_5,Mar,Alimentação,4050.0
Cliente_10,Jan,Moradia,2300.0
Cliente_61,Abr,Moradia,1900.0
Cliente_52,Mai,Transporte,600.0
Cliente_36,Fev,Moradia,3250.0
Cliente_38,Mai,Moradia,3800.0
Cliente_30,Jun,Transporte,200.0
Cliente_24,Fev,Lazer,1150.0
Cliente_56,Mar,Alimentação,3250.0
Cliente_40,Mar,Transporte,4100.0
Cliente_60,Mai,Lazer,1500.0
Cliente_32,Mar,Alimentação,4300.0
Cliente_24,Jun,Saúde,2600.0
Cliente_9,Abr,Transporte,2200.0
Cliente_46,Jan,Alimentação,1700.0
Cliente_30,Jun,Moradia,3500.0
Cliente_43,Mai,Transporte,1350.0
Cliente_19,Mai,Moradia,2300.0
Cliente_19,Mar,Educação,3550.0
Cliente_37,Fev,Alimentação,3400.0
Cliente_61,Mar,Lazer,450.0
Cliente_7,Jan,Saúde,650.0
Cliente_20,Fev,Saúde,250.0
Cliente_19,Mar,Alimentação,4700.0
Cliente_57,Fev,Lazer,4950.0
Cliente_35,Jan,Saúde,4900.0
Cliente_51,Fev,Lazer,4900.0
Cliente_42,Mai,Transporte,2300.0
Cliente_2,Abr,Saúde,2700.0
Cliente_55,Abr,Lazer,2800.0
Cliente_57,Jan,Transporte,1950.0
Cliente_51,Abr,Alimentação,2900.0
Cliente_31,Mar,Moradia,1700.0
Cliente_41,Abr,Alimentação,2100.0
Cliente_54,Mai,Saúde,3850.0
Cliente_30,Mai,Alimentação,800.0
Cliente_10,Jan,Lazer,4000.0
Cliente_19,Jun,Saúde,1750.0
Cliente_54,Mai,Lazer,2900.0
Cliente_21,Mar,Moradia,4000.0
Cliente_39,Mai,Moradia,2450.0
Cliente_38,Mar,Alimentação,3150.0
Cliente_55,Mai,Saúde,4650.0
Cliente_16,Fev,Alimentação,1100.0
Cliente_18,Mai,Educação,nan
Cliente_24,Jan,Lazer,2300.0
Cliente_5,Jan,Saúde,700.0
Cliente_54,Jan,Lazer,1050.0
Cliente_42,Abr,Lazer,3450.0
Cliente_5,Mar,Alimentação,5000.0
Cliente_12,Abr,Educação,650.0
Cliente_41,Abr,Transporte,2750.0
Cliente_34,Abr,Alimentação,5000.0
Cliente_31,Jan,Saúde,3450.0
Cliente_48,Abr,Saúde,900.0
Cliente_7,Mai,Lazer,3000.0
Cliente_45,Jun,Moradia,800.0
Cliente_9,Fev,Moradia,150.0
Cliente_15,Jun,Educação,4950.0
Cliente_28,Mar,Transporte,4150.0
Cliente_7,Mar,Moradia,3750.0
Cliente_4,Fev,Lazer,200.0
Cliente_37,Jan,Lazer,1100.0
Cliente_31,Mar,Educação,250.0
Cliente_14,Jun,Educação,4400.0
Cliente_48,Jun,Moradia,2650.0
Cliente_19,Jun,Alimentação,2400.0
Cliente_13,Abr,Lazer,5000.0
Cliente_13,Fev,Moradia,1250.0
Cliente_48,Jan,Moradia,3050.0
Cliente_28,Mar,Transporte,nan
Cliente_42,Abr,Lazer,1000.0
Cliente_31,Mai,Alimentação,2200.0
Cliente_40,Mar,Transporte,1550.0
Cliente_24,Mai,Educação,3000.0
Cliente_18,Fev,Saúde,1650.0
Cliente_31,Mar,Alimentação,3200.0
Cliente_57,Mai,Alimentação,2000.0
Cliente_16,Abr,Lazer,4900.0
Cliente_57,Jan,Moradia,5000.0
Cliente_22,Jun,Educação,2450.0
Cliente_58,Jun,Educação,250.0
Cliente_24,Fev,Saúde,3700.0
Cliente_43,Mai,Lazer,4450.0
Cliente_3,Jun,Educação,2150.0
Cliente_38,Fev,Educação,3550.0
Cliente_19,Mar,Transporte,950.0
Cliente_32,Mar,Moradia,4650.0
Cliente_47,Mai,Educação,300.0
Cliente_30,Jun,Transporte,150.0
Cliente_38,Jun,Alimentação,2400.0
Cliente_3,Mar,Saúde,500.0
Cliente_25,Abr,Saúde,250.0
Cliente_60,Mai,Educação,2000.0
Cliente_19,Jan,Moradia,150.0
Cliente_53,Mar,Saúde,2900.0
Cliente_50,Fev,Lazer,4650.0
Cliente_35,Fev,Alimentação,1900.0
Cliente_12,Abr,Educação,1900.0
Cliente_15,Mai,Moradia,2400.0
Cliente_52,Fev,Saúde,1000.0
Cliente_49,Jun,Transporte,3500.0
Cliente_4,Abr,Educação,450.0
Cliente_34,Abr,Saúde,2550.0
Cliente_55,Mar,Alimentação,
Cliente_41,Abr,Saúde,1450.0
Cliente_31,Abr,Saúde,5000.0
Cliente_21,Abr,Transporte,1800.0
Cliente_13,Abr,Transporte,3350.0
Cliente_38,Mai,Saúde,2500.0
Cliente_23,Mai,Moradia,4050.0
Cliente_26,Mai,Transporte,450.0
Cliente_35,Abr,Transporte,4650.0
Cliente_14,Jan,Lazer,3400.0
Cliente_18,Mar,Saúde,2200.0
Cliente_40,Fev,Transporte,4950.0
Cliente_54,Fev,Moradia,1750.0
Cliente_25,Mai,Educação,1050.0
Cliente_44,Fev,Saúde,3000.0
Cliente_49,Mai,Educação,4950.0
Cliente_22,Mar,Saúde,350.0
Cliente_56,Abr,Saúde,4150.0
Cliente_14,Fev,Lazer,2550.0
Cliente_2,Jan,Educação,2100.0
Cliente_61,Abr,Transporte,
Cliente_12,Jan,Moradia,800.0
Cliente_47,Fev,Moradia,3250.0
Cliente_52,Fev,Moradia,4750.0
Cliente_40,Abr,Saúde,4000.0
Cliente_43,Mar,Educação,4000.0
Cliente_50,Abr,Alimentação,2700.0
Cliente_30,Jun,Moradia,1550.0
Cliente_53,Mar,Saúde,2700.0
Cliente_26,Abr,Saúde,1900.0
Cliente_4,Jan,Lazer,nan
Cliente_25,Abr,Alimentação,4300.0
Cliente_38,Mar,Saúde,3950.0
Cliente_2,Jun,Transporte,200.0
Cliente_2,Fev,Moradia,4400.0
Cliente_5,Mai,Alimentação,300.0
