Usuario,Data,Página,Tempo_Sessao_Seg
usuario_16,2025-01-23,contato,846.06
usuario_44,2025-01-31,sobre,378.59
usuario_100,2025-02-19,produtos,342.63
usuario_88,2025-03-15,home,135.86
usuario_20,2025-02-03,produtos,360.61
usuario_36,2025-02-12,sobre,189.8
usuario_15,2025-02-01,sobre,450.51
usuario_6,2025-01-22,blog,711.21
usuario_72,2025-03-21,login,468.48
usuario_27,2025-03-13,produtos,765.15
usuario_67,2025-01-30,produtos,585.35
usuario_23,2025-02-06,blog,432.53
usuario_48,2025-01-21,sobre,342.63
usuario_61,2025-02-22,sobre,846.06
usuario_74,2025-02-07,produtos,630.3
usuario_7,2025-01-15,sobre,765.15
usuario_86,2025-02-21,login,162.83
usuario_33,2025-03-16,home,342.63
usuario_3,2025-02-08,sobre,657.27
usuario_28,2025-03-08,produtos,54.95
usuario_33,2025-03-01,sobre,432.53
usuario_93,2025-01-17,blog,477.47
usuario_77,2025-01-01,blog,522.42
usuario_87,2025-03-04,login,738.18
usuario_30,2025-02-04,contato,801.11
usuario_76,2025-03-15,produtos,81.92
usuario_46,2025-02-26,login,333.64
usuario_84,2025-01-16,login,765.15
usuario_55,2025-01-09,home,351.62
usuario_52,2025-03-16,contato,675.25
usuario_98,2025-03-27,sobre,216.77
usuario_69,2025-01-01,login,648.28
usuario_95,2025-02-06,sobre,675.25
usuario_47,2025-03-30,produtos,792.12
usuario_79,2025-01-22,produtos,279.7
usuario_46,2025-02-15,sobre,333.64
usuario_25,2025-03-02,sobre,324.65
usuario_25,2025-01-24,sobre,405.56
usuario_74,2025-03-08,blog,765.15
usuario_60,2025-02-18,blog,873.03
usuario_47,2025-01-18,contato,684.24
usuario_92,2025-01-10,login,729.19
usuario_68,2025-02-10,blog,225.76
usuario_74,2025-02-25,contato,72.93
usuario_28,2025-02-04,home,189.8
usuario_88,2025-02-19,contato,594.34
usuario_38,2025-03-08,sobre,675.25
usuario_93,2025-03-10,produtos,891.01
usuario_94,2025-02-06,home,747.17
usuario_63,2025-02-03,sobre,504.44
usuario_91,2025-03-28,sobre,513.43
usuario_97,2025-02-22,contato,603.33
usuario_68,2025-01-14,contato,522.42
usuario_64,2025-01-12,home,531.41
usuario_61,2025-01-16,produtos,468.48
usuario_54,2025-03-26,contato,675.25
usuario_89,2025-03-14,login,495.45
