Cliente,Data_Reclamacao,Tipo,Status,Canal
Cliente_75,2024-11-15,Atendimento ruim,Resolvido,Chat
Cliente_75,2025-02-26,Outros,Sem resposta,Redes Sociais
Cliente_33,2024-11-05,Cobrança indevida,Resolvido,E-mail
Cliente_41,2025-03-20,Atendimento ruim,Em andamento,Redes Sociais
Cliente_10,2025-01-11,Cobrança indevida,Sem resposta,E-mail
Cliente_81,2024-11-13,Atraso na entrega,Resolvido,E-mail
Cliente_69,2024-10-12,Cobrança indevida,Sem resposta,Telefone
Cliente_13,2024-12-23,Outros,Resolvido,Redes Sociais
Cliente_8,2025-03-30,Atendimento ruim,Sem resposta,E-mail
Cliente_62,2025-01-07,Produto com defeito,Resolvido,Chat
Cliente_78,2024-10-18,Outros,Sem resposta,Telefone
Cliente_37,2025-01-06,Atendimento ruim,Resolvido,Chat
Cliente_64,2024-10-08,Outros,Resolvido,Telefone
Cliente_26,2025-03-12,Atraso na entrega,Em andamento,E-mail
Cliente_32,2024-11-25,Atraso na entrega,Em andamento,Chat
Cliente_20,2025-02-19,Cobrança indevida,Em andamento,E-mail
Cliente_57,2024-12-08,Atendimento ruim,Sem resposta,E-mail
Cliente_49,2025-02-22,Outros,Em andamento,Chat
Cliente_41,2025-03-03,Atraso na entrega,Em andamento,Telefone
Cliente_42,2024-12-24,Produto com defeito,Em andamento,Telefone
Cliente_76,2024-12-18,Atraso na entrega,Sem resposta,E-mail
Cliente_52,2025-02-16,Outros,Resolvido,E-mail
Cliente_64,2024-10-08,Produto com defeito,Sem resposta,Telefone
Cliente_38,2024-10-07,Produto com defeito,Resolvido,E-mail
Cliente_13,2025-03-14,Outros,Resolvido,E-mail
Cliente_14,2024-12-10,Produto com defeito,Sem resposta,Telefone
Cliente_20,2025-01-22,Produto com defeito,Resolvido,Telefone
Cliente_4,2025-03-20,Produto com defeito,Sem resposta,Redes Sociais
Cliente_32,2024-10-03,Cobrança indevida,Resolvido,Telefone
Cliente_37,2025-01-28,Produto com defeito,Resolvido,Telefone
Cliente_70,2024-10-15,Outros,Resolvido,Telefone
Cliente_28,2025-03-07,Atraso na entrega,Em andamento,Telefone
Cliente_15,2024-12-14,Produto com defeito,Em andamento,Chat
Cliente_73,2024-11-24,Produto com defeito,Resolvido,E-mail
Cliente_58,2024-12-14,Outros,Em andamento,Chat
Cliente_50,2025-02-14,Produto com defeito,Resolvido,Telefone
Cliente_13,2025-03-04,Atraso na entrega,Sem resposta,Chat
Cliente_4,2024-10-09,Cobrança indevida,Em andamento,Chat
Cliente_58,2024-11-20,Produto com defeito,Em andamento,Telefone
Cliente_6,2025-03-10,Outros,Em andamento,Telefone
Cliente_5,2024-10-09,Outros,Em andamento,Redes Sociais
Cliente_45,2024-10-21,Atraso na entrega,Sem resposta,Redes Sociais
Cliente_23,2025-03-28,Cobrança indevida,Resolvido,Telefone
Cliente_49,2024-12-16,Outros,Resolvido,Redes Sociais
Cliente_46,2024-10-10,Cobrança indevida,Sem resposta,Redes Sociais
Cliente_62,2025-02-26,Atraso na entrega,Em andamento,Redes Sociais
Cliente_33,2024-10-17,Produto com defeito,Sem resposta,Redes Sociais
Cliente_44,2025-02-06,Outros,Sem resposta,Redes Sociais
Cliente_58,2024-10-03,Atendimento ruim,Em andamento,Chat
Cliente_16,2024-10-22,Atraso na entrega,Sem resposta,Telefone
Cliente_30,2025-01-07,Atendimento ruim,Resolvido,Chat
Cliente_33,2024-12-06,Atraso na entrega,Sem resposta,Redes Sociais
Cliente_30,2025-03-15,Cobrança indevida,Resolvido,Telefone
Cliente_12,2025-01-24,Atendimento ruim,Em andamento,Telefone
Cliente_37,2024-10-09,Cobrança indevida,Em andamento,Chat
Cliente_5,2024-10-26,Atendimento ruim,Em andamento,Redes Sociais
Cliente_39,2024-11-22,Produto com defeito,Em andamento,E-mail
Cliente_32,2024-12-12,Atendimento ruim,Resolvido,Redes Sociais
Cliente_31,2025-02-12,Atendimento ruim,Sem resposta,Telefone
Cliente_24,2025-01-06,Cobrança indevida,Sem resposta,Telefone
Cliente_55,2024-12-31,Cobrança indevida,Resolvido,Redes Sociais
Cliente_38,2024-10-17,Atraso na entrega,Sem resposta,Telefone
Cliente_35,2025-03-23,Atendimento ruim,Em andamento,E-mail
Cliente_36,2024-12-03,Produto com defeito,Sem resposta,E-mail
Cliente_71,2024-10-18,Atendimento ruim,Resolvido,Chat
Cliente_26,2025-02-03,Cobrança indevida,Em andamento,Telefone
Cliente_25,2025-02-23,Cobrança indevida,Sem resposta,E-mail
Cliente_43,2024-12-09,Cobrança indevida,Resolvido,Telefone
Cliente_18,2024-11-20,Atraso na entrega,Sem resposta,E-mail
Cliente_19,2024-11-10,Atendimento ruim,Em andamento,Chat
Cliente_73,2024-12-26,Atendimento ruim,Sem resposta,Redes Sociais
Cliente_68,2025-01-04,Atraso na entrega,Sem resposta,Telefone
Cliente_6,2025-02-27,Cobrança indevida,Sem resposta,Redes Sociais
Cliente_72,2025-01-22,Cobrança indevida,Em andamento,E-mail
Cliente_62,2025-02-17,Produto com defeito,Em andamento,E-mail
Cliente_12,2024-10-25,Outros,Em andamento,Chat
Cliente_55,2024-12-26,Atendimento ruim,Em andamento,E-mail
Cliente_59,2024-11-09,Cobrança indevida,Sem resposta,Redes Sociais
Cliente_51,2025-02-20,Atraso na entrega,Em andamento,Telefone
Cliente_37,2024-12-11,Atraso na entrega,Em andamento,Chat
Cliente_30,2025-02-27,Atraso na entrega,Sem resposta,Telefone
Cliente_55,2024-10-12,Outros,Resolvido,Chat
Cliente_72,2024-11-15,Atendimento ruim,Sem resposta,Redes Sociais
Cliente_61,2024-11-21,Outros,Sem resposta,Redes Sociais
Cliente_34,2025-03-27,Atraso na entrega,Em andamento,Chat
Cliente_3,2025-01-14,Produto com defeito,Resolvido,Redes Sociais
Cliente_22,2024-10-30,Atendimento ruim,Resolvido,Telefone
Cliente_33,2025-01-15,Atendimento ruim,Sem resposta,E-mail
Cliente_63,2024-11-23,Outros,Sem resposta,E-mail
Cliente_61,2025-02-02,Atendimento ruim,Resolvido,Telefone
Cliente_52,2024-10-22,Atraso na entrega,Em andamento,Chat
Cliente_25,2024-11-08,Atraso na entrega,Em andamento,Telefone
Cliente_40,2025-02-14,Produto com defeito,Em andamento,E-mail
Cliente_55,2024-11-05,Outros,Em andamento,E-mail
Cliente_48,2024-12-17,Outros,Em andamento,Redes Sociais
Cliente_42,2024-11-14,Outros,Resolvido,Redes Sociais
Cliente_42,2024-12-21,Atendimento ruim,Sem resposta,Redes Sociais
Cliente_39,2025-02-14,Atraso na entrega,Sem resposta,Redes Sociais
Cliente_35,2024-12-23,Outros,Resolvido,Telefone
Cliente_37,2024-12-07,Atendimento ruim,Resolvido,E-mail
Cliente_63,2025-02-12,Outros,Em andamento,Telefone
Cliente_78,2025-01-06,Cobrança indevida,Resolvido,Chat
Cliente_3,2024-10-26,Cobrança indevida,Sem resposta,Telefone
Cliente_74,2024-11-13,Atendimento ruim,Sem resposta,Chat
Cliente_52,2024-11-17,Atendimento ruim,Resolvido,Telefone
Cliente_39,2025-03-03,Produto com defeito,Resolvido,Redes Sociais
Cliente_45,2024-11-19,Cobrança indevida,Em andamento,E-mail
Cliente_31,2025-02-15,Atendimento ruim,Em andamento,E-mail
Cliente_63,2025-03-02,Cobrança indevida,Sem resposta,Telefone
Cliente_74,2024-12-26,Produto com defeito,Resolvido,Chat
Cliente_30,2024-11-04,Atraso na entrega,Resolvido,E-mail
Cliente_52,2025-03-20,Produto com defeito,Em andamento,Redes Sociais
Cliente_70,2025-01-17,Atendimento ruim,Sem resposta,Telefone
Cliente_5,2025-03-27,Cobrança indevida,Resolvido,Telefone
Cliente_15,2025-01-27,Cobrança indevida,Em andamento,Telefone
Cliente_63,2025-01-17,Cobrança indevida,Resolvido,Telefone
Cliente_36,2024-11-13,Outros,Resolvido,E-mail
Cliente_59,2025-03-11,Outros,Sem resposta,Redes Sociais
Cliente_15,2024-11-25,Outros,Em andamento,E-mail
Cliente_57,2024-12-12,Atraso na entrega,Sem resposta,E-mail
Cliente_27,2024-11-23,Cobrança indevida,Sem resposta,E-mail
