Produto,Região,Categoria,Quantidade,Valor_Unitario,Data_Venda
Produto_21,Norte,Brinquedos,7,20.0,2024-12-26
Produto_6,Sul,Eletrônicos,34,220.0,2024-08-09
Produto_3,Centro-Oeste,Alimentos,38,80.0,2024-12-03
Produto_21,Sudeste,Brinquedos,5,30.0,2025-01-15
Produto_2,Norte,Móveis,26,160.0,2024-12-28
Produto_11,Norte,Brinquedos,39,230.0,2024-09-28
Produto_6,Sudeste,Alimentos,45,30.0,2024-07-18
Produto_16,Norte,Roupas,24,20.0,2024-09-15
Produto_14,Centro-Oeste,Móveis,22,200.0,2024-12-10
Produto_6,Nordeste,Roupas,5,250.0,2024-11-13
Produto_12,Sudeste,Brinquedos,1,120.0,2024-11-14
Produto_16,Sudeste,Brinquedos,9,350.0,2024-09-18
Produto_18,Sul,Brinquedos,23,160.0,2024-11-11
Produto_18,Norte,Eletrônicos,38,230.0,2024-07-07
Produto_13,Sudeste,Móveis,10,410.0,2024-11-10
Produto_14,Sudeste,Brinquedos,39,110.0,2024-12-08
Produto_11,Norte,Roupas,26,260.0,2024-10-11
Produto_15,Nordeste,Roupas,39,350.0,2024-08-07
Produto_21,Sul,Roupas,35,350.0,2024-08-20
Produto_18,Sudeste,Alimentos,28,490.0,2024-08-27
Produto_11,Centro-Oeste,Móveis,13,320.0,2024-07-09
Produto_3,Nordeste,Eletrônicos,22,420.0,2024-12-17
Produto_3,Nordeste,Roupas,25,110.0,2024-11-24
Produto_7,Sudeste,Roupas,27,500.0,2024-10-02
Produto_5,Sudeste,Roupas,3,70.0,2024-08-17
Produto_17,Norte,Roupas,8,150.0,2024-12-19
Produto_16,Norte,Alimentos,32,500.0,2024-07-25
Produto_8,Sudeste,Móveis,30,nan,2024-10-19
Produto_2,Sul,Eletrônicos,16,320.0,2024-11-17
Produto_11,Sul,Roupas,31,30.0,2024-07-11
Produto_10,Sul,Brinquedos,8,140.0,2024-10-28
Produto_12,Sudeste,Móveis,21,450.0,2024-12-15
Produto_11,Centro-Oeste,Eletrônicos,31,430.0,2024-12-27
Produto_21,Sudeste,Eletrônicos,23,380.0,2024-11-11
Produto_15,Sul,Roupas,30,220.0,2024-08-03
Produto_14,Sudeste,Alimentos,48,nan,2024-10-10
Produto_9,Nordeste,Brinquedos,15,40.0,2024-09-22
Produto_20,Nordeste,Eletrônicos,7,90.0,2024-10-12
Produto_15,Centro-Oeste,Roupas,12,430.0,2024-10-14
Produto_3,Nordeste,Eletrônicos,48,310.0,2024-11-12
Produto_21,Norte,Brinquedos,14,390.0,2024-10-22
Produto_16,Sudeste,Brinquedos,43,360.0,2024-08-31
Produto_7,Sudeste,Eletrônicos,32,490.0,2025-01-30
Produto_10,Nordeste,Eletrônicos,33,80.0,2024-07-28
Produto_13,Norte,Alimentos,41,360.0,2024-11-09
Produto_19,Centro-Oeste,Roupas,21,170.0,2024-10-04
Produto_12,Norte,Brinquedos,9,410.0,2024-10-08
Produto_16,Sul,Móveis,24,360.0,2024-11-01
Produto_20,Sudeste,Roupas,23,430.0,2025-01-05
Produto_7,Sul,Eletrônicos,39,460.0,2025-01-31
Produto_3,Norte,Brinquedos,21,360.0,2024-08-08
Produto_12,Norte,Brinquedos,11,320.0,2025-01-15
Produto_8,Sul,Alimentos,47,210.0,2025-01-29
Produto_9,Centro-Oeste,Móveis,26,60.0,2024-09-20
Produto_11,Nordeste,Alimentos,11,380.0,2025-01-11
Produto_17,Centro-Oeste,Móveis,11,,2024-10-04
Produto_17,Centro-Oeste,Roupas,13,440.0,2024-08-10
Produto_18,Nordeste,Eletrônicos,21,120.0,2025-01-11
Produto_21,Norte,Alimentos,49,290.0,2024-11-05
Produto_13,Nordeste,Brinquedos,19,500.0,2024-10-17
Produto_3,Norte,Alimentos,42,490.0,2024-09-28
Produto_17,Nordeste,Alimentos,6,110.0,2024-10-09
Produto_14,Nordeste,Móveis,22,230.0,2025-01-29
Produto_13,Sudeste,Eletrônicos,32,370.0,2024-12-21
Produto_10,Sul,Brinquedos,4,170.0,2024-08-12
Produto_15,Nordeste,Brinquedos,48,100.0,2024-11-21
Produto_17,Sul,Eletrônicos,7,350.0,2024-09-02
Produto_21,Centro-Oeste,Alimentos,44,60.0,2024-10-21
Produto_6,Sudeste,Alimentos,16,290.0,2024-11-15
Produto_8,Nordeste,Eletrônicos,6,40.0,2024-12-04
Produto_3,Centro-Oeste,Eletrônicos,40,280.0,2025-01-14
Produto_16,Sudeste,Móveis,27,40.0,2024-11-09
Produto_9,Nordeste,Roupas,13,460.0,2025-01-23
Produto_11,Centro-Oeste,Eletrônicos,29,360.0,2024-12-06
Produto_19,Nordeste,Roupas,11,100.0,2024-10-07
Produto_16,Sul,Brinquedos,5,410.0,2024-10-03
Produto_7,Nordeste,Móveis,35,230.0,2024-08-21
Produto_10,Nordeste,Roupas,27,160.0,2024-09-05
Produto_17,Centro-Oeste,Brinquedos,29,30.0,2024-07-13
Produto_19,Nordeste,Eletrônicos,34,270.0,2025-01-06
Produto_14,Norte,Móveis,5,320.0,2024-11-21
Produto_10,Norte,Roupas,32,340.0,2024-08-19
Produto_3,Sul,Roupas,5,60.0,2024-10-06
Produto_3,Norte,Brinquedos,49,320.0,2024-10-28
Produto_13,Sudeste,Eletrônicos,5,310.0,2024-08-26
Produto_8,Centro-Oeste,Roupas,3,50.0,2024-08-15
Produto_17,Sudeste,Móveis,34,240.0,2024-10-31
Produto_15,Sudeste,Móveis,13,480.0,2024-07-18
Produto_7,Nordeste,Roupas,28,270.0,2024-07-24
Produto_9,Norte,Brinquedos,24,480.0,2024-11-26
Produto_6,Sudeste,Brinquedos,41,40.0,2024-10-24
Produto_7,Sudeste,Móveis,24,60.0,2024-08-25
Produto_13,Sul,Eletrônicos,17,30.0,2024-07-13
Produto_11,Sudeste,Brinquedos,11,370.0,2025-01-03
Produto_10,Nordeste,Roupas,48,,2024-09-29
Produto_4,Nordeste,Eletrônicos,2,nan,2024-11-06
Produto_20,Centro-Oeste,Móveis,8,70.0,2024-09-23
Produto_2,Norte,Eletrônicos,42,490.0,2024-08-04
Produto_16,Sul,Alimentos,47,350.0,2024-09-27
Produto_10,Sudeste,Alimentos,34,60.0,2024-09-30
Produto_9,Sudeste,Móveis,5,380.0,2024-10-24
Produto_18,Centro-Oeste,Brinquedos,23,120.0,2024-10-19
Produto_10,Norte,Brinquedos,38,230.0,2024-07-26
Produto_10,Norte,Alimentos,32,190.0,2025-01-31
Produto_11,Centro-Oeste,Eletrônicos,8,370.0,2024-12-12
Produto_19,Sudeste,Alimentos,8,310.0,2024-07-23
Produto_21,Sul,Eletrônicos,49,140.0,2024-11-30
Produto_9,Sul,Alimentos,37,100.0,2024-07-03
Produto_21,Sudeste,Roupas,22,250.0,2024-11-19
Produto_6,Norte,Móveis,3,180.0,2024-09-26
Produto_9,Sul,Brinquedos,42,350.0,2025-01-23
Produto_18,Norte,Eletrônicos,23,290.0,2024-11-12
Produto_17,Centro-Oeste,Alimentos,14,70.0,2024-10-10
Produto_19,Norte,Eletrônicos,4,170.0,2024-09-30
Produto_16,Centro-Oeste,Brinquedos,39,300.0,2024-12-29
Produto_21,Sul,Móveis,28,40.0,2025-01-30
Produto_2,Sudeste,Alimentos,30,260.0,2025-01-29
Produto_2,Nordeste,Eletrônicos,21,220.0,2024-10-26
Produto_13,Sudeste,Alimentos,35,130.0,2024-12-03
Produto_19,Centro-Oeste,Roupas,34,40.0,2024-10-11
Produto_14,Centro-Oeste,Alimentos,8,230.0,2024-10-21
Produto_16,Sul,Eletrônicos,6,400.0,2024-12-24
Produto_20,Norte,Brinquedos,15,nan,2024-11-16
Produto_6,Nordeste,Alimentos,1,420.0,2025-01-06
Produto_6,Sudeste,Alimentos,10,400.0,2024-10-16
Produto_3,Nordeste,Eletrônicos,20,70.0,2024-08-23
Produto_4,Sul,Eletrônicos,20,100.0,2024-07-21
Produto_20,Centro-Oeste,Brinquedos,16,50.0,2024-07-10
Produto_4,Sudeste,Brinquedos,47,150.0,2024-12-20
Produto_17,Sul,Roupas,23,170.0,2024-12-05
Produto_16,Sul,Móveis,34,390.0,2024-09-06
Produto_17,Nordeste,Roupas,26,10.0,2024-11-14
Produto_17,Nordeste,Brinquedos,48,60.0,2024-10-16
Produto_14,Nordeste,Eletrônicos,11,130.0,2024-08-13
Produto_20,Nordeste,Roupas,42,190.0,2025-01-13
Produto_5,Nordeste,Roupas,7,190.0,2024-07-05
Produto_8,Sul,Roupas,12,340.0,2024-12-09
Produto_5,Nordeste,Móveis,1,340.0,2024-10-07
Produto_3,Centro-Oeste,Brinquedos,2,350.0,2025-01-26
Produto_21,Sul,Alimentos,10,480.0,2024-12-24
Produto_13,Centro-Oeste,Móveis,22,70.0,2024-10-06
Produto_6,Nordeste,Brinquedos,2,50.0,2024-07-13
Produto_4,Sul,Brinquedos,49,230.0,2024-12-19
Produto_21,Norte,Roupas,22,220.0,2024-10-22
Produto_2,Centro-Oeste,Roupas,2,90.0,2024-09-23
Produto_13,Norte,Roupas,30,410.0,2024-11-18
Produto_2,Nordeste,Alimentos,32,160.0,2024-12-19
Produto_14,Sudeste,Eletrônicos,48,110.0,2024-10-09
Produto_2,Sudeste,Alimentos,48,180.0,2025-01-19
Produto_4,Centro-Oeste,Eletrônicos,12,190.0,2024-11-18
Produto_11,Sudeste,Roupas,40,380.0,2024-08-15
Produto_4,Norte,Brinquedos,10,400.0,2024-07-15
Produto_16,Sudeste,Roupas,3,310.0,2025-01-02
Produto_3,Norte,Alimentos,43,420.0,2024-09-08
Produto_10,Sudeste,Eletrônicos,42,160.0,2024-07-24
Produto_12,Sul,Alimentos,16,350.0,2025-01-03
Produto_19,Sul,Roupas,20,310.0,2024-07-08
Produto_13,Sudeste,Roupas,10,340.0,2024-08-24
Produto_14,Sul,Eletrônicos,10,180.0,2025-01-08
Produto_16,Sul,Brinquedos,42,50.0,2024-07-26
Produto_8,Nordeste,Móveis,13,430.0,2024-12-31
Produto_14,Centro-Oeste,Alimentos,3,60.0,2024-08-29
Produto_5,Norte,Roupas,25,40.0,2024-11-08
Produto_3,Nordeste,Brinquedos,5,120.0,2024-07-05
Produto_20,Sul,Roupas,18,330.0,2024-09-02
Produto_8,Nordeste,Roupas,19,380.0,2024-10-12
Produto_3,Norte,Brinquedos,39,180.0,2024-12-12
Produto_17,Sul,Móveis,46,370.0,2025-01-27
Produto_15,Sudeste,Eletrônicos,28,500.0,2024-10-20
Produto_9,Norte,Alimentos,47,380.0,2024-09-25
Produto_12,Sudeste,Roupas,3,110.0,2025-01-08
Produto_10,Centro-Oeste,Móveis,24,30.0,2024-08-01
Produto_3,Centro-Oeste,Roupas,22,50.0,2024-09-21
Produto_4,Norte,Roupas,33,370.0,2024-08-21
Produto_10,Sul,Eletrônicos,7,480.0,2024-07-04
Produto_10,Norte,Alimentos,12,470.0,2024-07-04
