Produto,Categoria,Quantidade_Estoque,Preço_Unitario,Fornecedor
Produto_2,Brinquedos,86.0,599.82,Fornecedor_B
Produto_3,Móveis,175.0,520.31,Fornecedor_B
Produto_4,Brinquedos,203.0,445.2,Fornecedor_C
Produto_5,Móveis,99.0,837.59,Fornecedor_C
Produto_6,Brinquedos,105.0,640.87,Fornecedor_A
Produto_7,Eletrônicos,263.0,erro,Fornecedor_B
Produto_8,Móveis,100.0,124.09,Fornecedor_A
Produto_9,Roupas,189.0,27.63,Fornecedor_A
Produto_10,Eletrônicos,294.0,284.51,Fornecedor_B
Produto_11,Eletrônicos,61.0,429.83,Fornecedor_A
Produto_12,Móveis,307.0,468.66,Fornecedor_A
Produto_13,Roupas,450.0,760.18,Fornecedor_C
Produto_14,Brinquedos,,314.91,Fornecedor_C
Produto_15,Móveis,248.0,73.0,Fornecedor_A
Produto_16,Móveis,276.0,523.42,Fornecedor_A
Produto_17,Móveis,306.0,513.87,Fornecedor_B
Produto_18,Roupas,181.0,453.77,Fornecedor_B
Produto_19,Móveis,285.0,408.97,Fornecedor_B
Produto_20,Alimentos,210.0,183.69,Fornecedor_A
Produto_21,Eletrônicos,97.0,140.85,Fornecedor_B
Produto_22,Móveis,118.0,992.3,Fornecedor_A
Produto_23,Brinquedos,481.0,420.68,Fornecedor_A
Produto_24,Alimentos,11.0,373.28,Fornecedor_B
Produto_25,Móveis,380.0,112.32,Fornecedor_B
Produto_26,Móveis,111.0,829.91,Fornecedor_C
Produto_27,Alimentos,483.0,284.23,Fornecedor_B
Produto_28,Móveis,497.0,422.41,Fornecedor_C
Produto_29,Móveis,53.0,888.1,Fornecedor_C
Produto_30,Alimentos,472.0,94.73,Fornecedor_A
Produto_31,Móveis,347.0,545.47,Fornecedor_C
