ID_Venda,Data_Venda,Produto,Região,Quantidade,Valor_Total
1,2024-03-07,Produto_3,Oeste,10,124.88
2,2024-04-27,Produto_2,Sul,7,146.05
3,2024-02-15,Produto_5,Sul,6,401.81
4,2024-03-06,Produto_7,Norte,11,572.99
5,2024-09-23,Produto_10,Leste,9,1877.17
6,2024-04-27,Produto_7,Centro-Oeste,8,476.89
7,2024-05-23,Produto_9,Sul,12,1277.82
8,2024-07-13,Produto_9,Leste,14,798.71
9,2024-02-20,Produto_6,Centro-Oeste,8,1195.37
10,2024-03-01,Produto_3,Sul,18,969.29
11,2024-01-14,Produto_7,,16,835.08
12,2024-05-23,Produto_1,Leste,1,1483.08
13,2024-06-09,Produto_9,Leste,13,127.07
14,2024-06-11,Produto_4,Oeste,5,1385.69
15,2024-03-12,Produto_1,Norte,13,241.31
16,2024-10-07,Produto_3,Centro-Oeste,16,1669.18
17,2024-12-09,Produto_4,Leste,18,1015.35
18,2024-03-08,Produto_2,Centro-Oeste,15,990.09
19,2024-12-23,Produto_10,Oeste,3,945.79
20,2024-03-09,Produto_7,Oeste,3,1283.24
21,2024-06-17,Produto_7,Norte,16,1678.17
22,2024-09-18,Produto_1,Leste,19,995.54
23,2024-11-26,Produto_1,Leste,6,1410.66
24,2024-10-25,Produto_8,Norte,2,1799.75
25,2024-07-16,Produto_4,Sul,8,265.29
26,2024-09-03,Produto_1,Norte,7,erro
27,2024-02-27,Produto_1,Oeste,13,1303.97
28,2024-06-11,Produto_5,Sul,11,1069.01
29,2024-06-23,Produto_4,Leste,11,758.48
30,2024-09-12,Produto_3,Centro-Oeste,1,238.58
31,2024-06-10,Produto_2,Leste,7,475.43
32,2024-08-30,Produto_1,Sul,3,132.54
33,2024-06-23,Produto_1,Leste,13,1511.09
34,2024-05-20,Produto_3,Sul,15,1353.51
35,2024-03-17,Produto_9,Centro-Oeste,3,1068.5
36,2024-05-19,Produto_8,Sul,2,797.81
37,2024-02-19,Produto_9,Sul,16,1964.49
38,2024-08-03,Produto_1,Centro-Oeste,12,850.06
39,2024-12-30,Produto_8,Centro-Oeste,11,1721.66
40,2024-01-19,Produto_8,Leste,19,471.77
41,2024-02-24,Produto_4,Norte,10,1785.63
42,2024-11-06,Produto_8,Leste,19,838.69
43,2024-07-13,Produto_4,Norte,14,552.48
44,2024-12-30,Produto_2,Leste,4,611.81
45,2024-06-27,Produto_9,Sul,11,1208.96
46,2024-04-13,Produto_5,Oeste,8,1925.97
47,2024-06-21,Produto_6,Sul,5,720.1
48,2024-03-20,Produto_5,Oeste,17,1555.58
49,2024-09-25,Produto_6,Sul,3,1364.01
50,2024-12-17,Produto_4,Centro-Oeste,11,1663.26
51,2024-01-10,Produto_9,Leste,14,62.97
52,2024-05-07,Produto_9,Sul,9,787.3
53,2024-11-04,Produto_2,Norte,16,1519.57
54,2024-05-20,Produto_3,Oeste,13,1816.32
55,2024-05-20,Produto_10,Norte,4,575.48
56,2024-10-26,Produto_1,Sul,1,1797.66
57,2024-05-19,Produto_2,Sul,15,520.01
58,2024-08-24,Produto_3,Sul,19,414.5
59,2024-01-21,Produto_4,Leste,14,1907.93
60,2024-07-25,Produto_5,Oeste,13,1091.73
61,2024-08-03,Produto_10,Norte,2,718.2
62,2024-11-06,Produto_6,Norte,7,1662.85
63,2024-02-17,Produto_10,Oeste,6,1634.29
64,2024-08-08,Produto_2,Leste,16,1643.29
65,2024-05-30,Produto_9,Sul,6,142.1
66,2024-11-23,Produto_5,Oeste,8,974.24
67,2024-08-23,Produto_4,Norte,14,1835.9
68,2024-05-31,Produto_10,Norte,5,573.2
69,2024-09-16,Produto_4,Leste,6,625.59
70,2024-05-11,Produto_2,Centro-Oeste,18,1326.12
71,2024-10-24,Produto_7,Leste,18,1104.82
72,2024-11-21,Produto_10,Sul,15,1225.6
73,2024-02-06,Produto_10,Leste,15,1511.52
74,2024-03-17,Produto_2,Norte,4,1177.53
75,2024-11-22,Produto_2,Norte,8,1626.48
76,2024-04-20,Produto_4,Oeste,2,1185.98
77,2024-09-25,Produto_8,Oeste,6,265.95
78,2024-03-27,Produto_10,Sul,17,1577.47
79,2024-10-13,Produto_10,Sul,1,1016.53
80,2024-04-14,Produto_9,Centro-Oeste,18,748.29
81,2024-03-02,Produto_4,Norte,15,730.63
82,2024-03-18,Produto_10,Centro-Oeste,15,1751.57
83,2024-11-02,Produto_10,Oeste,13,199.69
84,2024-08-02,Produto_3,Norte,11,913.31
85,2024-11-01,Produto_5,Sul,12,680.26
86,2024-11-22,Produto_3,Norte,3,1309.02
87,2024-11-04,Produto_8,Sul,15,282.5
88,2024-12-12,Produto_5,Oeste,10,784.24
