Residencia,Mês,Consumo_kWh,Bandeira_Tarifária,Valor_Pago
Residencia_17,2024-08,281.4,Vermelha,339.64
Residencia_24,2024-09,263.4,Vermelha,543.54
Residencia_33,2024-12,359.8,Verde,577.84
Residencia_41,2024-06,327.1,Amarela,363.04
Residencia_23,2024-12,310.0,Verde,599.17
Residencia_12,2024-02,278.2,Amarela,694.55
Residencia_8,2024-08,358.3,Amarela,738.72
Residencia_33,2024-05,415.4,Vermelha,478.76
Residencia_49,2024-08,,Vermelha,551.25
Residencia_29,2024-07,415.0,Amarela,656.76
Residencia_46,2024-10,177.0,Vermelha,612.29
Residencia_8,2024-06,304.6,Amarela,701.59
Residencia_3,2024-06,352.2,Verde,772.23
Residencia_14,2024-09,509.6,Vermelha,668.99
Residencia_32,2024-02,302.9,Amarela,661.8
Residencia_30,2024-10,473.9,Vermelha,erro
Residencia_32,2024-08,241.1,Vermelha,233.89
Residencia_35,2024-10,217.5,Amarela,202.47
Residencia_9,2024-11,297.2,Vermelha,702.01
Residencia_26,2024-10,313.0,Amarela,489.25
Residencia_29,2024-09,353.2,Amarela,423.59
Residencia_14,2024-06,281.2,Vermelha,353.4
Residencia_49,2024-06,388.9,Verde,471.86
Residencia_11,2024-11,314.9,Amarela,520.7
Residencia_15,2024-08,413.8,Verde,480.29
Residencia_4,2024-10,301.6,Amarela,307.69
Residencia_34,2024-12,494.2,Amarela,632.64
Residencia_14,2024-01,313.7,Verde,702.77
Residencia_46,2024-11,455.8,Vermelha,426.1
Residencia_20,2024-09,371.6,Amarela,565.23
Residencia_13,2024-09,415.9,Amarela,450.81
Residencia_7,2024-02,404.0,Amarela,471.07
Residencia_48,2024-09,378.5,Amarela,733.78
Residencia_16,2024-10,371.8,Amarela,522.72
Residencia_14,2024-03,402.1,Amarela,393.08
Residencia_40,2024-10,405.3,Verde,340.36
Residencia_24,2024-02,333.9,Amarela,598.53
Residencia_45,2024-02,337.5,Verde,720.5
Residencia_26,2024-08,242.0,Verde,346.74
Residencia_25,2024-02,321.7,Verde,437.55
Residencia_37,2024-02,431.0,Verde,743.42
Residencia_22,2024-06,284.7,Amarela,488.14
Residencia_35,2024-06,392.2,Verde,311.67
Residencia_12,2024-11,440.7,Amarela,324.96
Residencia_12,2024-10,329.6,Amarela,380.88
Residencia_27,2024-12,332.9,Verde,370.48
Residencia_39,2024-10,306.9,Amarela,358.62
Residencia_15,2024-07,329.8,Verde,587.5
Residencia_26,2024-05,208.9,Vermelha,340.38
Residencia_34,2024-03,399.3,Vermelha,653.8
Residencia_14,2024-08,424.2,Amarela,785.26
Residencia_38,2024-07,321.2,Verde,444.11
Residencia_12,2024-01,200.1,Amarela,500.83
Residencia_48,2024-04,442.7,Vermelha,209.4
Residencia_40,2024-08,466.2,Amarela,596.26
Residencia_7,2024-05,242.9,Vermelha,550.49
Residencia_12,2024-07,311.7,Vermelha,293.56
Residencia_41,2024-04,239.9,Vermelha,703.63
Residencia_12,2024-01,421.0,Vermelha,585.38
Residencia_19,2024-01,416.6,Amarela,768.59
Residencia_40,2024-12,318.9,Amarela,422.13
Residencia_50,2024-08,322.0,Verde,511.94
Residencia_49,2024-04,386.7,Vermelha,459.78
Residencia_2,2024-12,285.3,Vermelha,610.75
Residencia_13,2024-05,449.5,Vermelha,727.98
Residencia_33,2024-06,328.4,Vermelha,486.81
Residencia_27,2024-02,188.7,Amarela,614.34
Residencia_23,2024-09,398.8,Vermelha,430.49
Residencia_40,2024-08,364.5,Verde,297.82
Residencia_5,2024-02,369.1,Verde,216.63
Residencia_22,2024-12,265.1,Vermelha,560.58
Residencia_37,2024-11,263.2,Amarela,165.52
Residencia_38,2024-11,247.0,Verde,568.19
Residencia_34,2024-07,259.6,Vermelha,539.99
Residencia_40,2024-11,283.3,Verde,219.0
Residencia_34,2024-06,403.4,Amarela,275.57
Residencia_13,2024-03,287.4,Verde,363.14
Residencia_6,2024-10,390.0,Vermelha,576.55
Residencia_4,2024-12,380.3,Amarela,238.46
Residencia_44,2024-09,356.7,Amarela,714.81
Residencia_49,2024-09,289.9,Verde,596.84
Residencia_13,2024-04,451.8,Vermelha,615.58
Residencia_22,2024-02,380.0,Vermelha,306.83
Residencia_32,2024-09,280.6,Amarela,177.64
Residencia_18,2024-02,342.3,Verde,464.28
Residencia_49,2024-11,358.8,Verde,438.35
Residencia_9,2024-02,367.4,Vermelha,697.64
Residencia_45,2024-09,407.4,Amarela,768.91
Residencia_29,2024-11,337.3,Amarela,638.68
Residencia_10,2024-07,285.8,Amarela,798.01
Residencia_38,2024-11,327.6,Amarela,606.86
Residencia_13,2024-01,279.2,Verde,323.64
Residencia_31,2024-05,415.8,Vermelha,779.0
Residencia_2,2024-04,399.2,Amarela,550.71
Residencia_39,2024-03,424.7,Amarela,340.74
Residencia_25,2024-09,378.4,Amarela,347.01
Residencia_4,2024-04,257.7,Amarela,577.74
Residencia_32,2024-05,254.0,Verde,397.59
Residencia_47,2024-05,401.6,Verde,477.97
Residencia_6,2024-10,348.9,Amarela,691.39
Residencia_27,2024-03,324.5,Amarela,476.51
Residencia_6,2024-10,222.1,Verde,740.51
Residencia_17,2024-01,515.6,Amarela,308.51
Residencia_34,2024-07,338.1,Verde,327.83
Residencia_9,2024-09,543.2,Vermelha,174.59
Residencia_5,2024-03,312.9,Amarela,573.96
Residencia_46,2024-11,536.1,Vermelha,205.65
Residencia_43,2024-09,406.9,Vermelha,623.34
Residencia_37,2024-12,453.5,Amarela,176.72
Residencia_35,2024-12,224.6,Vermelha,245.7
Residencia_14,2024-09,249.2,Amarela,684.33
Residencia_20,2024-11,297.8,Vermelha,720.13
Residencia_48,2024-08,222.7,Amarela,205.57
Residencia_40,2024-11,390.1,Vermelha,386.06
Residencia_41,2024-09,251.2,Amarela,296.84
Residencia_40,2024-08,460.3,Verde,462.1
Residencia_4,2024-12,387.8,Amarela,622.39
Residencia_37,2024-03,393.8,Amarela,167.95
Residencia_1,2024-07,402.2,Vermelha,772.38
Residencia_36,2024-05,467.0,Verde,253.49
Residencia_1,2024-05,407.3,Verde,286.5
Residencia_35,2024-03,354.1,Verde,628.5
Residencia_2,2024-05,373.9,Vermelha,507.82
Residencia_37,2024-04,270.6,Verde,182.32
Residencia_41,2024-11,237.8,Vermelha,189.38
Residencia_32,2024-05,317.5,Amarela,517.91
Residencia_50,2024-05,337.9,Vermelha,351.21
Residencia_44,2024-02,285.3,Amarela,410.98
Residencia_30,2024-06,408.3,Amarela,708.62
Residencia_9,2024-11,449.5,Vermelha,728.05
Residencia_24,2024-08,398.1,Amarela,615.69
Residencia_49,2024-03,302.0,Verde,159.39
Residencia_9,2024-01,351.6,Verde,250.71
