Aluno,Data,Dia_Semana,Check-in,Tempo_Treino_Min
Aluno_70,2024-02-07,Quarta,Não,45.0
Aluno_46,2024-02-28,Segunda,Sim,93.0
Aluno_47,2024-02-11,Quarta,Sim,59.0
Aluno_9,2024-03-01,Sábado,Sim,31.0
Aluno_47,2024-03-22,Quinta,Sim,32.0
Aluno_18,2024-02-02,Sexta,Não,106.0
Aluno_48,2024-03-30,Terça,Sim,33.0
Aluno_11,2024-02-03,Quinta,Sim,41.0
Aluno_85,2024-03-28,Terça,Sim,101.0
Aluno_23,2024-01-14,Segunda,Sim,54.0
Aluno_74,2024-03-26,Sexta,Sim,40.0
Aluno_90,2024-01-18,Sábado,Sim,32.0
Aluno_43,2024-02-15,Quinta,Talvez,30.0
Aluno_74,2024-03-26,Sexta,Sim,68.0
Aluno_30,2024-01-10,Sexta,Sim,37.0
Aluno_62,2024-01-09,Quarta,Sim,66.0
Aluno_4,2024-02-11,Terça,Sim,54.0
Aluno_86,2024-01-23,Sábado,Não,61.0
Aluno_90,2024-03-31,Quinta,Sim,103.0
Aluno_63,2024-03-25,Sexta,Não,76.0
Aluno_90,2024-01-10,Sexta,Sim,71.0
Aluno_21,2024-02-08,Sábado,Sim,27.0
Aluno_93,2024-01-17,Sábado,Não,89.0
Aluno_39,2024-01-24,Sábado,Não,38.0
Aluno_56,2024-02-28,Sexta,Sim,95.0
Aluno_96,2024-01-13,Terça,Sim,75.0
Aluno_48,2024-01-11,Quinta,Sim,90.0
Aluno_68,2024-02-21,Quarta,Sim,60.0
Aluno_13,2024-02-23,Sexta,Sim,118.0
Aluno_27,2024-03-06,Sexta,Sim,48.0
Aluno_24,2024-03-01,Sexta,Sim,76.0
Aluno_53,2024-02-10,Sábado,Sim,112.0
Aluno_42,2024-02-17,Sábado,Sim,57.0
Aluno_1,2024-03-11,Quarta,Sim,39.0
Aluno_21,2024-01-15,Terça,Sim,48.0
Aluno_83,2024-01-25,Sábado,Sim,103.0
Aluno_48,2024-02-26,Quarta,Sim,43.0
Aluno_5,2024-01-14,Quinta,Não,84.0
Aluno_55,2024-03-23,Sexta,Sim,99.0
Aluno_41,2024-03-23,Quinta,Sim,51.0
Aluno_21,2024-01-08,Quarta,Sim,85.0
Aluno_91,2024-01-11,Terça,Não,99.0
Aluno_66,2024-02-06,Quinta,Sim,99.0
Aluno_55,2024-03-23,Sexta,Sim,32.0
Aluno_18,2024-01-04,Sexta,Sim,23.0
Aluno_28,2024-02-27,Sábado,Sim,
Aluno_75,2024-03-25,Quinta,Sim,25.0
Aluno_83,2024-03-26,Sexta,Sim,105.0
Aluno_23,2024-01-30,Segunda,Sim,115.0
Aluno_45,2024-01-06,Quinta,Sim,54.0
Aluno_94,2024-01-23,Sexta,Sim,64.0
Aluno_81,2024-03-05,Segunda,Sim,46.0
Aluno_49,2024-03-29,Sábado,Sim,21.0
Aluno_9,2024-03-19,Sábado,Sim,109.0
Aluno_27,2024-03-15,Quinta,Sim,71.0
Aluno_43,2024-03-14,Quinta,Sim,24.0
Aluno_95,2024-02-01,Sábado,Sim,76.0
Aluno_37,2024-02-20,Segunda,Sim,62.0
Aluno_73,2024-02-15,Segunda,Sim,25.0
Aluno_6,2024-01-18,Sábado,Sim,64.0
Aluno_8,2024-01-17,Sexta,Sim,90.0
Aluno_94,2024-02-13,Sábado,Não,66.0
Aluno_86,2024-01-22,Segunda,Sim,52.0
Aluno_37,2024-01-28,Sexta,Sim,28.0
Aluno_10,2024-01-03,Terça,Sim,77.0
Aluno_6,2024-03-14,Segunda,Sim,56.0
Aluno_34,2024-02-15,Quinta,Sim,94.0
Aluno_33,2024-03-04,Sábado,Sim,65.0
Aluno_68,2024-02-10,Terça,Sim,116.0
Aluno_19,2024-01-16,Segunda,Sim,112.0
Aluno_87,2024-03-14,Quarta,Sim,86.0
Aluno_28,2024-02-07,Sexta,Sim,41.0
Aluno_30,2024-03-31,Sexta,Não,80.0
Aluno_56,2024-03-19,Sexta,Não,30.0
Aluno_57,2024-02-26,Segunda,Sim,34.0
Aluno_28,2024-03-07,Terça,Sim,31.0
Aluno_100,2024-01-07,Sábado,Sim,48.0
Aluno_34,2024-01-31,Sexta,Sim,32.0
Aluno_8,2024-03-11,Terça,Não,59.0
Aluno_66,2024-02-23,Quarta,Sim,37.0
Aluno_37,2024-01-24,Sábado,Sim,86.0
Aluno_46,2024-01-03,Sábado,Sim,52.0
Aluno_34,2024-03-06,Sábado,Não,78.0
Aluno_23,2024-01-27,Sábado,Não,89.0
Aluno_69,2024-02-03,Sexta,Sim,83.0
Aluno_75,2024-01-02,Quarta,Sim,65.0
Aluno_28,2024-02-10,Quinta,Sim,69.0
Aluno_5,2024-01-19,Quinta,Sim,74.0
Aluno_73,2024-02-09,Quarta,Sim,51.0
Aluno_70,2024-03-21,Terça,Sim,44.0
Aluno_36,2024-01-20,Sexta,Sim,38.0
Aluno_2,2024-01-13,Sexta,Não,41.0
Aluno_82,2024-02-02,Sexta,Não,96.0
Aluno_21,2024-02-14,Quarta,Sim,68.0
Aluno_59,2024-02-06,Terça,Sim,23.0
Aluno_54,2024-03-20,Sábado,Sim,46.0
Aluno_8,2024-01-08,Sexta,Sim,65.0
Aluno_58,2024-02-01,Quinta,Sim,27.0
Aluno_28,2024-02-08,Segunda,Sim,79.0
Aluno_45,2024-01-03,Quinta,Sim,114.0
Aluno_41,2024-02-08,Terça,Sim,83.0
Aluno_8,2024-01-19,Sexta,Sim,93.0
Aluno_66,2024-01-12,Quarta,Sim,47.0
Aluno_56,2024-01-05,Sábado,Não,115.0
Aluno_32,2024-02-10,Quarta,Sim,50.0
Aluno_15,2024-02-03,Sábado,Sim,110.0
Aluno_36,2024-03-28,Segunda,Sim,110.0
Aluno_89,2024-01-19,Sábado,Sim,37.0
Aluno_25,2024-03-05,Sexta,Sim,21.0
Aluno_76,2024-01-03,Sexta,Sim,38.0
Aluno_67,2024-02-02,Quarta,Sim,119.0
Aluno_50,2024-01-20,Quarta,Sim,90.0
Aluno_60,2024-02-13,Quarta,Sim,107.0
Aluno_23,2024-01-18,Terça,Sim,20.0
Aluno_32,2024-01-30,Quinta,Sim,50.0
Aluno_55,2024-01-19,Quinta,Sim,49.0
Aluno_37,2024-03-09,Quarta,Sim,64.0
Aluno_50,2024-01-05,Segunda,Sim,40.0
Aluno_90,2024-02-05,Quarta,Sim,81.0
Aluno_19,2024-03-04,Terça,Sim,21.0
Aluno_6,2024-01-19,Sexta,Não,70.0
Aluno_14,2024-03-20,Sexta,Sim,96.0
Aluno_64,2024-03-09,Terça,Sim,37.0
Aluno_21,2024-03-15,Segunda,Sim,119.0
Aluno_100,2024-03-03,Quarta,Sim,22.0
Aluno_3,2024-01-06,Sexta,Sim,26.0
Aluno_25,2024-03-15,Quinta,Sim,20.0
Aluno_96,2024-03-01,Terça,Sim,34.0
Aluno_92,2024-01-14,Segunda,Sim,118.0
Aluno_54,2024-01-31,Quarta,Sim,101.0
Aluno_53,2024-02-25,Sexta,Sim,72.0
Aluno_98,2024-01-08,Sexta,Sim,20.0
Aluno_62,2024-02-05,Quarta,Sim,104.0
Aluno_23,2024-02-19,Terça,Sim,89.0
Aluno_84,2024-01-07,Sexta,Sim,91.0
Aluno_98,2024-02-12,Quinta,Sim,83.0
Aluno_95,2024-03-17,Sexta,Sim,54.0
Aluno_89,2024-02-23,Quarta,Sim,110.0
Aluno_20,2024-01-11,Sábado,Sim,61.0
Aluno_64,2024-02-22,Sábado,Sim,51.0
Aluno_16,2024-03-31,Terça,Sim,111.0
Aluno_13,2024-02-11,Sexta,Sim,21.0
Aluno_49,2024-02-21,Quinta,Sim,74.0
Aluno_91,2024-02-02,Segunda,Sim,69.0
Aluno_64,2024-01-27,Quinta,Sim,93.0
Aluno_15,2024-03-13,Terça,Sim,40.0
Aluno_75,2024-03-12,Quarta,Sim,26.0
Aluno_100,2024-02-24,Terça,Sim,64.0
Aluno_37,2024-02-02,Sábado,Sim,81.0
Aluno_24,2024-03-20,Terça,Sim,77.0
Aluno_78,2024-01-21,Quinta,Sim,40.0
Aluno_60,2024-01-11,Quinta,Sim,94.0
Aluno_25,2024-03-28,Sábado,Sim,43.0
Aluno_73,2024-03-12,Sábado,Sim,53.0
Aluno_58,2024-01-07,Sábado,Sim,21.0
Aluno_43,2024-02-18,Terça,Sim,51.0
Aluno_54,2024-03-06,Quinta,Sim,67.0
Aluno_83,2024-02-06,Sexta,Não,30.0
Aluno_32,2024-03-22,Quarta,Sim,86.0
Aluno_36,2024-03-26,Quinta,Sim,37.0
Aluno_92,2024-02-21,Terça,Sim,70.0
Aluno_37,2024-01-12,Quinta,Sim,92.0
Aluno_24,2024-02-15,Sábado,Sim,24.0
Aluno_41,2024-02-20,Sexta,Sim,27.0
Aluno_84,2024-02-03,Segunda,Sim,34.0
Aluno_82,2024-02-13,Sábado,Sim,94.0
Aluno_42,2024-03-28,Sexta,Sim,76.0
Aluno_52,2024-02-28,Sábado,Sim,44.0
Aluno_75,2024-01-06,Sábado,Sim,119.0
Aluno_9,2024-02-12,Quarta,Sim,20.0
Aluno_8,2024-03-26,Segunda,Sim,45.0
Aluno_95,2024-01-04,Segunda,Sim,57.0
Aluno_78,2024-03-04,Sexta,Sim,67.0
Aluno_17,2024-03-31,Sábado,Sim,72.0
Aluno_50,2024-03-31,Sábado,Sim,58.0
Aluno_96,2024-01-12,Sexta,Sim,81.0
Aluno_27,2024-03-24,Sábado,Sim,102.0
Aluno_77,2024-03-04,Segunda,Sim,24.0
Aluno_10,2024-01-12,Terça,Sim,106.0
Aluno_44,2024-03-16,Quinta,Sim,97.0
Aluno_8,2024-01-19,Quarta,Sim,36.0
Aluno_94,2024-02-06,Terça,Sim,69.0
Aluno_59,2024-03-08,Terça,Sim,33.0
Aluno_97,2024-02-07,Quarta,Sim,72.0
Aluno_35,2024-01-10,Sexta,Sim,80.0
Aluno_35,2024-01-16,Quinta,Sim,79.0
Aluno_8,2024-03-25,Sexta,Não,107.0
Aluno_61,2024-02-18,Sexta,Não,80.0
Aluno_40,2024-03-08,Sexta,Sim,51.0
Aluno_89,2024-02-13,Segunda,Não,39.0
Aluno_65,2024-01-20,Sexta,Sim,75.0
Aluno_42,2024-02-23,Quarta,Sim,23.0
Aluno_96,2024-02-06,Sábado,Sim,40.0
Aluno_91,2024-02-07,Quarta,Não,76.0
Aluno_69,2024-01-27,Sábado,Sim,66.0
Aluno_68,2024-02-23,Quarta,Sim,101.0
Aluno_8,2024-01-22,Quarta,Sim,68.0
Aluno_45,2024-02-11,Terça,Sim,100.0
Aluno_18,2024-02-16,Sábado,Sim,68.0
Aluno_74,2024-02-24,Segunda,Não,82.0
Aluno_11,2024-01-30,Sexta,Não,69.0
Aluno_87,2024-01-27,Quinta,Sim,113.0
Aluno_52,2024-01-03,Quinta,Sim,42.0
Aluno_21,2024-03-15,Quarta,Sim,98.0
Aluno_81,2024-02-01,Sábado,Sim,75.0
Aluno_16,2024-02-22,Sábado,Sim,25.0
Aluno_21,2024-01-18,Sábado,Sim,116.0
Aluno_44,2024-03-07,Quinta,Sim,108.0
Aluno_73,2024-01-03,Quinta,Sim,102.0
Aluno_6,2024-01-18,Sexta,Sim,54.0
Aluno_94,2024-02-10,Terça,Sim,107.0
Aluno_58,2024-02-08,Sábado,Sim,36.0
Aluno_5,2024-01-23,Quarta,Sim,62.0
Aluno_79,2024-03-25,Sábado,Sim,83.0
Aluno_21,2024-02-05,Quarta,Sim,56.0
Aluno_44,2024-03-13,Segunda,Sim,103.0
Aluno_61,2024-03-07,Sábado,Sim,107.0
Aluno_67,2024-03-07,Segunda,Sim,49.0
