ID,Data,Tipo,Bairro,Status,Envolvidos
OC0001,2024-02-25,Roubo,Alvorada,Em investigação,5
OC0002,2024-03-01,Furto,Vila Nova,Encerrado,1
OC0003,2024-02-29,Agressão,Vila Nova,Em investigação,2
OC0004,2024-03-07,Violência Doméstica,Centro,Sem solução,3
OC0005,2024-02-27,Furto,Parque Verde,Em investigação,2
OC0006,2024-02-28,Homicídio,Jardim das Flores,Sem solução,5
OC0007,2024-02-26,Agressão,Vila Nova,Em investigação,4
OC0008,2024-03-16,Furto,São Jorge,Em investigação,3
OC0009,2024-03-02,Roubo,Alvorada,Encerrado,2
OC0010,2024-02-06,Tráfico de Drogas,Industrial,Encerrado,4
OC0011,2024-02-23,Tráfico de Drogas,Alvorada,Em investigação,1
OC0012,2024-03-13,Homicídio,Vila Nova,Sem solução,2
OC0013,2024-03-14,Roubo,Vila Nova,Em investigação,5
OC0014,2024-03-11,Homicídio,Vila Nova,Encerrado,1
OC0015,2024-01-31,Tráfico de Drogas,Industrial,Em investigação,5
OC0016,2024-01-05,Homicídio,São Jorge,Encerrado,2
OC0017,2024-03-26,Furto,Alvorada,Em investigação,1
OC0018,2024-02-13,Roubo,São Jorge,Sem solução,2
OC0019,2024-01-09,Violência Doméstica,Industrial,Sem solução,4
OC0020,2024-03-17,Homicídio,São Jorge,Encerrado,5
OC0021,2024-03-22,Furto,Centro,Encerrado,4
OC0022,2024-02-29,Furto,Industrial,Encerrado,5
OC0023,2024-01-27,Roubo,Alvorada,Sem solução,1
OC0024,2024-01-27,Tráfico de Drogas,Parque Verde,Encerrado,3
OC0025,2024-01-30,Furto,Alvorada,Sem solução,5
OC0026,2024-02-13,Violência Doméstica,Centro,Em investigação,1
OC0027,2024-02-01,Roubo,São Jorge,Encerrado,5
OC0028,2024-01-04,Agressão,Alvorada,Sem solução,3
OC0029,2024-03-21,Violência Doméstica,Industrial,Sem solução,4
OC0030,2024-03-01,Roubo,São Jorge,Em investigação,4
OC0031,2024-02-25,Violência Doméstica,Industrial,Sem solução,1
OC0032,2024-01-06,Roubo,Centro,Sem solução,5
OC0033,2024-03-24,Homicídio,Alvorada,Sem solução,4
OC0034,2024-01-03,Agressão,Industrial,Sem solução,1
OC0035,2024-03-14,Roubo,Centro,Sem solução,1
OC0036,2024-03-28,Violência Doméstica,São Jorge,Em investigação,5
OC0037,2024-02-06,Tráfico de Drogas,Industrial,Em investigação,5
OC0038,2024-01-11,Homicídio,Alvorada,Em investigação,1
OC0039,2024-03-14,Violência Doméstica,São Jorge,Encerrado,4
OC0040,2024-01-25,Furto,São Jorge,Em investigação,3
OC0041,2024-01-15,Violência Doméstica,Alvorada,Encerrado,2
OC0042,2024-01-18,Furto,São Jorge,Sem solução,5
OC0043,2024-01-10,Furto,Industrial,Em investigação,3
OC0044,2024-03-25,Homicídio,Industrial,Em investigação,2
OC0045,2024-02-03,Tráfico de Drogas,Industrial,Em investigação,2
OC0046,2024-02-06,Homicídio,Parque Verde,Sem solução,5
OC0047,2024-03-24,Furto,São Jorge,Encerrado,2
OC0048,2024-01-15,Tráfico de Drogas,São Jorge,Sem solução,2
OC0049,2024-02-02,Roubo,São Jorge,Em investigação,5
OC0050,2024-03-03,Tráfico de Drogas,Alvorada,Encerrado,4
OC0051,2024-03-19,Violência Doméstica,Parque Verde,Encerrado,3
OC0052,2024-02-09,Roubo,Centro,Sem solução,4
OC0053,2024-01-10,Agressão,Centro,Encerrado,3
OC0054,2024-03-23,Furto,Industrial,Sem solução,4
OC0055,2024-03-09,Furto,São Jorge,Em investigação,3
OC0056,2024-03-18,Violência Doméstica,Centro,Encerrado,3
OC0057,2024-01-31,Agressão,Jardim das Flores,Sem solução,1
OC0058,2024-02-11,Homicídio,Vila Nova,Sem solução,4
OC0059,2024-01-31,Furto,Centro,Sem solução,3
OC0060,2024-01-30,Homicídio,Vila Nova,Sem solução,1
OC0061,2024-01-27,Roubo,Jardim das Flores,Encerrado,5
OC0062,2024-03-17,Tráfico de Drogas,Alvorada,Encerrado,2
OC0063,2024-01-01,Tráfico de Drogas,Vila Nova,Sem solução,3
OC0064,2024-03-24,Roubo,Jardim das Flores,Sem solução,3
OC0065,2024-01-22,Agressão,Centro,Em investigação,2
OC0066,2024-03-28,Tráfico de Drogas,Industrial,Encerrado,5
OC0067,2024-03-14,Tráfico de Drogas,São Jorge,Encerrado,1
OC0068,2024-03-11,Furto,Jardim das Flores,Em investigação,5
OC0069,2024-03-05,Tráfico de Drogas,Alvorada,Encerrado,5
OC0070,2024-02-23,Homicídio,Industrial,Sem solução,1
OC0071,2024-03-09,Furto,Alvorada,Em investigação,3
OC0072,2024-03-13,Tráfico de Drogas,São Jorge,Encerrado,4
OC0073,2024-01-23,Furto,Centro,Encerrado,5
OC0074,2024-02-08,Violência Doméstica,Jardim das Flores,Encerrado,1
OC0075,2024-01-18,Agressão,Centro,Em investigação,5
OC0076,2024-02-14,Roubo,Centro,Sem solução,5
OC0077,2024-02-09,Tráfico de Drogas,Jardim das Flores,Sem solução,5
OC0078,2024-02-29,Furto,Alvorada,Sem solução,5
OC0079,2024-01-19,Tráfico de Drogas,Jardim das Flores,Sem solução,5
OC0080,2024-01-27,Agressão,Industrial,Sem solução,5
OC0081,2024-02-21,Furto,Jardim das Flores,Em investigação,4
OC0082,2024-02-16,Violência Doméstica,Vila Nova,Encerrado,2
OC0083,2024-03-01,Furto,Vila Nova,Sem solução,3
OC0084,2024-02-19,Furto,Alvorada,Sem solução,4
OC0085,2024-03-20,Agressão,Vila Nova,Em investigação,5
OC0086,2024-02-17,Furto,Industrial,Encerrado,5
OC0087,2024-01-19,Agressão,São Jorge,Encerrado,5
OC0088,2024-02-03,Roubo,São Jorge,Encerrado,3
OC0089,2024-03-13,fUrTo,São Jorge,Em investigação,1
OC0090,2024-03-15,Furto,São Jorge,Sem solução,3
OC0091,2024-01-14,Violência Doméstica,Alvorada,Sem solução,5
OC0092,2024-02-22,Roubo,Centro,Em investigação,3
OC0093,2024-02-06,Agressão,São Jorge,Sem solução,4
OC0094,2024-01-27,Agressão,Parque Verde,Encerrado,4
OC0095,2024-01-23,Tráfico de Drogas,Jardim das Flores,Em investigação,3
OC0096,2024-03-01,Furto,Vila Nova,Em investigação,1
OC0097,2024-02-03,Agressão,Centro,Encerrado,4
OC0098,2024-03-30,Roubo,Jardim das Flores,Sem solução,1
OC0099,2024-02-14,Furto,Centro,Em investigação,2
OC0100,2024-03-03,Violência Doméstica,Jardim das Flores,Sem solução,5
OC0101,2024-03-15,Roubo,Centro,Em investigação,3
OC0102,2024-03-30,Violência Doméstica,Industrial,Em investigação,3
OC0103,2024-03-20,Agressão,Centro,Sem solução,4
OC0104,2024-02-03,Violência Doméstica,Parque Verde,Em investigação,2
OC0105,2024-02-09,Violência Doméstica,Vila Nova,Sem solução,4
OC0106,2024-01-28,Furto,Industrial,Encerrado,3
OC0107,2024-01-06,Roubo,Vila Nova,Encerrado,2
OC0108,2024-01-17,Tráfico de Drogas,Parque Verde,Em investigação,5
OC0109,2024-03-11,Furto,São Jorge,Sem solução,1
OC0110,2024-02-05,Tráfico de Drogas,Centro,Em investigação,1
OC0111,2024-01-03,Roubo,Centro,Encerrado,2
OC0112,2024-03-24,Roubo,Centro,Em investigação,4
OC0113,2024-03-12,Furto,Parque Verde,Em investigação,5
OC0114,2024-01-24,Furto,São Jorge,Sem solução,3
OC0115,2024-01-24,Agressão,Alvorada,Em investigação,1
OC0116,2024-02-29,Homicídio,Centro,Sem solução,3
OC0117,2024-03-20,Furto,Parque Verde,Em investigação,2
OC0118,2024-02-25,Agressão,Alvorada,Em investigação,4
OC0119,2024-02-21,Roubo,São Jorge,Em investigação,3
OC0120,2024-01-30,Homicídio,Centro,Encerrado,2
OC0121,2024-02-13,Roubo,Jardim das Flores,Encerrado,5
OC0122,2024-02-26,Violência Doméstica,Vila Nova,Encerrado,4
OC0123,2024-01-09,Roubo,Alvorada,Encerrado,1
OC0124,2024-03-03,Furto,Vila Nova,Encerrado,1
OC0125,2024-02-26,Furto,São Jorge,Em investigação,2
OC0126,2024-03-06,Homicídio,São Jorge,Sem solução,4
OC0127,2024-01-25,Roubo,Alvorada,Em investigação,3
OC0128,2024-02-17,Violência Doméstica,Alvorada,Em investigação,2
OC0129,2024-02-22,Violência Doméstica,Centro,Encerrado,5
OC0130,2024-03-23,Tráfico de Drogas,São Jorge,Sem solução,3
OC0131,2024-01-14,Furto,Centro,Sem solução,3
OC0132,2024-02-19,Agressão,Centro,Sem solução,4
OC0133,2024-02-19,Homicídio,Jardim das Flores,,4
OC0134,2024-03-12,Agressão,Alvorada,Em investigação,2
