ID,Data,Categoria,Meio_Contato,Tempo_Resposta (dias),Status
RC0001,2024-01-06,Cobrança Indevida,Telefone,7.0,Não resolvida
RC0002,2024-01-12,Cobrança Indevida,Chat,9.0,Em andamento
RC0003,2024-01-26,Entrega,Redes Sociais,21.0,Resolvida
RC0004,2024-02-22,Produto com Defeito,E-mail,9.0,Não resolvida
RC0005,2024-03-17,Atendimento,Chat,15.0,Resolvida
RC0006,2024-03-27,Garantia,Redes Sociais,23.0,Resolvida
RC0007,2024-03-13,Garantia,E-mail,24.0,Não resolvida
RC0008,2024-02-08,Produto com Defeito,Chat,24.0,Resolvida
RC0009,2024-03-13,Atendimento,Telefone,18.0,Em andamento
RC0010,2024-03-16,Produto com Defeito,E-mail,27.0,Em andamento
RC0011,2024-02-20,Garantia,Telefone,4.0,Em andamento
RC0012,2024-02-19,Cobrança Indevida,Telefone,29.0,Resolvida
RC0013,2024-02-07,Entrega,Redes Sociais,23.0,Em andamento
RC0014,2024-03-20,Garantia,E-mail,25.0,Em andamento
RC0015,2024-01-14,Atendimento,E-mail,2.0,Resolvida
RC0016,2024-03-30,Garantia,Redes Sociais,13.0,Não resolvida
RC0017,2024-03-06,Garantia,Chat,17.0,Não resolvida
RC0018,2024-02-26,Entrega,Telefone,22.0,Não resolvida
RC0019,2024-03-01,Atendimento,E-mail,11.0,Em andamento
RC0020,2024-03-28,Atendimento,Chat,13.0,Resolvida
RC0021,2024-01-10,Entrega,Telefone,10.0,Em andamento
RC0022,2024-02-12,Garantia,Redes Sociais,23.0,Não resolvida
RC0023,2024-01-13,Garantia,Chat,22.0,Em andamento
RC0024,2024-01-27,Cobrança Indevida,Redes Sociais,7.0,Em andamento
RC0025,2024-01-11,Atendimento,Redes Sociais,9.0,Em andamento
RC0026,2024-03-20,Produto com Defeito,E-mail,22.0,Resolvida
RC0027,2024-01-21,Cobrança Indevida,Chat,19.0,Resolvida
RC0028,2024-02-01,Cobrança Indevida,Redes Sociais,8.0,Não resolvida
RC0029,2024-03-24,Cobrança Indevida,Telefone,15.0,Não resolvida
RC0030,2024-01-25,Entrega,Chat,12.0,Em andamento
RC0031,2024-03-13,Entrega,Redes Sociais,10.0,Não resolvida
RC0032,2024-01-22,Atendimento,E-mail,5.0,Resolvida
RC0033,2024-01-17,Atendimento,Chat,6.0,Resolvida
RC0034,2024-02-04,Garantia,Redes Sociais,27.0,Em andamento
RC0035,2024-03-10,Garantia,Chat,16.0,Resolvida
RC0036,2024-02-27,Atendimento,Redes Sociais,23.0,Em andamento
RC0037,2024-03-24,Garantia,E-mail,19.0,Não resolvida
RC0038,2024-01-11,Atendimento,Telefone,28.0,Resolvida
RC0039,2024-01-31,Atendimento,Telefone,1.0,Em andamento
RC0040,2024-01-22,Cobrança Indevida,Telefone,6.0,Resolvida
RC0041,2024-02-17,Produto com Defeito,Redes Sociais,19.0,Não resolvida
RC0042,2024-02-23,Entrega,Chat,16.0,Em andamento
RC0043,2024-01-28,Entrega,E-mail,16.0,Não resolvida
RC0044,2024-02-05,Produto com Defeito,Chat,20.0,Em andamento
RC0045,2024-03-21,Entrega,Telefone,21.0,Resolvida
RC0046,2024-02-14,Produto com Defeito,Chat,5.0,Em andamento
RC0047,2024-03-18,Cobrança Indevida,Chat,26.0,Em andamento
RC0048,2024-02-29,Cobrança Indevida,Chat,14.0,Resolvida
RC0049,2024-02-10,Garantia,Redes Sociais,18.0,Resolvida
RC0050,2024-01-02,Garantia,Chat,9.0,Em andamento
RC0051,2024-01-11,Entrega,Telefone,6.0,Resolvida
RC0052,2024-01-16,Entrega,Telefone,6.0,Resolvida
RC0053,2024-02-12,Entrega,Redes Sociais,16.0,Em andamento
RC0054,2024-01-23,Garantia,E-mail,19.0,Resolvida
RC0055,2024-02-04,Entrega,Telefone,12.0,Não resolvida
RC0056,2024-03-25,Cobrança Indevida,Redes Sociais,25.0,Em andamento
RC0057,2024-01-03,Produto com Defeito,Telefone,8.0,Não resolvida
RC0058,2024-02-09,Cobrança Indevida,Telefone,23.0,Não resolvida
RC0059,2024-02-02,Cobrança Indevida,Chat,29.0,Resolvida
RC0060,2024-03-05,Entrega,E-mail,10.0,Resolvida
RC0061,2024-03-15,Produto com Defeito,Chat,22.0,Resolvida
RC0062,2024-01-07,Cobrança Indevida,Redes Sociais,30.0,Não resolvida
RC0063,2024-03-25,Atendimento,E-mail,12.0,Resolvida
RC0064,2024-01-29,Garantia,Telefone,21.0,Resolvida
RC0065,2024-01-12,Produto com Defeito,Redes Sociais,11.0,Em andamento
RC0066,2024-02-02,Garantia,Chat,30.0,Não resolvida
RC0067,2024-03-01,Entrega,E-mail,18.0,Resolvida
RC0068,2024-03-17,Garantia,Telefone,28.0,Não resolvida
RC0069,2024-02-21,Cobrança Indevida,Chat,20.0,Em andamento
RC0070,2024-01-09,Cobrança Indevida,Telefone,5.0,Em andamento
RC0071,2024-02-15,Atendimento,Chat,10.0,Em andamento
RC0072,2024-01-15,Garantia,Telefone,22.0,Não resolvida
RC0073,2024-02-11,Atendimento,Redes Sociais,18.0,Resolvida
RC0074,2024-02-02,Garantia,Chat,4.0,Resolvida
RC0075,2024-01-19,Atendimento,E-mail,13.0,Em andamento
RC0076,2024-03-27,Garantia,Telefone,21.0,Em andamento
RC0077,2024-02-22,Produto com Defeito,E-mail,18.0,Em andamento
RC0078,2024-02-28,Cobrança Indevida,Redes Sociais,25.0,Resolvida
RC0079,2024-03-11,Entrega,Chat,2.0,Resolvida
RC0080,2024-01-29,Cobrança Indevida,E-mail,14.0,Em andamento
RC0081,2024-03-28,Produto com Defeito,Telefone,13.0,Em andamento
RC0082,2024-01-23,Atendimento,Chat,6.0,Resolvida
RC0083,2024-02-14,Produto com Defeito,Redes Sociais,16.0,Não resolvida
RC0084,2024-02-24,Produto com Defeito,Chat,1.0,Não resolvida
RC0085,2024-01-03,Cobrança Indevida,E-mail,16.0,Não resolvida
RC0086,2024-03-14,Produto com Defeito,Telefone,28.0,Resolvida
RC0087,2024-03-12,Cobrança Indevida,E-mail,8.0,Resolvida
RC0088,2024-01-16,Atendimento,Chat,24.0,Não resolvida
RC0089,2024-02-28,Atendimento,Chat,7.0,Não resolvida
RC0090,2024-03-24,Garantia,Chat,4.0,Não resolvida
RC0091,2024-02-10,Atendimento,E-mail,10.0,Em andamento
RC0092,2024-02-13,Entrega,Telefone,7.0,Em andamento
RC0093,2024-01-03,Entrega,E-mail,4.0,Em andamento
RC0094,2024-01-31,Cobrança Indevida,Telefone,5.0,Em andamento
RC0095,2024-01-19,Cobrança Indevida,Telefone,29.0,Em andamento
RC0096,2024-03-04,Cobrança Indevida,Chat,10.0,Não resolvida
RC0097,2024-01-16,Entrega,E-mail,11.0,Em andamento
RC0098,2024-02-19,Atendimento,Telefone,28.0,Resolvida
RC0099,2024-03-27,Cobrança Indevida,E-mail,25.0,Não resolvida
RC0100,2024-02-09,Atendimento,E-mail,26.0,Não resolvida
RC0101,2024-02-18,Garantia,Redes Sociais,27.0,Resolvida
RC0102,2024-02-02,Garantia,Chat,14.0,Não resolvida
RC0103,2024-03-07,Garantia,Redes Sociais,19.0,Não resolvida
RC0104,2024-03-14,Atendimento,Redes Sociais,9.0,Resolvida
RC0105,2024-03-30,Garantia,E-mail,6.0,Em andamento
RC0106,2024-01-24,Atendimento,E-mail,2.0,Em andamento
RC0107,2024-01-08,Entrega,Chat,16.0,Em andamento
RC0108,2024-02-02,Cobrança Indevida,E-mail,4.0,Em andamento
RC0109,2024-02-07,Produto com Defeito,Chat,17.0,Resolvida
RC0110,2024-01-29,Atendimento,Redes Sociais,30.0,Em andamento
RC0111,2024-01-13,entrega,Telefone,3.0,Em andamento
RC0112,2024-01-11,Produto com Defeito,Telefone,30.0,Não resolvida
RC0113,2024-02-23,Garantia,Chat,1.0,Resolvida
RC0114,2024-03-15,Produto com Defeito,Chat,22.0,Não resolvida
RC0115,2024-02-18,Atendimento,E-mail,26.0,Não resolvida
RC0116,2024-01-19,Cobrança Indevida,E-mail,29.0,Resolvida
RC0117,2024-01-05,Entrega,Chat,16.0,Não resolvida
RC0118,2024-01-03,Entrega,Telefone,4.0,Não resolvida
