ID_Produto,Medicamento,Categoria,Estoque_Unidades,Preço_Unitário,Vencimento
MED0001,Amoxicilina,Antifúngico,84,41.31,2025-06-26
MED0002,Metformina,Anti-inflamatório,498,43.67,2026-09-09
MED0003,Azitromicina,Antibiótico,377,36.84,2025-04-08
MED0004,Omeprazol,Anti-inflamatório,187,41.62,2024-06-02
MED0005,Azitromicina,Gastrintestinal,294,10.63,2026-06-21
MED0006,Amoxicilina,Anti-inflamatório,125,42.07,2026-07-16
MED0007,Omeprazol,Antidiabético,491,40.53,2026-11-14
MED0008,Dipirona,Antialérgico,278,22.64,2024-08-14
MED0009,Omeprazol,Antibiótico,486,32.6,2024-12-13
MED0010,Ibuprofeno,Antibiótico,30,11.27,2025-01-31
MED0011,Loratadina,Antibiótico,54,40.79,2024-07-17
MED0012,Simeticona,Gastrintestinal,280,27.55,2024-11-08
MED0013,Cetoconazol,Antibiótico,31,8.43,2026-07-09
MED0014,Cetoconazol,Gastrintestinal,221,37.02,2026-12-09
MED0015,Cetoconazol,Analgésico,150,23.61,2025-10-13
MED0016,Omeprazol,Antibiótico,192,41.27,2026-05-15
MED0017,Paracetamol,Antibiótico,362,46.3,2024-06-21
MED0018,Simeticona,Gastrintestinal,388,18.06,2025-01-28
MED0019,Ibuprofeno,Antibiótico,416,12.43,2025-11-08
MED0020,Amoxicilina,Antibiótico,416,10.25,2024-07-24
MED0021,Cetoconazol,Gastrintestinal,264,43.54,2025-12-27
MED0022,Dipirona,Analgésico,361,49.07,2026-12-20
MED0023,Ibuprofeno,Antibiótico,140,48.68,2025-02-14
MED0024,Loratadina,Gastrintestinal,150,48.8,2024-11-27
MED0025,Paracetamol,Antibiótico,78,39.56,2026-02-11
MED0026,Amoxicilina,Antifúngico,358,7.43,2024-09-27
MED0027,Metformina,Antialérgico,22,13.36,2026-02-16
MED0028,Metformina,Anti-inflamatório,202,41.39,2024-10-26
MED0029,Omeprazol,Antialérgico,91,32.75,2026-11-17
MED0030,Metformina,Analgésico,193,49.96,2025-09-28
MED0031,Paracetamol,Antibiótico,167,49.77,2025-03-02
MED0032,Loratadina,Antidiabético,167,16.85,2024-08-11
MED0033,Ibuprofeno,Antibiótico,268,35.75,2024-06-07
MED0034,Paracetamol,Antibiótico,498,9.09,2026-08-17
MED0035,Azitromicina,Anti-inflamatório,218,35.73,2026-06-28
MED0036,Simeticona,Antifúngico,420,34.88,2026-04-08
MED0037,Cetoconazol,Antibiótico,206,44.63,2025-11-12
MED0038,Loratadina,Antibiótico,152,22.22,2025-05-26
MED0039,Amoxicilina,Anti-inflamatório,307,32.04,2025-10-08
MED0040,Azitromicina,Antidiabético,48,41.73,2025-04-10
MED0041,Omeprazol,Analgésico,309,43.25,2026-10-26
MED0042,Amoxicilina,Antibiótico,261,46.65,2025-05-15
MED0043,Omeprazol,Analgésico,279,34.56,2026-11-29
MED0044,Azitromicina,Antialérgico,134,15.75,2025-12-22
MED0045,Cetoconazol,Antifúngico,171,29.48,2026-04-15
MED0046,Paracetamol,analgésico,262,29.1,2025-03-13
MED0047,Metformina,Analgésico,399,15.08,2026-03-23
MED0048,Cetoconazol,Antidiabético,184,37.29,2025-05-12
MED0049,Azitromicina,Antialérgico,276,39.0,2026-05-28
MED0050,Ibuprofeno,Antifúngico,446,11.07,2026-12-04
MED0051,Amoxicilina,Antibiótico,357,38.32,2026-03-12
MED0052,Loratadina,Antialérgico,119,37.41,2025-11-13
MED0053,Omeprazol,Analgésico,244,40.37,2025-06-25
MED0054,Omeprazol,Antibiótico,142,32.13,2026-06-12
MED0055,Cetoconazol,Antibiótico,484,7.74,2026-06-21
MED0056,Simeticona,Antidiabético,61,20.53,2026-04-08
MED0057,Paracetamol,Antialérgico,159,12.97,2026-05-23
MED0058,Loratadina,Analgésico,148,16.43,2024-06-17
MED0059,Azitromicina,Analgésico,321,29.33,2025-02-27
MED0060,Paracetamol,Gastrintestinal,212,43.71,2025-07-28
MED0061,Omeprazol,Antialérgico,94,21.88,2025-04-08
MED0062,Azitromicina,Antibiótico,471,43.38,2026-04-19
MED0063,Dipirona,Gastrintestinal,168,48.5,2025-07-09
MED0064,Loratadina,Antialérgico,315,47.53,2025-08-02
MED0065,Cetoconazol,Antibiótico,419,32.65,2024-07-16
MED0066,Omeprazol,Antialérgico,283,14.38,2025-06-12
MED0067,Omeprazol,Antifúngico,9,44.34,2024-10-22
MED0068,Amoxicilina,Analgésico,336,25.92,2024-06-25
MED0069,Ibuprofeno,Antibiótico,68,16.97,2025-11-23
MED0070,Amoxicilina,Antibiótico,231,35.18,2026-10-28
MED0071,Ibuprofeno,Antialérgico,241,40.85,2024-10-16
MED0072,Amoxicilina,Antidiabético,484,31.8,2025-03-06
MED0073,Loratadina,Antibiótico,130,31.66,2026-09-03
MED0074,Loratadina,Gastrintestinal,227,9.89,2026-10-16
MED0075,Amoxicilina,Antialérgico,34,27.56,2025-12-10
MED0076,Metformina,Gastrintestinal,351,42.6,2025-06-25
MED0077,Metformina,Gastrintestinal,293,13.07,2026-09-26
MED0078,Paracetamol,Gastrintestinal,14,27.24,2025-11-06
MED0079,Amoxicilina,Antidiabético,483,29.68,2025-11-11
MED0080,Loratadina,Anti-inflamatório,437,22.32,2025-06-10
MED0081,Metformina,Antibiótico,441,18.71,2026-05-23
MED0082,Amoxicilina,Antibiótico,243,42.96,2026-11-03
MED0083,Cetoconazol,Antialérgico,443,9.45,2026-01-01
MED0084,Amoxicilina,Antifúngico,217,37.44,2026-07-25
MED0085,Dipirona,Antifúngico,104,30.15,2024-10-16
MED0086,Metformina,Antibiótico,460,28.7,2025-06-19
MED0087,Cetoconazol,Anti-inflamatório,257,8.07,2025-10-04
MED0088,Dipirona,Antifúngico,185,43.34,2026-09-19
MED0089,Omeprazol,Anti-inflamatório,67,8.04,2026-10-25
MED0090,Metformina,Antifúngico,165,38.67,2024-07-17
MED0091,Ibuprofeno,Antidiabético,448,12.94,2026-02-22
MED0092,Omeprazol,Antibiótico,93,21.92,2024-08-16
MED0093,Amoxicilina,Anti-inflamatório,475,38.38,2025-10-23
MED0094,Azitromicina,Analgésico,357,38.52,2024-06-20
MED0095,Loratadina,Gastrintestinal,390,28.95,2026-01-15
MED0096,Amoxicilina,Analgésico,361,44.22,2026-09-12
MED0097,Azitromicina,Antialérgico,469,6.53,2026-12-12
MED0098,Cetoconazol,Antibiótico,179,34.45,2026-09-20
MED0099,Omeprazol,Antialérgico,31,31.6,2024-11-18
MED0100,Omeprazol,Antibiótico,257,14.43,2026-07-03
MED0101,Azitromicina,Anti-inflamatório,242,,2025-12-18
MED0102,Azitromicina,Antibiótico,317,49.56,2025-08-04
MED0103,Azitromicina,Antidiabético,131,47.65,2025-09-21
MED0104,Omeprazol,Antialérgico,247,16.11,2026-03-11
MED0105,Metformina,Antibiótico,383,38.98,2024-10-16
MED0106,Azitromicina,Antibiótico,13,24.42,2025-03-15
MED0107,Azitromicina,Antifúngico,225,36.56,2025-07-09
MED0108,Metformina,Antialérgico,444,35.29,2025-07-08
MED0109,Metformina,Antialérgico,464,46.7,2026-01-24
MED0110,Ibuprofeno,Antibiótico,440,21.06,2024-07-06
MED0111,Ibuprofeno,Antifúngico,453,11.69,2024-12-10
MED0112,Omeprazol,Anti-inflamatório,255,18.1,2024-06-16
MED0113,Omeprazol,Antialérgico,339,45.22,2025-07-30
MED0114,Dipirona,Antibiótico,272,47.39,2024-09-10
MED0115,Amoxicilina,Antidiabético,396,43.65,2025-04-22
MED0116,Azitromicina,Antifúngico,146,13.03,2025-01-20
MED0117,Amoxicilina,Antifúngico,137,13.01,2026-12-03
MED0118,Omeprazol,Gastrintestinal,276,7.5,2025-08-12
MED0119,Dipirona,Antifúngico,218,49.87,2025-01-14
MED0120,Azitromicina,Gastrintestinal,174,19.49,2024-07-11
MED0121,Azitromicina,Anti-inflamatório,91,6.18,2026-06-12
MED0122,Azitromicina,Anti-inflamatório,212,27.06,2026-06-17
MED0123,Paracetamol,Anti-inflamatório,257,38.24,2025-12-17
MED0124,Loratadina,Antialérgico,438,48.56,2026-04-01
MED0125,Dipirona,Anti-inflamatório,146,25.82,2025-09-11
MED0126,Simeticona,Analgésico,121,47.14,2025-08-11
MED0127,Metformina,Antibiótico,338,48.98,2025-05-26
MED0128,Loratadina,Antialérgico,474,16.53,2025-02-16
MED0129,Azitromicina,Analgésico,125,42.69,2026-03-07
MED0130,Cetoconazol,Antibiótico,129,10.16,2026-07-18
MED0131,Ibuprofeno,Analgésico,0,42.06,2026-09-12
MED0132,Paracetamol,Antibiótico,462,13.58,2024-11-21
MED0133,Amoxicilina,Antibiótico,53,9.5,2026-07-15
MED0134,Paracetamol,Anti-inflamatório,110,5.17,2024-11-12
MED0135,Omeprazol,Antidiabético,435,10.61,2026-04-04
MED0136,Simeticona,Analgésico,315,40.72,2025-10-29
MED0137,Loratadina,Analgésico,384,10.74,2026-09-19
MED0138,Ibuprofeno,Antibiótico,473,49.53,2025-06-02
MED0139,Amoxicilina,Anti-inflamatório,63,7.39,2024-12-30
MED0140,Loratadina,Antifúngico,124,9.26,2025-08-21
MED0141,Paracetamol,Antibiótico,333,26.92,2026-05-01
MED0142,Simeticona,Antibiótico,179,12.47,2026-06-07
MED0143,Dipirona,Antibiótico,134,43.4,2025-03-07
MED0144,Loratadina,Antifúngico,427,19.97,2026-03-21
MED0145,Metformina,Gastrintestinal,314,23.1,2025-09-06
MED0146,Simeticona,Gastrintestinal,489,24.32,2024-11-01
MED0147,Cetoconazol,Antibiótico,433,36.74,2026-07-01
MED0148,Azitromicina,Antibiótico,89,36.83,2025-06-23
MED0149,Ibuprofeno,Gastrintestinal,333,12.68,2025-11-20
MED0150,Omeprazol,Antibiótico,151,7.79,2024-12-30
MED0151,Ibuprofeno,Analgésico,321,49.79,2024-06-17
MED0152,Loratadina,Antibiótico,80,11.11,2025-07-07
MED0153,Amoxicilina,Gastrintestinal,107,35.14,2026-07-18
MED0154,Loratadina,Antialérgico,176,10.25,2026-11-16
MED0155,Amoxicilina,Anti-inflamatório,375,8.04,2024-07-26
MED0156,Dipirona,Anti-inflamatório,15,23.27,2025-12-18
MED0157,Loratadina,Antidiabético,178,35.96,2024-12-16
MED0158,Simeticona,Gastrintestinal,191,38.5,2026-07-02
MED0159,Azitromicina,Antidiabético,460,39.39,2026-06-03
MED0160,Simeticona,Antibiótico,165,29.46,2026-09-22
MED0161,Azitromicina,Antialérgico,36,38.91,2026-10-18
MED0162,Paracetamol,Antidiabético,367,27.96,2024-06-26
MED0163,Simeticona,Analgésico,340,43.47,2025-08-07
MED0164,Azitromicina,Antibiótico,59,16.34,2024-10-16
MED0165,Ibuprofeno,Antibiótico,37,40.07,2026-04-13
MED0166,Cetoconazol,Antibiótico,422,40.74,2024-07-31
MED0167,Omeprazol,Antialérgico,421,33.56,2026-07-27
MED0168,Simeticona,Antibiótico,305,34.9,2026-11-09
MED0169,Azitromicina,Gastrintestinal,326,43.4,2025-05-05
MED0170,Azitromicina,Antifúngico,125,25.63,2024-10-17
MED0171,Cetoconazol,Antibiótico,144,31.63,2025-04-23
MED0172,Cetoconazol,Antibiótico,104,45.38,2024-09-18
MED0173,Azitromicina,Antibiótico,455,35.23,2025-02-22
MED0174,Ibuprofeno,Analgésico,45,14.45,2025-10-29
MED0175,Azitromicina,Anti-inflamatório,195,47.74,2025-11-22
MED0176,Dipirona,Antibiótico,277,46.91,2025-10-07
MED0177,Loratadina,Antialérgico,135,37.21,2025-10-01
MED0178,Amoxicilina,Anti-inflamatório,408,43.39,2025-12-17
MED0179,Metformina,Gastrintestinal,315,15.75,2026-04-22
MED0180,Amoxicilina,Analgésico,290,19.91,2026-11-26
MED0181,Omeprazol,Antifúngico,417,35.31,2024-06-28
MED0182,Loratadina,Anti-inflamatório,200,27.33,2026-11-10
MED0183,Amoxicilina,Gastrintestinal,29,17.7,2025-03-21
MED0184,Cetoconazol,Antibiótico,485,15.75,2025-01-23
MED0185,Metformina,Antidiabético,430,49.99,2025-12-21
MED0186,Azitromicina,Antidiabético,338,47.19,2025-06-08
MED0187,Metformina,Antidiabético,254,31.96,2025-10-08
MED0188,Azitromicina,Antifúngico,242,47.07,2026-07-09
