Renda,Idade,Score_Credito,Dividas,Tempo_Emprego,Aprovado
4016.12,64,605.0,1,3.5,1
3294.86,69,673.0,0,0.2,1
3207.26,39,497.0,2,2.3,0
4067.68,55,695.0,3,1.0,0
4273.87,53,590.0,3,5.3,0
4886.78,56,,1,2.4,1
1028.57,37,633.0,1,4.5,0
3942.15,31,580.0,1,2.6,1
3773.34,39,738.0,0,4.0,1
5626.18,34,730.0,1,0.0,1
2280.25,64,587.0,2,2.6,0
3810.13,23,462.0,2,1.2,0
1858.05,68,737.0,3,2.1,0
3463.69,34,478.0,0,5.2,0
5197.34,69,460.0,1,0.0,0
5142.56,40,452.0,2,1.5,0
4119.66,37,598.0,3,6.3,0
4985.58,25,537.0,0,2.2,0
2013.98,27,503.0,1,1.6,0
2287.02,50,592.0,1,1.2,0
2360.0,49,595.0,3,2.3,0
3416.68,55,426.0,2,3.4,0
4185.94,34,665.0,3,,0
4671.42,52,657.0,3,6.3,0
1880.57,31,589.0,1,4.9,0
3910.3,34,446.0,4,1.8,0
998.6,41,453.0,3,1.7,0
2684.21,33,533.0,3,8.6,0
4939.73,37,587.0,3,2.0,0
1887.76,55,551.0,2,2.0,0
3952.44,55,598.0,1,0.0,1
4537.94,51,552.0,3,7.1,0
3456.09,26,624.0,4,9.9,0
4704.73,61,507.0,0,5.5,0
3907.02,18,701.0,0,1.9,1
4045.83,68,666.0,3,4.2,0
3560.43,29,531.0,3,4.3,0
4618.18,52,561.0,1,0.0,1
3640.91,64,664.0,2,2.4,1
4286.35,22,666.0,1,1.7,1
5534.68,40,589.0,4,4.7,0
6200.53,65,705.0,2,3.4,1
3752.84,65,784.0,3,4.9,0
1636.22,56,587.0,2,4.8,0
6262.0,39,693.0,3,3.0,0
3868.88,44,470.0,0,5.7,0
3705.68,21,589.0,2,2.8,1
2124.01,41,728.0,2,3.1,0
3094.06,49,682.0,0,4.8,1
3197.99,39,725.0,2,2.0,1
3916.71,61,593.0,2,5.9,1
2816.66,68,686.0,4,3.7,0
2551.66,61,368.0,0,4.2,0
4750.69,23,550.0,0,7.0,0
3960.84,50,613.0,2,2.3,1
4848.39,43,641.0,3,5.2,0
5488.34,55,460.0,3,4.3,0
3310.67,50,549.0,1,1.7,0
3600.33,59,630.0,4,4.3,0
2188.74,54,674.0,3,4.6,0
3547.89,20,661.0,4,4.1,0
4701.4,43,826.0,2,2.5,1
3749.5,56,687.0,0,5.3,1
1431.4,67,502.0,2,2.3,0
4469.14,26,635.0,0,2.6,1
3780.19,44,630.0,4,0.5,0
3252.44,30,648.0,2,1.8,1
4093.37,62,478.0,1,1.3,0
1865.86,20,672.0,3,5.0,0
2968.7,28,633.0,4,6.0,0
1080.53,46,705.0,2,3.6,0
2734.08,18,563.0,3,7.9,0
2180.91,69,626.0,0,4.3,0
1663.95,35,686.0,0,8.9,0
4505.98,39,432.0,2,1.2,0
1198.79,37,582.0,4,4.8,0
2217.06,52,547.0,1,5.2,0
2886.95,66,451.0,4,3.1,0
4627.42,62,488.0,4,1.8,0
4504.07,66,595.0,4,1.2,0
3273.42,40,601.0,4,4.9,0
4282.7,23,584.0,4,1.6,0
4204.12,69,504.0,3,2.4,0
2600.44,69,723.0,3,3.5,0
3802.9,21,712.0,3,0.6,0
4816.46,30,624.0,4,5.5,0
3752.07,60,496.0,3,1.7,0
3797.05,65,439.0,1,0.0,0
2562.09,28,790.0,2,2.3,0
3767.9,50,630.0,1,0.0,1
4186.33,52,500.0,3,0.0,0
2896.3,60,643.0,2,3.0,0
4925.9,22,672.0,4,4.3,0
3466.08,55,606.0,3,6.2,0
1982.36,57,730.0,3,3.2,0
4172.48,36,587.0,1,7.7,1
3170.64,32,730.0,3,5.2,0
3470.63,54,650.0,3,1.9,0
2002.38,45,449.0,2,6.6,0
5156.19,21,539.0,4,2.8,0
4880.63,44,668.0,3,2.1,0
4864.37,22,623.0,0,0.7,1
3908.81,34,531.0,4,7.2,0
4191.23,66,586.0,4,5.0,0
5350.99,28,480.0,0,4.4,0
3920.15,38,623.0,1,2.0,1
5596.15,48,699.0,2,2.5,1
4488.8,69,539.0,1,2.3,0
3902.37,49,565.0,3,0.7,0
3130.7,44,564.0,2,3.9,1
4321.59,47,646.0,2,2.5,1
3405.78,49,673.0,2,4.2,1
2757.24,47,698.0,0,3.4,0
2467.26,58,549.0,0,3.8,0
5206.57,42,599.0,4,7.5,0
800.0,52,573.0,2,3.1,0
4855.17,22,458.0,2,0.8,0
2289.87,61,539.0,1,5.9,0
4765.08,47,744.0,2,3.2,1
2946.65,22,639.0,2,1.7,0
4581.48,34,351.0,1,3.8,0
5988.08,35,667.0,4,3.6,0
3615.0,24,580.0,0,5.2,1
4553.0,22,631.0,3,3.9,0
4865.3,30,850.0,3,0.0,0
3382.97,38,586.0,4,2.5,0
3211.52,19,591.0,0,4.6,1
1907.35,23,701.0,3,4.3,0
4048.1,37,521.0,3,5.7,0
2808.6,61,399.0,2,2.4,0
3491.34,37,630.0,1,5.5,1
4289.09,44,595.0,0,3.9,1
4647.47,69,686.0,2,8.5,1
4856.09,42,652.0,0,3.1,1
3606.88,21,649.0,0,3.9,1
5026.22,40,687.0,1,3.4,1
2291.55,51,637.0,0,2.2,0
3475.54,35,512.0,0,3.5,0
4013.05,62,732.0,4,1.4,0
2197.47,43,474.0,1,2.9,0
1842.38,60,601.0,4,3.6,0
2727.53,34,552.0,0,2.2,0
2914.73,42,504.0,4,3.4,0
3370.78,41,554.0,2,4.8,1
1505.42,27,849.0,4,5.3,0
6178.98,18,617.0,0,1.5,1
4032.16,23,648.0,0,3.8,1
3115.07,27,556.0,0,0.0,1
3823.64,29,550.0,3,4.1,0
3047.48,47,596.0,0,3.8,1
2492.18,56,516.0,4,3.9,0
4359.66,29,571.0,3,1.9,0
4507.36,52,583.0,1,4.9,1
3765.44,60,674.0,0,1.1,1
4081.92,68,737.0,2,1.4,1
4861.01,21,789.0,3,2.9,0
4159.48,37,481.0,1,5.8,0
3872.31,40,709.0,4,4.8,0
3114.32,36,585.0,2,1.9,1
3768.83,57,801.0,1,3.3,1
3874.09,65,718.0,0,0.6,1
3857.75,52,584.0,2,6.7,1
4101.11,24,491.0,2,5.5,0
2533.97,31,576.0,1,4.5,0
4155.03,63,742.0,3,0.6,0
4299.69,21,821.0,4,3.5,0
3316.27,38,658.0,4,1.2,0
2008.57,28,716.0,0,6.4,0
2385.43,27,789.0,2,3.5,0
4151.03,22,688.0,2,5.7,1
1585.81,46,659.0,2,4.4,0
3618.57,18,790.0,0,6.3,1
3207.48,56,592.0,2,2.9,1
1936.45,36,593.0,4,0.4,0
2211.08,33,546.0,2,6.2,0
2530.14,48,802.0,1,6.5,0
4047.18,40,596.0,1,5.7,1
2031.18,64,516.0,2,6.6,0
3165.53,62,504.0,1,4.7,0
1324.06,62,698.0,2,4.0,0
2013.66,36,615.0,2,3.5,0
800.0,59,553.0,2,5.0,0
2025.74,29,574.0,0,1.5,0
6360.54,20,605.0,3,4.2,0
2523.26,33,532.0,1,5.4,0
1715.28,24,553.0,1,0.0,0
3282.67,30,562.0,3,1.0,0
3534.21,68,610.0,0,5.7,1
2356.42,21,641.0,3,2.9,0
4435.7,54,448.0,4,5.3,0
1525.28,36,673.0,0,2.4,0
2156.88,42,737.0,2,1.8,0
1461.15,33,601.0,4,3.5,0
3250.31,31,606.0,3,4.3,0
3866.22,67,670.0,3,3.9,0
5529.05,69,574.0,3,5.6,0
3514.08,65,688.0,0,4.2,1
3614.71,24,662.0,4,4.0,0
3927.86,64,662.0,3,1.4,0
6805.32,65,513.0,0,6.5,0
2828.72,60,579.0,1,1.8,0
4157.81,32,728.0,1,2.9,1
4416.57,68,526.0,1,3.7,0
4263.12,32,637.0,1,1.4,1
4301.23,39,628.0,3,7.2,0
4067.51,58,699.0,3,4.5,0
4127.96,42,651.0,0,4.3,1
