Idade,Sexo,Renda,Frequencia_Exercicio,Adesao_Plano
56,Masculino,3198.85,3-4x/sem,1
41,Feminino,2142.74,1-2x/sem,0
58,Masculino,1965.55,5x+/sem,0
37,Masculino,3417.89,3-4x/sem,1
40,Feminino,2078.03,1-2x/sem,0
58,Feminino,909.41,1-2x/sem,0
61,Feminino,3136.07,3-4x/sem,1
23,Feminino,3947.54,3-4x/sem,1
47,Masculino,1908.65,3-4x/sem,0
57,Feminino,2625.81,Nunca,0
32,Masculino,3173.82,,1
22,Feminino,4890.35,1-2x/sem,1
27,Masculino,2282.41,Nunca,0
32,Masculino,4969.82,1-2x/sem,1
63,Masculino,3555.21,Nunca,0
55,Masculino,2968.75,3-4x/sem,1
48,Feminino,3979.72,1-2x/sem,1
31,Masculino,1875.61,3-4x/sem,0
21,Feminino,2957.95,3-4x/sem,1
32,Masculino,4464.76,1-2x/sem,1
21,Feminino,4520.37,Nunca,0
46,Feminino,4020.78,5x+/sem,1
55,Masculino,4173.32,1-2x/sem,1
22,Feminino,4201.08,3-4x/sem,1
19,Feminino,3830.38,Nunca,0
55,Feminino,4971.42,1-2x/sem,1
47,Masculino,3854.31,3-4x/sem,1
47,Masculino,2710.03,1-2x/sem,1
42,Masculino,3687.34,1-2x/sem,1
21,Masculino,3426.13,3-4x/sem,1
32,Masculino,3753.27,1-2x/sem,1
27,Feminino,4324.17,3-4x/sem,1
25,Masculino,4283.33,1-2x/sem,1
43,Feminino,2522.62,3-4x/sem,1
31,Feminino,4915.11,Nunca,0
27,Masculino,3544.09,3-4x/sem,1
41,Feminino,2532.48,1-2x/sem,1
21,Masculino,2869.28,1-2x/sem,1
22,Feminino,2637.76,3-4x/sem,1
58,Masculino,1808.72,Nunca,0
38,Masculino,4125.57,1-2x/sem,1
51,Feminino,2432.75,1-2x/sem,0
51,Feminino,2849.48,5x+/sem,1
39,Feminino,3354.53,1-2x/sem,1
19,Feminino,2587.89,5x+/sem,1
19,Masculino,4386.77,3-4x/sem,1
55,Masculino,800.0,Nunca,0
63,Feminino,4182.6,3-4x/sem,1
44,Masculino,4425.2,1-2x/sem,1
49,Masculino,4170.41,Nunca,0
50,Masculino,3525.71,5x+/sem,1
58,Masculino,4177.29,1-2x/sem,1
44,Masculino,2300.65,3-4x/sem,0
28,Masculino,4490.21,3-4x/sem,1
44,Masculino,2240.88,1-2x/sem,0
46,Masculino,2417.92,Nunca,0
37,Feminino,2964.5,1-2x/sem,1
57,Feminino,3456.13,Nunca,0
22,Feminino,4268.51,3-4x/sem,1
54,Feminino,2365.35,3-4x/sem,0
29,Feminino,2980.65,3-4x/sem,1
27,Masculino,3690.07,1-2x/sem,1
24,Masculino,3377.84,1-2x/sem,1
26,Feminino,3279.52,5x+/sem,1
23,Masculino,5909.31,1-2x/sem,1
36,Masculino,4387.54,1-2x/sem,1
53,Feminino,4834.23,Nunca,0
58,Feminino,3499.83,3-4x/sem,1
31,Feminino,2689.23,3-4x/sem,1
52,Masculino,4378.93,Nunca,0
52,Feminino,2247.3,3-4x/sem,0
62,Masculino,2250.08,Nunca,0
53,Masculino,2415.0,Nunca,0
38,Masculino,2360.58,5x+/sem,0
40,Masculino,5154.85,1-2x/sem,1
33,Masculino,4885.3,3-4x/sem,1
45,Feminino,2054.54,1-2x/sem,0
34,Masculino,,5x+/sem,1
57,Masculino,1216.14,Nunca,0
45,Masculino,3954.79,Nunca,0
57,Masculino,3408.29,1-2x/sem,1
50,Feminino,4680.51,1-2x/sem,1
25,Feminino,4326.81,3-4x/sem,1
45,Feminino,3181.09,Nunca,0
54,Feminino,3725.31,1-2x/sem,1
44,Feminino,2704.69,3-4x/sem,1
21,Feminino,3122.67,1-2x/sem,1
42,Feminino,2841.38,3-4x/sem,1
42,Feminino,2648.52,Nunca,0
32,Feminino,2128.38,3-4x/sem,0
42,Masculino,5591.72,1-2x/sem,1
31,Feminino,2535.52,Nunca,0
58,Feminino,3051.18,5x+/sem,1
32,Masculino,5199.72,3-4x/sem,1
26,Masculino,2748.98,1-2x/sem,1
24,Feminino,1865.69,Nunca,0
62,Feminino,3913.16,1-2x/sem,1
24,Feminino,3823.2,1-2x/sem,1
27,Feminino,4803.5,Nunca,0
49,Masculino,3154.8,Nunca,0
47,Feminino,2723.62,3-4x/sem,1
18,Masculino,1838.92,Nunca,0
27,Masculino,2223.44,Nunca,0
64,Masculino,3281.39,3-4x/sem,1
48,Feminino,2846.05,5x+/sem,1
24,Feminino,2994.26,Nunca,0
52,Feminino,2173.81,3-4x/sem,0
44,Feminino,2716.4,3-4x/sem,1
56,Feminino,3093.08,3-4x/sem,1
33,Feminino,2532.84,3-4x/sem,1
64,Masculino,4260.5,1-2x/sem,1
39,Feminino,2003.78,1-2x/sem,0
20,Feminino,1902.95,1-2x/sem,0
37,Feminino,1622.48,3-4x/sem,0
56,Feminino,3949.05,1-2x/sem,1
52,Masculino,2048.37,3-4x/sem,0
34,Feminino,1450.18,1-2x/sem,0
43,Feminino,2477.23,1-2x/sem,0
23,Feminino,3522.0,Nunca,0
63,Masculino,3510.09,5x+/sem,1
61,Feminino,3837.98,3-4x/sem,1
57,Masculino,3134.94,3-4x/sem,1
60,Masculino,3879.33,Nunca,0
19,Masculino,3248.78,Nunca,0
21,Masculino,3389.72,1-2x/sem,1
59,Masculino,3412.43,5x+/sem,1
26,Masculino,2686.63,Nunca,0
51,Feminino,2644.12,1-2x/sem,1
51,Masculino,2046.44,1-2x/sem,0
50,Masculino,2831.99,Nunca,0
52,Feminino,4141.27,1-2x/sem,1
21,Masculino,3070.31,1-2x/sem,1
43,Masculino,3865.38,1-2x/sem,1
19,Masculino,2066.65,5x+/sem,0
46,Feminino,3963.36,Nunca,0
52,Feminino,4075.22,3-4x/sem,1
40,Masculino,4065.04,Nunca,0
21,Feminino,3980.71,1-2x/sem,1
48,Masculino,4344.72,5x+/sem,1
57,Masculino,2369.64,3-4x/sem,0
53,Feminino,4984.86,1-2x/sem,1
29,Masculino,2370.65,1-2x/sem,0
57,Feminino,4654.49,3-4x/sem,1
29,Feminino,3774.99,1-2x/sem,1
36,Feminino,2954.68,1-2x/sem,1
32,Feminino,4820.73,1-2x/sem,1
44,Feminino,4552.85,1-2x/sem,1
18,Feminino,4122.31,3-4x/sem,1
49,Feminino,1928.81,1-2x/sem,0
26,Feminino,2349.36,1-2x/sem,0
55,Feminino,2912.07,3-4x/sem,1
18,Feminino,2497.76,1-2x/sem,0
24,Feminino,4741.68,1-2x/sem,1
48,Feminino,3356.05,Nunca,0
63,Masculino,3018.12,3-4x/sem,1
54,Feminino,4050.57,1-2x/sem,1
48,Feminino,3770.88,1-2x/sem,1
19,Feminino,2790.56,Nunca,0
48,Masculino,2015.06,1-2x/sem,0
55,Feminino,4455.42,1-2x/sem,1
45,Masculino,800.0,1-2x/sem,0
32,Masculino,3465.54,3-4x/sem,1
51,Masculino,3402.03,1-2x/sem,1
39,Feminino,4130.64,3-4x/sem,1
58,Feminino,3799.05,3-4x/sem,1
57,Masculino,2394.89,1-2x/sem,0
47,Masculino,4397.06,1-2x/sem,1
45,Masculino,3289.39,1-2x/sem,1
29,Masculino,3533.48,3-4x/sem,1
48,Masculino,2633.47,1-2x/sem,1
18,Masculino,5244.5,1-2x/sem,1
53,Masculino,3220.66,3-4x/sem,1
58,Feminino,2405.59,3-4x/sem,0
57,Masculino,1382.13,1-2x/sem,0
57,Feminino,3032.89,3-4x/sem,1
59,Masculino,2090.51,1-2x/sem,0
48,Feminino,2613.66,3-4x/sem,1
47,Feminino,2703.27,3-4x/sem,1
21,Feminino,1825.27,Nunca,0
41,Feminino,1651.1,1-2x/sem,0
33,Feminino,4272.28,3-4x/sem,1
31,Feminino,2452.97,1-2x/sem,0
56,Feminino,2659.25,3-4x/sem,1
30,Feminino,3684.59,Nunca,0
32,Feminino,2673.29,1-2x/sem,1
29,Feminino,3061.95,Nunca,0
19,Feminino,4032.36,1-2x/sem,1
28,Masculino,4624.64,5x+/sem,1
60,Masculino,1277.13,1-2x/sem,0
60,Feminino,1736.2,1-2x/sem,0
55,Masculino,4079.04,5x+/sem,1
60,Feminino,2538.57,1-2x/sem,1
18,Feminino,3053.83,1-2x/sem,1
61,Feminino,3102.27,1-2x/sem,1
22,Masculino,3320.18,1-2x/sem,1
53,Feminino,3148.09,Nunca,0
29,Masculino,2606.34,1-2x/sem,1
45,Feminino,3496.33,Nunca,0
22,Feminino,3195.69,1-2x/sem,1
63,Masculino,2957.31,1-2x/sem,1
19,Masculino,3012.63,Nunca,0
34,Masculino,3830.73,1-2x/sem,1
32,Feminino,4872.3,3-4x/sem,1
21,Feminino,2413.82,1-2x/sem,0
20,Feminino,5187.16,3-4x/sem,1
62,Masculino,4859.22,Nunca,0
19,Masculino,4625.11,3-4x/sem,1
63,Feminino,3121.9,1-2x/sem,1
62,Masculino,3613.51,1-2x/sem,1
46,Masculino,3807.74,1-2x/sem,1
54,Masculino,4758.25,1-2x/sem,1
38,Masculino,3631.58,1-2x/sem,1
19,Masculino,2387.94,1-2x/sem,0
34,Feminino,3205.68,3-4x/sem,1
45,Feminino,2822.82,3-4x/sem,1
61,Masculino,3276.83,1-2x/sem,1
52,Feminino,2516.86,3-4x/sem,1
56,Feminino,3084.89,1-2x/sem,1
27,Feminino,3866.49,5x+/sem,1
61,Masculino,3788.46,3-4x/sem,1
18,Masculino,4587.13,3-4x/sem,1
50,Masculino,4142.03,Nunca,0
53,Feminino,1760.25,3-4x/sem,0
50,Feminino,2139.06,1-2x/sem,0
51,Masculino,4018.76,1-2x/sem,1
32,Masculino,3600.1,3-4x/sem,1
61,Feminino,3777.32,1-2x/sem,1
52,Masculino,4396.43,5x+/sem,1
36,Masculino,2284.1,Nunca,0
52,Feminino,4215.46,1-2x/sem,1
53,Masculino,2932.94,3-4x/sem,1
22,Masculino,1921.74,1-2x/sem,0
39,Masculino,3847.91,1-2x/sem,1
46,Feminino,3460.44,3-4x/sem,1
25,Masculino,5334.79,Nunca,0
52,Masculino,5477.3,1-2x/sem,1
25,Masculino,2593.56,1-2x/sem,1
21,Feminino,3230.94,3-4x/sem,1
24,Feminino,4007.55,3-4x/sem,1
62,Feminino,2941.85,5x+/sem,1
32,Masculino,2800.51,1-2x/sem,1
27,Feminino,4450.27,1-2x/sem,1
27,Feminino,5302.22,3-4x/sem,1
23,Feminino,3491.73,3-4x/sem,1
44,Masculino,3145.19,1-2x/sem,1
53,Masculino,2694.09,3-4x/sem,1
22,Feminino,3266.35,3-4x/sem,1
47,Masculino,4110.43,5x+/sem,1
56,Masculino,4458.53,3-4x/sem,1
58,Masculino,3341.69,1-2x/sem,1
33,Feminino,2862.97,3-4x/sem,1
43,Masculino,1287.95,1-2x/sem,0
52,Feminino,3698.99,Nunca,0
25,Masculino,4083.37,1-2x/sem,1
62,Masculino,3082.76,1-2x/sem,1
29,Feminino,2641.28,1-2x/sem,1
18,Masculino,4264.71,3-4x/sem,1
31,Masculino,3317.52,Nunca,0
40,Feminino,4599.13,1-2x/sem,1
22,Feminino,2630.2,1-2x/sem,1
47,Masculino,3540.66,3-4x/sem,1
50,Feminino,3799.98,3-4x/sem,1
62,Masculino,1849.38,Nunca,0
58,Feminino,2364.34,1-2x/sem,0
33,Masculino,2740.75,3-4x/sem,1
38,Feminino,4052.68,3-4x/sem,1
64,Feminino,2355.27,5x+/sem,0
63,Masculino,4288.99,Nunca,0
60,Feminino,3840.34,3-4x/sem,1
54,Masculino,3363.23,3-4x/sem,1
23,Feminino,5501.64,1-2x/sem,1
20,Feminino,2029.23,3-4x/sem,0
18,Masculino,2352.1,3-4x/sem,0
54,Masculino,800.0,5x+/sem,0
36,Masculino,898.87,5x+/sem,0
28,Masculino,5193.1,Nunca,0
36,Feminino,3703.05,Nunca,0
40,Feminino,4580.29,1-2x/sem,1
21,Feminino,4936.29,3-4x/sem,1
47,Masculino,2932.92,1-2x/sem,1
47,Feminino,3041.91,Nunca,0
55,Feminino,3548.27,1-2x/sem,1
38,Masculino,3962.15,3-4x/sem,1
64,Masculino,2495.4,Nunca,0
55,Feminino,800.0,1-2x/sem,0
35,Feminino,2288.07,Nunca,0
22,Masculino,2154.73,1-2x/sem,0
54,Masculino,1859.72,5x+/sem,0
27,Masculino,4615.01,3-4x/sem,1
62,Feminino,1882.78,1-2x/sem,0
23,Masculino,824.36,1-2x/sem,0
51,Feminino,2309.51,Nunca,0
48,Masculino,4723.93,1-2x/sem,1
31,Feminino,4354.93,1-2x/sem,1
60,Masculino,4798.73,3-4x/sem,1
36,Feminino,2849.71,5x+/sem,1
30,Feminino,3697.36,5x+/sem,1
22,Masculino,2374.94,Nunca,0
53,Feminino,2656.16,5x+/sem,1
