Aluno,Idade,Presenca,Atividades_Entregues,Nota_Provas,Nota_Projetos,Media_Final,Aprovado
Aluno_1,55,0.58,6,2.9,4.6,3.8,0
Aluno_2,39,0.59,19,8.0,6.2,7.1,0
Aluno_3,54,0.48,6,6.9,5.3,6.1,0
Aluno_4,16,0.82,15,4.9,5.1,5.0,0
Aluno_5,25,0.76,13,8.4,5.6,7.0,1
Aluno_6,20,0.68,5,6.4,9.6,8.0,0
Aluno_7,46,0.41,9,7.3,6.9,7.1,0
Aluno_8,46,0.47,18,9.1,4.2,6.6,0
Aluno_9,51,0.93,15,2.6,8.4,5.5,0
Aluno_10,57,0.97,20,6.9,6.1,6.5,1
Aluno_11,21,0.58,9,3.9,7.9,5.9,0
Aluno_12,35,1.0,9,8.9,7.7,8.3,0
Aluno_13,20,0.51,6,7.5,6.0,6.7,0
Aluno_14,34,0.97,16,7.3,6.5,6.9,1
Aluno_15,29,0.83,20,5.6,9.4,7.5,1
Aluno_16,36,0.83,19,5.2,6.0,5.6,0
Aluno_17,49,0.72,16,6.0,3.8,4.9,0
Aluno_18,50,0.97,12,4.9,5.1,5.0,0
Aluno_19,17,0.48,7,4.2,6.0,5.1,0
Aluno_20,23,0.41,20,4.8,8.5,6.7,0
Aluno_21,55,0.91,8,6.7,5.3,6.0,0
Aluno_22,21,0.96,20,10.0,6.5,8.3,1
Aluno_23,54,0.8,5,6.1,6.8,6.4,0
Aluno_24,48,0.92,16,5.5,10.0,7.8,1
Aluno_25,32,0.41,11,8.9,5.1,7.0,0
Aluno_26,39,0.92,6,7.3,6.2,6.7,0
Aluno_27,40,0.55,19,7.8,9.4,8.6,0
Aluno_28,39,0.68,9,3.4,7.8,5.6,0
Aluno_29,26,0.45,8,8.5,7.1,7.8,0
Aluno_30,26,0.65,5,7.0,6.1,6.6,0
Aluno_31,25,0.57,17,8.7,7.7,8.2,0
Aluno_32,46,0.66,20,4.6,7.4,6.0,0
Aluno_33,38,0.69,14,6.2,6.2,6.2,0
Aluno_34,52,0.79,7,5.4,5.9,5.6,0
Aluno_35,27,0.69,8,5.4,2.7,4.0,0
Aluno_36,44,0.79,5,6.0,6.9,6.5,0
Aluno_37,42,0.82,9,7.4,3.9,5.6,0
Aluno_38,33,0.93,14,6.2,8.4,7.3,1
Aluno_39,58,0.74,13,9.5,6.1,7.8,0
Aluno_40,50,0.98,5,6.3,7.2,6.7,0
Aluno_41,38,0.83,10,10.0,6.6,8.3,1
Aluno_42,46,0.52,10,8.3,5.7,7.0,0
Aluno_43,48,0.44,14,2.9,3.6,3.3,0
Aluno_44,57,0.83,5,9.3,7.6,8.5,0
Aluno_45,31,0.66,13,8.2,4.1,6.1,0
Aluno_46,29,0.53,18,9.2,7.4,8.3,0
Aluno_47,58,0.71,8,5.7,8.6,7.2,0
Aluno_48,21,0.47,18,8.5,6.3,7.4,0
Aluno_49,55,0.91,6,4.3,5.1,4.7,0
Aluno_50,28,0.53,7,8.5,8.7,8.6,0
Aluno_51,55,0.44,10,8.9,5.1,7.0,0
Aluno_52,21,0.86,7,7.3,5.3,6.3,0
Aluno_53,37,0.47,11,4.3,5.4,4.8,0
Aluno_54,41,0.47,20,5.8,7.9,6.9,0
Aluno_55,44,0.46,20,3.7,5.6,4.6,0
Aluno_56,18,0.56,18,1.7,8.2,4.9,0
Aluno_57,47,0.95,12,7.5,8.6,8.1,1
Aluno_58,40,0.6,11,8.3,7.6,8.0,0
Aluno_59,36,0.53,11,7.9,8.2,8.0,0
Aluno_60,30,0.78,15,1.9,9.9,5.9,0
Aluno_61,54,0.87,9,6.2,5.6,5.9,0
Aluno_62,37,0.92,7,7.2,8.0,7.6,0
Aluno_63,57,0.93,8,7.5,5.6,6.5,0
Aluno_64,34,0.4,11,8.7,10.0,9.3,0
Aluno_65,56,0.8,16,5.1,8.9,7.0,1
Aluno_66,32,0.74,14,5.9,4.9,5.4,0
Aluno_67,25,0.89,16,5.9,4.5,5.2,0
Aluno_68,52,0.79,7,9.6,6.4,8.0,0
Aluno_69,28,0.95,13,7.6,4.9,6.2,1
Aluno_70,30,0.81,7,3.6,7.0,5.3,0
Aluno_71,44,0.83,20,10.0,8.7,9.4,1
Aluno_72,29,0.68,19,3.4,8.1,5.7,0
Aluno_73,58,0.71,8,5.1,10.0,7.5,0
Aluno_74,23,0.96,16,8.8,6.2,7.5,1
Aluno_75,45,0.79,14,5.5,10.0,7.8,1
Aluno_76,41,0.79,13,6.7,6.4,6.6,1
Aluno_77,55,0.58,7,4.2,7.0,5.6,0
Aluno_78,27,0.52,17,6.4,7.2,6.8,0
Aluno_79,18,0.54,9,7.1,7.8,7.5,0
Aluno_80,53,0.69,8,8.5,1.8,5.2,0
Aluno_81,22,0.51,19,9.1,5.2,7.1,0
Aluno_82,50,0.44,5,4.6,8.9,6.7,0
Aluno_83,35,0.55,13,7.7,7.6,7.7,0
Aluno_84,34,0.74,16,3.6,3.2,3.4,0
Aluno_85,22,0.83,12,7.0,5.7,6.4,1
Aluno_86,17,0.65,6,8.4,10.0,9.2,0
Aluno_87,46,0.56,15,7.9,8.5,8.2,0
Aluno_88,34,0.73,16,5.4,7.2,6.3,0
Aluno_89,51,0.79,20,5.4,3.6,4.5,0
Aluno_90,40,0.9,6,5.1,10.0,7.6,0
Aluno_91,35,0.74,11,4.1,4.4,4.3,0
Aluno_92,33,1.0,17,7.2,7.2,7.2,1
Aluno_93,48,0.97,20,5.6,8.9,7.2,1
Aluno_94,16,0.49,9,2.7,10.0,6.3,0
Aluno_95,36,0.67,13,4.3,7.3,5.8,0
Aluno_96,57,0.66,6,3.5,5.9,4.7,0
Aluno_97,34,0.48,10,7.3,6.8,7.1,0
Aluno_98,37,0.49,19,8.9,7.6,8.3,0
Aluno_99,42,0.82,6,8.5,5.9,7.2,0
Aluno_100,33,0.52,15,5.5,7.7,6.6,0
Aluno_101,21,0.44,7,4.4,8.0,6.2,0
Aluno_102,32,0.68,11,6.6,5.5,6.0,0
Aluno_103,49,0.82,20,8.0,5.3,6.6,1
Aluno_104,23,0.79,18,8.3,5.9,7.1,1
Aluno_105,23,0.94,7,5.9,9.4,7.6,0
Aluno_106,43,0.67,6,8.1,5.7,6.9,0
Aluno_107,18,0.77,20,9.5,5.8,7.6,1
Aluno_108,52,0.75,7,6.0,6.5,6.3,0
Aluno_109,54,0.56,10,5.9,5.8,5.9,0
Aluno_110,24,0.73,13,7.1,7.3,7.2,0
Aluno_111,31,0.93,11,5.3,5.8,5.6,0
Aluno_112,27,0.69,16,6.8,5.9,6.4,0
Aluno_113,49,0.95,16,7.5,6.0,6.8,1
Aluno_114,37,0.59,13,7.8,9.1,8.4,0
Aluno_115,44,0.46,20,7.4,10.0,8.7,0
Aluno_116,19,0.96,12,5.9,7.8,6.9,1
Aluno_117,24,0.68,18,9.5,4.2,6.8,0
Aluno_118,35,0.58,20,6.3,8.7,7.5,0
Aluno_119,43,0.98,19,5.7,5.7,5.7,0
Aluno_120,28,1.0,17,4.5,10.0,7.2,1
Aluno_121,52,0.89,7,9.0,6.0,7.5,0
Aluno_122,28,0.71,18,8.2,4.9,6.6,0
Aluno_123,30,0.61,13,6.9,6.6,6.7,0
Aluno_124,38,0.56,16,8.2,10.0,9.1,0
Aluno_125,49,0.41,19,7.8,7.7,7.8,0
Aluno_126,21,0.63,10,5.4,6.7,6.1,0
Aluno_127,28,0.87,7,7.3,8.2,7.8,0
Aluno_128,53,0.64,20,5.8,6.5,6.1,0
Aluno_129,42,0.82,18,5.0,4.5,4.7,0
Aluno_130,27,0.52,12,6.5,5.3,5.9,0
Aluno_131,31,0.93,14,6.2,6.3,6.2,1
Aluno_132,37,0.53,9,5.9,6.0,6.0,0
Aluno_133,21,0.76,17,10.0,8.6,9.3,1
Aluno_134,56,0.82,6,8.2,6.3,7.3,0
Aluno_135,58,0.5,10,7.8,6.5,7.1,0
Aluno_136,19,0.64,15,5.3,7.2,6.3,0
Aluno_137,18,0.84,14,7.5,8.0,7.8,1
Aluno_138,54,0.77,18,5.7,10.0,7.8,1
Aluno_139,19,0.51,17,6.5,4.7,5.6,0
Aluno_140,53,0.9,17,5.5,6.7,6.1,1
Aluno_141,56,0.53,9,6.1,8.3,7.2,0
Aluno_142,35,0.8,19,1.6,4.1,2.8,0
Aluno_143,21,0.82,11,5.6,4.1,4.8,0
Aluno_144,58,0.96,7,4.9,6.1,5.5,0
Aluno_145,49,0.91,16,6.9,4.3,5.6,0
Aluno_146,34,0.95,13,5.7,3.7,4.7,0
Aluno_147,53,0.95,13,6.2,3.8,5.0,0
Aluno_148,17,0.89,16,5.6,7.2,6.4,1
Aluno_149,43,0.54,7,5.2,8.1,6.6,0
Aluno_150,26,0.47,14,8.0,7.4,7.7,0
Aluno_151,38,0.73,5,5.9,6.8,6.4,0
Aluno_152,29,0.55,13,8.9,7.6,8.2,0
Aluno_153,24,0.9,12,8.7,9.9,9.3,1
Aluno_154,46,0.82,14,3.6,9.5,6.6,1
Aluno_155,26,0.83,20,5.7,8.1,6.9,1
Aluno_156,16,0.59,19,5.4,2.1,3.8,0
Aluno_157,25,0.96,14,6.1,10.0,8.1,1
Aluno_158,58,0.69,14,6.0,8.7,7.4,0
Aluno_159,42,0.86,14,8.4,6.6,7.5,1
Aluno_160,28,0.82,8,5.5,4.2,4.8,0
Aluno_161,38,0.61,8,6.7,5.6,6.2,0
Aluno_162,50,0.51,14,8.2,7.0,7.6,0
Aluno_163,16,0.97,13,5.1,7.0,6.1,1
Aluno_164,24,0.46,18,3.2,4.5,3.9,0
Aluno_165,51,0.77,13,6.8,6.9,6.8,1
Aluno_166,56,0.96,15,4.4,5.3,4.9,0
Aluno_167,18,0.76,10,4.2,9.6,6.9,1
Aluno_168,46,0.71,11,3.4,6.8,5.1,0
Aluno_169,58,0.55,14,4.9,4.7,4.8,0
Aluno_170,59,0.94,15,7.8,7.9,7.8,1
Aluno_171,32,0.42,15,6.2,4.2,5.2,0
Aluno_172,39,0.62,11,8.2,6.8,7.5,0
Aluno_173,51,0.69,19,7.0,4.6,5.8,0
Aluno_174,38,0.6,8,1.5,4.7,3.1,0
Aluno_175,46,0.69,13,9.2,4.5,6.8,0
Aluno_176,19,0.6,18,6.0,4.3,5.2,0
Aluno_177,22,0.57,11,6.6,5.2,5.9,0
Aluno_178,53,0.86,10,4.6,9.2,6.9,1
Aluno_179,42,0.75,20,6.2,4.3,5.2,0
Aluno_180,16,0.79,6,6.0,4.0,5.0,0
Aluno_181,31,0.47,8,5.9,8.7,7.3,0
Aluno_182,16,0.93,8,7.7,5.4,6.6,0
