id_morador,faixa_etaria,tipo_residencia,consumo_mensal_litros,possui_cisterna
1,18-25,Casa,5325.62,Não
2,26-35,Apartamento,5786.12,Não
3,18-25,Apartamento,9043.54,Sim
4,46-60,Casa,9830.0,Não
5,36-45,Casa,9159.88,Não
6,18-25,Apartamento,7769.45,Não
7,18-25,Casa,5977.85,Não
8,36-45,Condomínio,6345.77,Não
9,18-25,Apartamento,7813.49,Sim
10,36-45,Casa,7867.21,Não
11,36-45,Apartamento,6800.03,Sim
12,36-45,Apartamento,8230.18,Sim
13,46-60,Apartamento,6255.94,Não
14,36-45,Apartamento,6432.48,Não
15,36-45,Apartamento,8028.35,Sim
16,26-35,Casa,7289.84,Não
17,26-35,Apartamento,6978.64,Sim
18,18-25,Apartamento,6583.44,Não
19,26-35,Apartamento,8524.73,Não
20,26-35,Apartamento,7802.36,Não
21,46-60,Apartamento,6245.67,Não
22,26-35,Apartamento,8659.83,Sim
23,26-35,Apartamento,7131.07,Não
24,60+,Apartamento,8083.49,Não
25,36-45,Apartamento,9520.81,Não
26,36-45,Casa,8499.9,Não
27,36-45,Casa,8543.25,Não
28,60+,Apartamento,7332.79,Não
29,26-35,Apartamento,6185.91,Não
30,46-60,Casa,10273.13,Não
31,18-25,Condomínio,10487.52,Sim
32,26-35,Condomínio,2850.34,Não
33,36-45,Casa,7719.45,Não
34,26-35,Casa,8519.84,Sim
35,26-35,Casa,7967.99,Não
36,26-35,Casa,7039.25,Não
37,26-35,Condomínio,8879.73,Não
38,26-35,Apartamento,6221.57,Sim
39,36-45,Condomínio,7922.65,Não
40,36-45,Apartamento,9016.15,Não
41,26-35,Casa,6137.6,Não
42,26-35,Apartamento,7649.0,Não
43,60+,Condomínio,4585.14,Não
44,46-60,Apartamento,6976.92,Não
45,36-45,Apartamento,7648.08,Não
46,36-45,Apartamento,9973.91,Não
47,18-25,Casa,8885.59,Não
48,18-25,Apartamento,6647.25,Não
49,18-25,Apartamento,7461.07,Não
50,60+,Apartamento,6940.55,Sim
51,46-60,Apartamento,8768.32,Sim
52,18-25,Apartamento,5382.4,Não
53,36-45,Apartamento,4400.05,Não
54,26-35,Casa,8828.01,Sim
55,36-45,Casa,4367.6,Sim
56,26-35,Casa,7148.89,Não
57,26-35,Condomínio,7806.7,Sim
58,18-25,Apartamento,8294.93,Sim
59,18-25,Apartamento,8823.98,Não
60,26-35,Condomínio,7539.17,Não
61,36-45,Apartamento,6917.75,Não
62,18-25,Condomínio,8041.41,Não
63,26-35,Condomínio,8611.16,Não
64,60+,Apartamento,8073.17,Não
65,18-25,Casa,10543.32,Sim
66,26-35,Casa,7891.06,Não
67,46-60,Condomínio,9365.25,Não
68,36-45,Casa,11128.04,Sim
69,60+,Condomínio,9619.74,Não
70,36-45,Casa,6958.93,Não
71,36-45,Apartamento,5848.05,Sim
72,26-35,Condomínio,8571.12,Sim
73,26-35,Apartamento,7504.95,Sim
74,36-45,Apartamento,5983.33,Sim
75,46-60,Apartamento,8297.83,Não
76,36-45,Apartamento,7471.15,Não
77,26-35,Condomínio,7396.17,Sim
78,46-60,Casa,9176.9,Sim
79,36-45,Casa,7471.73,Não
80,36-45,Apartamento,10236.73,Não
81,18-25,Apartamento,8255.52,Não
82,26-35,Apartamento,8021.31,Não
83,36-45,Casa,5592.54,Não
84,26-35,Casa,7485.0,Não
85,26-35,Casa,9816.97,Sim
86,60+,Condomínio,5881.15,Não
87,60+,Casa,9054.24,Sim
88,36-45,Casa,4387.16,Não
89,60+,Apartamento,7498.42,Não
90,36-45,Apartamento,9845.96,Não
91,26-35,Condomínio,8547.98,Não
92,18-25,Apartamento,6441.54,Sim
93,36-45,Apartamento,10415.42,Não
94,60+,Casa,7132.66,Não
95,36-45,Apartamento,10813.03,Não
96,36-45,Condomínio,7454.71,Não
97,26-35,Apartamento,4982.14,Não
98,18-25,Casa,8030.43,Sim
99,36-45,Apartamento,7552.49,Não
100,26-35,Casa,7497.82,Não
101,36-45,Condomínio,8081.25,Sim
102,60+,Apartamento,5586.23,Não
103,60+,Casa,5803.51,Não
104,60+,Condomínio,7834.99,Sim
105,36-45,Casa,8240.31,Não
106,36-45,Apartamento,7860.61,Não
107,36-45,Casa,8238.85,Não
108,60+,Apartamento,4503.57,Sim
109,18-25,Casa,6868.33,Não
110,18-25,Apartamento,9780.73,Não
111,18-25,Casa,5564.15,Não
112,26-35,Apartamento,8797.22,Não
113,60+,Apartamento,6261.61,Não
114,60+,Casa,4868.05,Não
115,36-45,Apartamento,7800.65,Não
116,60+,Apartamento,4239.56,Não
117,36-45,Casa,7494.48,Sim
118,46-60,Apartamento,6324.85,Sim
119,26-35,Condomínio,5989.0,Não
120,18-25,Apartamento,8420.57,Sim
121,26-35,Apartamento,5331.21,Não
122,46-60,Apartamento,5293.07,Não
123,46-60,Apartamento,7196.46,Sim
124,36-45,Casa,8947.66,Não
125,18-25,Apartamento,6816.48,Não
126,26-35,Apartamento,6735.27,Não
127,26-35,Apartamento,8241.36,Sim
128,36-45,Apartamento,9794.68,Não
129,46-60,Apartamento,9217.13,Sim
130,46-60,Apartamento,5168.54,Não
131,36-45,Apartamento,6097.21,Sim
132,26-35,Apartamento,6087.19,Não
133,26-35,Apartamento,10231.1,Não
134,26-35,Apartamento,7147.42,Sim
135,18-25,Apartamento,9736.8,Não
136,18-25,Condomínio,8683.77,Sim
137,18-25,Casa,8259.55,Não
138,60+,Casa,9135.72,Não
139,36-45,Apartamento,8602.55,Não
140,60+,Apartamento,7738.93,Sim
141,36-45,Apartamento,7854.33,Sim
142,26-35,Apartamento,6171.81,Sim
143,26-35,Apartamento,11108.49,Não
144,26-35,Casa,6417.21,Não
145,36-45,Apartamento,8306.06,Não
146,26-35,Casa,9934.0,Sim
147,36-45,Apartamento,7082.86,Não
148,18-25,Casa,7083.88,Não
149,36-45,Casa,9010.93,Não
150,26-35,Apartamento,8053.05,Não
151,18-25,Casa,6627.69,Não
152,46-60,Casa,5118.91,Não
153,46-60,Casa,8935.36,Não
154,26-35,Casa,6133.43,Não
155,18-25,Casa,5350.82,Não
156,36-45,Condomínio,8713.91,Sim
157,60+,Apartamento,8307.4,Não
158,18-25,Condomínio,7964.23,Não
159,60+,Condomínio,4204.19,Não
160,46-60,Casa,6939.37,Não
161,26-35,Condomínio,6915.06,Sim
162,18-25,Apartamento,9325.51,Não
163,36-45,Apartamento,4268.08,Não
164,26-35,Casa,6049.09,Sim
165,26-35,Casa,8002.43,Não
166,60+,Apartamento,6058.47,Não
167,18-25,Condomínio,9324.27,Sim
168,26-35,Apartamento,9404.68,Não
169,36-45,Condomínio,7660.99,Sim
170,60+,Apartamento,7587.57,Sim
171,18-25,Condomínio,7688.89,Sim
172,18-25,Apartamento,7072.53,Não
173,18-25,Apartamento,9893.68,Sim
174,26-35,Apartamento,7759.14,Não
175,26-35,Apartamento,5869.21,Não
176,26-35,Apartamento,9213.3,Não
177,26-35,Condomínio,6652.81,Não
178,18-25,Apartamento,9157.15,Sim
179,36-45,Condomínio,3889.35,Não
180,18-25,Apartamento,4676.84,Não
181,26-35,Apartamento,7821.24,Não
182,18-25,Casa,6361.74,Não
183,18-25,Apartamento,7909.14,Não
184,26-35,Casa,6765.7,Não
185,26-35,Casa,8606.87,Não
186,36-45,Casa,6843.93,Não
187,60+,Apartamento,6484.9,Não
188,36-45,Apartamento,6132.67,Não
189,18-25,Apartamento,8280.16,Não
190,36-45,Apartamento,7786.03,Não
191,36-45,Condomínio,5570.28,Não
192,46-60,Apartamento,7792.61,Não
193,18-25,Casa,6062.84,Não
194,26-35,Apartamento,6443.87,Não
195,60+,Apartamento,7826.02,Não
196,60+,Apartamento,8190.14,Não
197,18-25,Condomínio,6954.7,Não
198,18-25,Casa,8025.51,Não
199,18-25,Casa,5652.42,Não
