Ano,Região,Investimento_Total_Milhoes,Total_Alunos,Gasto_Per_Capita
2015,Norte,3061.76,58854,52.02
2015,Nordeste,3350.03,189096,17.72
2015,Centro-Oeste,2837.63,78794,36.01
2015,Sudeste,3225.81,161705,19.95
2015,Sul,2879.43,167082,17.23
2016,Norte,2916.39,76617,38.06
2016,Nordeste,3181.65,143399,22.19
2016,Centro-Oeste,3104.39,194382,15.97
2016,Sudeste,3207.82,58924,54.44
2016,Sul,3099.24,71563,43.31
2017,Norte,3131.71,159562,19.63
2017,Nordeste,3118.28,198549,15.71
2017,Centro-Oeste,3531.08,50892,69.38
2017,Sudeste,3270.78,193020,16.95
2017,Sul,3303.26,193528,17.07
2018,Norte,3174.27,168989,18.78
2018,Nordeste,3463.31,116653,29.69
2018,Centro-Oeste,3559.72,69632,51.12
2018,Sudeste,3083.61,136249,22.63
2018,Sul,3535.88,77403,45.68
2019,Norte,3590.56,81494,44.06
2019,Nordeste,3279.28,111875,29.31
2019,Centro-Oeste,3934.84,85064,46.26
2019,Sudeste,3390.25,132408,25.6
2019,Sul,3620.18,97633,37.08
2020,Norte,3329.83,144325,23.07
2020,Nordeste,3395.16,75925,44.72
2020,Centro-Oeste,3547.14,83597,42.43
2020,Sudeste,3131.38,58327,53.69
2020,Sul,3537.4,165846,21.33
2021,Norte,3497.87,113573,30.8
2021,Nordeste,3328.48,50318,66.15
2021,Centro-Oeste,4013.66,116779,34.37
2021,Sudeste,3842.79,197298,19.48
2021,Sul,3905.21,112122,34.83
2022,Norte,4006.6,134019,29.9
2022,Nordeste,3870.68,56789,68.16
2022,Centro-Oeste,3993.76,194321,20.55
2022,Sudeste,4209.9,156487,26.9
2022,Sul,4139.92,166556,24.86
2023,Norte,4003.48,51636,77.53
2023,Nordeste,3508.35,74771,46.92
2023,Centro-Oeste,4461.31,155373,28.71
2023,Sudeste,3735.78,162817,22.94
2023,Sul,3258.75,148355,21.97
