id_funcionario,idade,setor,anos_empresa,satisfacao,salario_mensal,home_office,demitido
1,36,Marketing,8.7,2.5,4116,Sim,0
2,43,RH,2.5,1.9,11788,Sim,0
3,26,TI,9.4,4.8,8437,Sim,0
4,43,RH,3.8,2.7,11260,Não,0
5,36,TI,14.0,4.7,2607,Sim,0
6,55,RH,0.1,3.0,7071,Sim,0
7,38,Marketing,4.1,3.6,7622,Sim,0
8,58,Marketing,4.2,1.9,2133,Não,0
9,29,Financeiro,3.4,1.7,7194,Sim,0
10,32,Operações,9.7,4.4,9493,Não,0
11,45,TI,3.9,1.8,2120,Sim,1
12,38,TI,10.0,4.4,5034,Sim,0
13,22,Marketing,1.5,2.8,9946,Não,0
14,55,Marketing,8.8,1.1,2695,Sim,0
15,22,Operações,1.6,4.1,7810,Sim,1
16,27,TI,0.5,2.5,2571,Não,0
17,25,RH,10.2,3.8,3797,Sim,0
18,26,TI,1.5,4.8,7324,Não,0
19,46,Financeiro,5.4,3.1,7267,Não,0
20,35,Operações,1.9,1.2,3183,Sim,1
21,47,Financeiro,2.9,4.5,3492,Não,0
22,42,TI,1.5,1.4,6316,Sim,1
23,39,Financeiro,0.3,4.6,5102,Sim,0
24,21,Operações,2.1,4.4,7239,Não,0
25,33,RH,1.9,3.5,10224,Sim,0
26,34,RH,1.7,1.5,10356,Sim,0
27,52,Financeiro,1.0,3.3,7111,Não,0
28,23,Financeiro,7.8,4.5,4288,Não,0
29,23,Financeiro,7.5,4.8,2133,Sim,0
30,54,Financeiro,0.7,3.7,7538,Sim,1
31,56,Marketing,4.2,1.1,7175,Não,0
32,58,Financeiro,10.8,4.4,10484,Sim,0
33,51,Operações,2.4,4.4,7452,Sim,0
34,44,Marketing,4.6,1.4,10505,Não,0
35,26,Financeiro,6.9,5.0,10666,Não,1
36,35,Operações,2.4,1.6,7881,Sim,0
37,37,RH,0.8,2.2,4490,Sim,0
38,59,Financeiro,3.8,3.7,2964,Sim,1
39,37,TI,16.0,1.9,7796,Sim,1
40,50,RH,3.5,2.6,2205,Não,1
41,25,Financeiro,1.6,3.8,2389,Sim,0
42,31,TI,3.2,3.5,11077,Não,0
