Cidade,Taxa_Vacinacao,Casos_Doencas,Gastos_Saude_per_capita,IDH,Nivel_Risco
Cidade_1,72.03,125,785.76,0.747,Alto Risco
Cidade_2,67.48,109,636.8,0.585,Alto Risco
Cidade_3,72.93,110,1494.07,0.751,Alto Risco
Cidade_4,86.63,116,2373.93,0.749,Baixo Risco
Cidade_5,82.68,110,1637.8,0.898,Baixo Risco
Cidade_6,75.93,125,2033.77,0.674,Baixo Risco
Cidade_7,75.18,111,683.65,0.938,Baixo Risco
Cidade_8,60.42,124,1197.34,0.702,Alto Risco
Cidade_9,66.81,115,746.56,0.683,Alto Risco
Cidade_10,64.94,128,1987.06,0.943,Alto Risco
Cidade_11,87.7,115,1523.34,0.564,Baixo Risco
Cidade_12,94.98,122,1345.46,0.702,Baixo Risco
Cidade_13,73.5,140,1821.06,0.659,Alto Risco
Cidade_14,99.7,104,1527.84,0.564,Baixo Risco
Cidade_15,65.26,128,536.63,0.668,Alto Risco
Cidade_16,80.01,118,1404.04,0.742,Baixo Risco
Cidade_17,71.46,118,2074.51,0.901,Alto Risco
Cidade_18,68.82,106,1108.9,0.879,Alto Risco
Cidade_19,80.08,133,541.99,0.602,Baixo Risco
Cidade_20,85.44,126,879.8,0.608,Baixo Risco
Cidade_21,85.43,117,1161.29,0.897,Baixo Risco
Cidade_22,63.22,106,1598.08,0.645,Alto Risco
Cidade_23,83.26,110,1383.69,0.93,Baixo Risco
Cidade_24,93.57,124,1320.32,0.674,Baixo Risco
Cidade_25,71.72,127,1706.5,0.647,Alto Risco
Cidade_26,99.52,115,1706.43,0.805,Baixo Risco
Cidade_27,81.89,119,2478.87,0.584,Baixo Risco
Cidade_28,98.38,119,847.66,0.609,Baixo Risco
Cidade_29,74.25,120,1640.47,0.809,Alto Risco
Cidade_30,80.69,112,862.35,0.804,Baixo Risco
Cidade_31,99.52,115,1452.55,0.918,Baixo Risco
Cidade_32,68.17,115,2486.03,0.718,Alto Risco
Cidade_33,99.04,130,504.16,0.753,Baixo Risco
Cidade_34,61.6,130,1030.62,0.76,Alto Risco
Cidade_35,60.77,155,1830.28,0.89,Alto Risco
Cidade_36,67.76,110,899.9,0.661,Alto Risco
Cidade_37,60.46,114,801.99,0.608,Alto Risco
