Estado,Região,Ano,PIB_Estadual,População,Gasto_Educacao
SP,Sudeste,2010,100.0,1000000,500.0
RJ,Sudeste,2010,110.0,1200000,620.0
MG,Sudeste,2010,120.0,1400000,700.0
RS,Sul,2010,130.0,1000000,820.0
PR,Sul,2010,140.0,1200000,500.0
BA,Nordeste,2010,100.0,1400000,620.0
PE,Nordeste,2010,110.0,1000000,700.0
CE,Nordeste,2010,120.0,1200000,820.0
PA,Norte,2010,130.0,1400000,500.0
AM,Norte,2010,140.0,1000000,620.0
SP,Sudeste,2011,100.5,1010000,515.0
RJ,Sudeste,2011,110.5,1210000,635.0
MG,Sudeste,2011,120.5,1410000,715.0
RS,Sul,2011,130.5,1010000,835.0
PR,Sul,2011,140.5,1210000,515.0
BA,Nordeste,2011,100.5,1410000,635.0
PE,Nordeste,2011,110.5,1010000,715.0
CE,Nordeste,2011,120.5,1210000,835.0
PA,Norte,2011,130.5,1410000,515.0
AM,Norte,2011,140.5,1010000,635.0
SP,Sudeste,2012,101.0,1020000,530.0
RJ,Sudeste,2012,111.0,1220000,650.0
MG,Sudeste,2012,121.0,1420000,730.0
RS,Sul,2012,131.0,1020000,850.0
PR,Sul,2012,141.0,1220000,530.0
BA,Nordeste,2012,101.0,1420000,650.0
PE,Nordeste,2012,111.0,1020000,730.0
CE,Nordeste,2012,121.0,1220000,850.0
PA,Norte,2012,131.0,1420000,530.0
AM,Norte,2012,141.0,1020000,650.0
SP,Sudeste,2013,101.5,1030000,545.0
RJ,Sudeste,2013,111.5,1230000,665.0
MG,Sudeste,2013,121.5,1430000,745.0
RS,Sul,2013,131.5,1030000,865.0
PR,Sul,2013,141.5,1230000,545.0
BA,Nordeste,2013,101.5,1430000,665.0
PE,Nordeste,2013,111.5,1030000,745.0
CE,Nordeste,2013,121.5,1230000,865.0
PA,Norte,2013,131.5,1430000,545.0
AM,Norte,2013,141.5,1030000,665.0
SP,Sudeste,2014,102.0,1040000,560.0
RJ,Sudeste,2014,112.0,1240000,680.0
MG,Sudeste,2014,122.0,1440000,760.0
RS,Sul,2014,132.0,1040000,880.0
PR,Sul,2014,142.0,1240000,560.0
BA,Nordeste,2014,102.0,1440000,
PE,Nordeste,2014,112.0,1040000,760.0
CE,Nordeste,2014,122.0,1240000,880.0
PA,Norte,2014,132.0,1440000,560.0
AM,Norte,2014,142.0,1040000,680.0
SP,Sudeste,2015,102.5,1050000,575.0
RJ,Sudeste,2015,112.5,1250000,695.0
MG,Sudeste,2015,122.5,1450000,775.0
RS,Sul,2015,132.5,1050000,895.0
PR,Sul,2015,142.5,1250000,575.0
BA,Nordeste,2015,102.5,1450000,695.0
PE,Nordeste,2015,112.5,1050000,775.0
CE,Nordeste,2015,122.5,1250000,895.0
PA,Norte,2015,132.5,1450000,575.0
AM,Norte,2015,142.5,1050000,695.0
SP,Sudeste,2016,103.0,1060000,590.0
RJ,Sudeste,2016,113.0,1260000,710.0
MG,Sudeste,2016,123.0,1460000,790.0
RS,Sul,2016,133.0,1060000,910.0
PR,Sul,2016,143.0,1260000,590.0
BA,Nordeste,2016,103.0,1460000,710.0
PE,Nordeste,2016,113.0,1060000,790.0
CE,Nordeste,2016,123.0,1260000,910.0
PA,Norte,2016,133.0,1460000,590.0
AM,Norte,2016,143.0,1060000,710.0
SP,Sudeste,2017,103.5,1070000,605.0
RJ,Sudeste,2017,113.5,1270000,725.0
MG,Sudeste,2017,123.5,1470000,805.0
RS,Sul,2017,133.5,1070000,925.0
PR,Sul,2017,143.5,1270000,605.0
BA,Nordeste,2017,103.5,1470000,725.0
PE,Nordeste,2017,113.5,1070000,
CE,Nordeste,2017,123.5,1270000,925.0
PA,Norte,2017,133.5,1470000,605.0
AM,Norte,2017,143.5,1070000,725.0
SP,Sudeste,2018,104.0,1080000,620.0
RJ,Sudeste,2018,114.0,1280000,740.0
MG,Sudeste,2018,124.0,1480000,820.0
RS,Sul,2018,134.0,1080000,940.0
PR,Sul,2018,144.0,1280000,620.0
BA,Nordeste,2018,104.0,1480000,740.0
PE,Nordeste,2018,114.0,1080000,820.0
CE,Nordeste,2018,124.0,1280000,940.0
PA,Norte,2018,134.0,1480000,620.0
AM,Norte,2018,144.0,1080000,740.0
SP,Sudeste,2019,104.5,1090000,635.0
RJ,Sudeste,2019,114.5,1290000,755.0
MG,Sudeste,2019,124.5,1490000,835.0
RS,Sul,2019,134.5,1090000,955.0
PR,Sul,2019,144.5,1290000,635.0
BA,Nordeste,2019,104.5,1490000,755.0
PE,Nordeste,2019,114.5,1090000,835.0
CE,Nordeste,2019,124.5,1290000,955.0
PA,Norte,2019,134.5,1490000,635.0
AM,Norte,2019,144.5,1090000,755.0
SP,Sudeste,2020,105.0,1100000,650.0
RJ,Sudeste,2020,115.0,1300000,770.0
MG,Sudeste,2020,125.0,1500000,850.0
RS,Sul,2020,135.0,1100000,970.0
PR,Sul,2020,145.0,1300000,650.0
BA,Nordeste,2020,105.0,1500000,770.0
PE,Nordeste,2020,115.0,1100000,850.0
CE,Nordeste,2020,125.0,1300000,970.0
PA,Norte,2020,135.0,1500000,650.0
AM,Norte,2020,145.0,1100000,770.0
