data,horario,clima,tipo_acidente,feridos,mortos,bairro
2023-01-01,00:00:00,Céu limpo,Colisão,0,0,Centro
2023-01-02,01:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-01-03,02:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-01-04,03:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-01-05,04:00:00,Céu limpo,Colisão,3,0,Centro
2023-01-06,05:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-01-07,06:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-01-08,07:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-01-09,08:00:00,Céu limpo,Colisão,0,0,Centro
2023-01-10,09:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-01-11,10:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-01-12,11:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-01-13,12:00:00,Céu limpo,Colisão,3,0,Centro
2023-01-14,13:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-01-15,14:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-01-16,15:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-01-17,16:00:00,Céu limpo,Colisão,0,0,Centro
2023-01-18,17:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-01-19,18:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-01-20,19:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-01-21,20:00:00,Céu limpo,Colisão,3,0,Centro
2023-01-22,21:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-01-23,22:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-01-24,23:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-01-25,00:00:00,Céu limpo,Colisão,0,0,Centro
2023-01-26,01:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-01-27,02:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-01-28,03:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-01-29,04:00:00,Céu limpo,Colisão,3,0,Centro
2023-01-30,05:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-01-31,06:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-02-01,07:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-02-02,08:00:00,Céu limpo,Colisão,0,0,Centro
2023-02-03,09:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-02-04,10:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-02-05,11:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-02-06,12:00:00,Céu limpo,Colisão,3,0,Centro
2023-02-07,13:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-02-08,14:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-02-09,15:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-02-10,16:00:00,Céu limpo,Colisão,0,0,Centro
2023-02-11,17:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-02-12,18:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-02-13,19:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-02-14,20:00:00,Céu limpo,Colisão,3,0,Centro
2023-02-15,21:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-02-16,22:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-02-17,23:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-02-18,00:00:00,Céu limpo,Colisão,0,0,Centro
2023-02-19,01:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-02-20,02:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-02-21,03:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-02-22,04:00:00,Céu limpo,Colisão,3,0,Centro
2023-02-23,05:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-02-24,06:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-02-25,07:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-02-26,08:00:00,Céu limpo,Colisão,0,0,Centro
2023-02-27,09:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-02-28,10:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-03-01,11:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-03-02,12:00:00,Céu limpo,Colisão,3,0,Centro
2023-03-03,13:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-03-04,14:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-03-05,15:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-03-06,16:00:00,Céu limpo,Colisão,0,0,Centro
2023-03-07,17:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-03-08,18:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-03-09,19:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-03-10,20:00:00,Céu limpo,Colisão,3,0,Centro
2023-03-11,21:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-03-12,22:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-03-13,23:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-03-14,00:00:00,Céu limpo,Colisão,0,0,Centro
2023-03-15,01:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-03-16,02:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-03-17,03:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-03-18,04:00:00,Céu limpo,Colisão,3,0,Centro
2023-03-19,05:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-03-20,06:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-03-21,07:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-03-22,08:00:00,Céu limpo,Colisão,0,0,Centro
2023-03-23,09:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-03-24,10:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-03-25,11:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-03-26,12:00:00,Céu limpo,Colisão,3,0,Centro
2023-03-27,13:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-03-28,14:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-03-29,15:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-03-30,16:00:00,Céu limpo,Colisão,0,0,Centro
2023-03-31,17:00:00,Chuva leve,Atropelamento,1,0,Zona Sul
2023-04-01,18:00:00,Nublado,Capotamento,2,0,Zona Norte
2023-04-02,19:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
2023-04-03,20:00:00,Céu limpo,Colisão,3,0,Centro
2023-04-04,21:00:00,Chuva leve,Atropelamento,0,0,Zona Sul
2023-04-05,22:00:00,Nublado,Capotamento,0,1,Zona Norte
2023-04-06,23:00:00,Nevoeiro,Engavetamento,1,0,Zona Leste
2023-04-07,00:00:00,Céu limpo,Colisão,0,0,Centro
2023-04-08,01:00:00,Chuva leve,Atropelamento,2,0,Zona Sul
2023-04-09,02:00:00,Nublado,Capotamento,1,0,Zona Norte
2023-04-10,03:00:00,Nevoeiro,Engavetamento,0,1,Zona Leste
