data_reclamacao,operadora,tipo_problema,tempo_resposta_dias,status
2025-03-24,ConectaJá,Cobrança Indevida,10,Resolvido
2025-01-26,VeloxMax,Queda Frequente,15,Resolvido
2024-11-01,UltraFibra,Queda Frequente,29,Resolvido
2025-03-09,ConectaJá,Cobrança Indevida,7,Resolvido
2024-08-20,NetMais,Cobrança Indevida,4,Resolvido
2024-06-01,VeloxMax,Conexão Lenta,5,Resolvido
2025-05-05,UltraFibra,Atendimento Ruim,21,Resolvido
2025-02-28,VeloxMax,Sem Sinal,13,Resolvido
2024-08-03,NetMais,Sem Sinal,25,Resolvido
2025-01-17,UltraFibra,Cobrança Indevida,11,Não Resolvido
2025-01-18,UltraFibra,Conexão Lenta,6,Não Resolvido
2024-09-01,NetMais,Cobrança Indevida,29,Resolvido
2024-08-30,VeloxMax,Sem Sinal,19,Não Resolvido
2025-04-29,ConectaJá,Queda Frequente,5,Resolvido
2024-11-06,ConectaJá,Cobrança Indevida,8,Resolvido
2024-12-20,UltraFibra,Sem Sinal,12,Resolvido
2025-02-11,NetMais,Cobrança Indevida,22,Resolvido
2025-02-10,UltraFibra,Queda Frequente,26,Não Resolvido
2025-01-19,VeloxMax,Sem Sinal,3,Resolvido
2025-03-28,ConectaJá,Atendimento Ruim,23,Resolvido
2024-09-08,UltraFibra,Atendimento Ruim,28,Resolvido
2024-07-11,ConectaJá,Sem Sinal,6,Não Resolvido
2025-01-21,ConectaJá,Queda Frequente,21,Resolvido
2025-03-01,UltraFibra,Atendimento Ruim,27,Resolvido
2025-05-23,UltraFibra,Sem Sinal,27,Resolvido
2025-05-03,NetMais,Conexão Lenta,6,Resolvido
2024-11-03,UltraFibra,Atendimento Ruim,23,Resolvido
2025-03-31,VeloxMax,Cobrança Indevida,24,Resolvido
2025-02-27,VeloxMax,Sem Sinal,9,Resolvido
2025-02-02,UltraFibra,Sem Sinal,10,Não Resolvido
2024-10-21,VeloxMax,Queda Frequente,5,Resolvido
2024-12-08,UltraFibra,Conexão Lenta,19,Não Resolvido
2024-05-29,ConectaJá,Cobrança Indevida,8,Resolvido
2025-05-14,ConectaJá,Cobrança Indevida,9,Resolvido
2024-09-13,UltraFibra,Conexão Lenta,10,Resolvido
2025-03-23,VeloxMax,Queda Frequente,24,Resolvido
2024-08-12,NetMais,Cobrança Indevida,3,Resolvido
2025-01-19,VeloxMax,Queda Frequente,1,Resolvido
2025-05-29,UltraFibra,Atendimento Ruim,7,Não Resolvido
2024-09-25,UltraFibra,Cobrança Indevida,2,Resolvido
2024-10-23,ConectaJá,Sem Sinal,14,Não Resolvido
2024-09-09,ConectaJá,Cobrança Indevida,29,Não Resolvido
2024-10-30,ConectaJá,Cobrança Indevida,30,Não Resolvido
2024-11-13,VeloxMax,Sem Sinal,21,Resolvido
2024-10-10,VeloxMax,Queda Frequente,21,Resolvido
2024-11-05,VeloxMax,Atendimento Ruim,16,Resolvido
2025-05-17,VeloxMax,Conexão Lenta,9,Resolvido
2024-06-20,VeloxMax,Atendimento Ruim,21,Resolvido
2024-08-02,NetMais,Conexão Lenta,24,Resolvido
2024-12-27,UltraFibra,Conexão Lenta,23,Não Resolvido
2025-01-27,NetMais,Atendimento Ruim,2,Não Resolvido
2024-10-22,NetMais,Conexão Lenta,21,Resolvido
2024-08-11,UltraFibra,Queda Frequente,10,Resolvido
2025-05-18,NetMais,Sem Sinal,15,Resolvido
2024-10-05,VeloxMax,Atendimento Ruim,20,Resolvido
2025-01-04,NetMais,Atendimento Ruim,23,Resolvido
2025-04-19,ConectaJá,Atendimento Ruim,16,Não Resolvido
2024-08-31,NetMais,Conexão Lenta,4,Resolvido
2024-11-29,NetMais,Conexão Lenta,9,Resolvido
2024-06-19,NetMais,Cobrança Indevida,13,Resolvido
2024-08-12,UltraFibra,Atendimento Ruim,27,Resolvido
2024-06-08,UltraFibra,Atendimento Ruim,19,Resolvido
2025-04-03,NetMais,Queda Frequente,7,Resolvido
2025-02-15,NetMais,Cobrança Indevida,30,Não Resolvido
2025-03-19,UltraFibra,Queda Frequente,10,Não Resolvido
2024-10-13,ConectaJá,Conexão Lenta,12,Resolvido
2025-05-09,NetMais,Atendimento Ruim,24,Resolvido
2024-11-07,VeloxMax,Conexão Lenta,7,Resolvido
2025-03-17,VeloxMax,Sem Sinal,28,Não Resolvido
2024-06-20,VeloxMax,Cobrança Indevida,19,Resolvido
2024-07-12,ConectaJá,Cobrança Indevida,15,Resolvido
2024-08-06,VeloxMax,Cobrança Indevida,15,Resolvido
2025-02-19,UltraFibra,Conexão Lenta,3,Resolvido
2024-11-07,ConectaJá,Queda Frequente,14,Resolvido
2024-12-08,UltraFibra,Atendimento Ruim,11,Resolvido
2025-01-01,NetMais,Queda Frequente,6,Resolvido
2025-02-22,UltraFibra,Sem Sinal,21,Resolvido
2024-09-06,VeloxMax,Queda Frequente,20,Não Resolvido
2024-12-05,NetMais,Sem Sinal,17,Resolvido
2024-11-08,VeloxMax,Cobrança Indevida,6,Não Resolvido
2024-10-29,UltraFibra,Conexão Lenta,21,Resolvido
2024-08-04,VeloxMax,Conexão Lenta,8,Resolvido
2024-10-28,NetMais,Sem Sinal,13,Resolvido
2024-08-21,VeloxMax,Cobrança Indevida,18,Não Resolvido
2024-06-05,ConectaJá,Conexão Lenta,22,Resolvido
2025-04-03,NetMais,Conexão Lenta,21,Resolvido
2025-05-03,ConectaJá,Sem Sinal,19,Não Resolvido
2025-05-23,ConectaJá,Conexão Lenta,11,Resolvido
2025-04-07,UltraFibra,Atendimento Ruim,9,Não Resolvido
2025-03-22,NetMais,Atendimento Ruim,15,Resolvido
2024-11-27,ConectaJá,Atendimento Ruim,22,Resolvido
