id,data_chamada,duracao_minutos,tipo_chamada,satisfacao
1,2024-01-01,1.7,Outros,1.0
2,2024-01-02,1.4,Cancelamento,2.0
3,2024-01-03,4.5,Suporte Técnico,3.0
4,2024-01-04,11.4,Outros,3.0
5,2024-01-05,2.2,Suporte Técnico,2.0
6,2024-01-06,2.9,Outros,3.0
7,2024-01-07,14.2,Suporte Técnico,1.0
8,2024-01-08,8.2,Suporte Técnico,5.0
9,2024-01-09,7.2,Financeiro,3.0
10,2024-01-10,6.3,Cancelamento,3.0
11,2024-01-11,0.9,Suporte Técnico,2.0
12,2024-01-12,17.7,Suporte Técnico,2.0
13,2024-01-13,3.5,Suporte Técnico,4.0
14,2024-01-14,0.3,Outros,5.0
15,2024-01-15,11.3,Suporte Técnico,1.0
16,2024-01-16,,Outros,
17,2024-01-17,7.2,Financeiro,3.0
18,2024-01-18,7.7,Financeiro,3.0
19,2024-01-19,10.9,Cancelamento,4.0
20,2024-01-20,10.1,Suporte Técnico,4.0
21,2024-01-21,4.4,Suporte Técnico,4.0
22,2024-01-22,0.3,Outros,3.0
23,2024-01-23,1.8,Outros,2.0
24,2024-01-24,21.1,Financeiro,1.0
25,2024-01-25,0.7,Cancelamento,4.0
26,2024-01-26,4.6,Outros,4.0
27,2024-01-27,1.2,Suporte Técnico,3.0
28,2024-01-28,1.0,Financeiro,2.0
29,2024-01-29,0.9,Cancelamento,5.0
30,2024-01-30,0.9,Financeiro,2.0
31,2024-01-31,0.2,Financeiro,2.0
32,2024-02-01,14.7,Suporte Técnico,1.0
33,2024-02-02,0.5,Financeiro,4.0
34,2024-02-03,,Outros,4.0
35,2024-02-04,28.3,Suporte Técnico,2.0
36,2024-02-05,2.4,Financeiro,4.0
37,2024-02-06,4.5,Suporte Técnico,3.0
38,2024-02-07,0.3,Cancelamento,3.0
39,2024-02-08,3.6,Suporte Técnico,3.0
40,2024-02-09,2.1,Suporte Técnico,3.0
41,2024-02-10,1.3,Suporte Técnico,3.0
42,2024-02-11,5.3,Suporte Técnico,
43,2024-02-12,28.9,Outros,3.0
44,2024-02-13,0.4,Cancelamento,3.0
45,2024-02-14,31.5,Outros,4.0
46,2024-02-15,1.4,Suporte Técnico,3.0
47,2024-02-16,0.8,Suporte Técnico,3.0
48,2024-02-17,1.8,Suporte Técnico,5.0
49,2024-02-18,31.0,Suporte Técnico,3.0
50,2024-02-19,3.1,Outros,4.0
51,2024-02-20,1.1,Suporte Técnico,3.0
52,2024-02-21,23.8,Cancelamento,3.0
53,2024-02-22,8.1,Outros,4.0
54,2024-02-23,,Outros,2.0
55,2024-02-24,1.1,Cancelamento,5.0
56,2024-02-25,15.4,Cancelamento,3.0
57,2024-02-26,10.8,Suporte Técnico,1.0
58,2024-02-27,4.5,Financeiro,2.0
59,2024-02-28,10.5,Cancelamento,4.0
60,2024-02-29,2.6,Outros,4.0
61,2024-03-01,12.6,Cancelamento,3.0
62,2024-03-02,3.1,Outros,
63,2024-03-03,9.7,Suporte Técnico,2.0
64,2024-03-04,16.8,Suporte Técnico,4.0
65,2024-03-05,0.4,Suporte Técnico,3.0
66,2024-03-06,8.9,Outros,3.0
67,2024-03-07,3.9,Outros,5.0
68,2024-03-08,7.2,Financeiro,4.0
69,2024-03-09,7.0,Financeiro,5.0
70,2024-03-10,3.7,Cancelamento,4.0
71,2024-03-11,23.9,Financeiro,3.0
72,2024-03-12,3.2,Outros,4.0
73,2024-03-13,17.1,Outros,4.0
74,2024-03-14,8.0,Cancelamento,3.0
75,2024-03-15,10.4,Financeiro,3.0
76,2024-03-16,12.1,Suporte Técnico,5.0
77,2024-03-17,5.3,Outros,3.0
78,2024-03-18,22.9,Suporte Técnico,2.0
79,2024-03-19,0.7,Financeiro,4.0
80,2024-03-20,10.9,Suporte Técnico,2.0
81,2024-03-21,3.8,Financeiro,1.0
82,2024-03-22,12.2,Suporte Técnico,4.0
83,2024-03-23,14.7,Suporte Técnico,2.0
84,2024-03-24,,Suporte Técnico,4.0
85,2024-03-25,0.9,Cancelamento,4.0
86,2024-03-26,2.7,Cancelamento,4.0
87,2024-03-27,14.3,Outros,2.0
88,2024-03-28,6.3,Suporte Técnico,2.0
89,2024-03-29,2.3,Cancelamento,1.0
90,2024-03-30,11.9,Cancelamento,1.0
91,2024-03-31,24.1,Outros,3.0
92,2024-04-01,0.6,Outros,1.0
93,2024-04-02,15.5,Outros,3.0
94,2024-04-03,5.0,Financeiro,3.0
95,2024-04-04,16.9,Financeiro,3.0
96,2024-04-05,8.4,Suporte Técnico,3.0
97,2024-04-06,5.1,Suporte Técnico,2.0
98,2024-04-07,12.0,Financeiro,3.0
99,2024-04-08,8.8,Financeiro,2.0
100,2024-04-09,7.9,Suporte Técnico,3.0
101,2024-04-10,0.0,Cancelamento,4.0
102,2024-04-11,8.2,Suporte Técnico,2.0
103,2024-04-12,8.1,Suporte Técnico,5.0
104,2024-04-13,3.6,Cancelamento,1.0
105,2024-04-14,2.4,Suporte Técnico,4.0
106,2024-04-15,1.3,Cancelamento,2.0
107,2024-04-16,10.4,Cancelamento,4.0
108,2024-04-17,6.3,Outros,3.0
109,2024-04-18,16.0,Suporte Técnico,4.0
110,2024-04-19,0.1,Cancelamento,2.0
111,2024-04-20,20.3,Suporte Técnico,3.0
112,2024-04-21,4.6,Suporte Técnico,3.0
113,2024-04-22,14.0,Outros,5.0
114,2024-04-23,20.2,Cancelamento,3.0
115,2024-04-24,2.7,Outros,3.0
116,2024-04-25,6.8,Cancelamento,2.0
117,2024-04-26,17.1,Suporte Técnico,4.0
118,2024-04-27,17.3,Suporte Técnico,3.0
119,2024-04-28,,Outros,4.0
120,2024-04-29,2.5,Financeiro,2.0
121,2024-04-30,6.3,Outros,3.0
122,2024-05-01,3.1,Outros,3.0
123,2024-05-02,10.9,Cancelamento,3.0
124,2024-05-03,9.2,Cancelamento,2.0
125,2024-05-04,3.2,Suporte Técnico,3.0
126,2024-05-05,4.0,Outros,2.0
127,2024-05-06,9.8,Cancelamento,2.0
128,2024-05-07,5.3,Cancelamento,2.0
129,2024-05-08,2.3,Suporte Técnico,1.0
130,2024-05-09,9.1,Financeiro,3.0
131,2024-05-10,7.5,Financeiro,4.0
132,2024-05-11,25.1,Cancelamento,5.0
133,2024-05-12,0.3,Outros,5.0
134,2024-05-13,4.6,Suporte Técnico,2.0
135,2024-05-14,6.4,Suporte Técnico,3.0
136,2024-05-15,3.1,Financeiro,2.0
137,2024-05-16,21.3,Outros,1.0
138,2024-05-17,7.7,Suporte Técnico,3.0
139,2024-05-18,3.5,Financeiro,5.0
140,2024-05-19,0.6,Suporte Técnico,2.0
141,2024-05-20,,Outros,2.0
142,2024-05-21,35.9,Outros,3.0
143,2024-05-22,5.9,Cancelamento,1.0
144,2024-05-23,25.0,Financeiro,5.0
145,2024-05-24,,Suporte Técnico,3.0
146,2024-05-25,4.8,Suporte Técnico,3.0
147,2024-05-26,3.1,Cancelamento,3.0
148,2024-05-27,16.5,Outros,2.0
149,2024-05-28,14.9,Financeiro,3.0
150,2024-05-29,13.6,Outros,4.0
151,2024-05-30,9.8,Outros,2.0
152,2024-05-31,2.7,Cancelamento,3.0
153,2024-06-01,20.5,Suporte Técnico,1.0
154,2024-06-02,0.6,Suporte Técnico,4.0
155,2024-06-03,0.5,Outros,3.0
156,2024-06-04,5.4,Financeiro,2.0
157,2024-06-05,30.5,Cancelamento,5.0
158,2024-06-06,1.1,Suporte Técnico,3.0
159,2024-06-07,60.0,Suporte Técnico,2.0
160,2024-06-08,1.1,Cancelamento,2.0
161,2024-06-09,21.9,Financeiro,2.0
162,2024-06-10,0.6,Suporte Técnico,5.0
163,2024-06-11,9.8,Suporte Técnico,1.0
164,2024-06-12,22.7,Financeiro,4.0
165,2024-06-13,8.3,Outros,1.0
166,2024-06-14,11.9,Outros,3.0
167,2024-06-15,31.3,Outros,3.0
168,2024-06-16,3.4,Cancelamento,2.0
169,2024-06-17,24.8,Outros,2.0
170,2024-06-18,9.5,Financeiro,
171,2024-06-19,1.5,Outros,3.0
172,2024-06-20,0.6,Cancelamento,3.0
173,2024-06-21,11.4,Cancelamento,4.0
174,2024-06-22,0.1,Financeiro,
175,2024-06-23,6.2,Outros,2.0
176,2024-06-24,0.3,Suporte Técnico,4.0
177,2024-06-25,10.9,Suporte Técnico,5.0
178,2024-06-26,,Financeiro,2.0
179,2024-06-27,4.0,Outros,1.0
180,2024-06-28,13.3,Cancelamento,4.0
181,2024-06-29,0.6,Outros,3.0
182,2024-06-30,1.3,Outros,5.0
183,2024-07-01,8.2,Outros,2.0
184,2024-07-02,12.1,Outros,5.0
185,2024-07-03,0.2,Outros,3.0
186,2024-07-04,5.6,Outros,2.0
187,2024-07-05,3.0,Outros,2.0
188,2024-07-06,23.8,Financeiro,4.0
189,2024-07-07,10.4,Outros,4.0
190,2024-07-08,8.4,Suporte Técnico,1.0
191,2024-07-09,24.1,Suporte Técnico,3.0
192,2024-07-10,23.3,Financeiro,3.0
193,2024-07-11,4.0,Suporte Técnico,5.0
194,2024-07-12,6.1,Suporte Técnico,3.0
195,2024-07-13,5.7,Suporte Técnico,2.0
196,2024-07-14,2.8,Suporte Técnico,1.0
197,2024-07-15,4.4,Cancelamento,4.0
198,2024-07-16,22.6,Financeiro,2.0
199,2024-07-17,4.3,Financeiro,1.0
200,2024-07-18,3.9,Suporte Técnico,3.0
201,2024-07-19,6.6,Outros,4.0
202,2024-07-20,3.4,Suporte Técnico,2.0
203,2024-07-21,4.0,Suporte Técnico,3.0
204,2024-07-22,19.2,Suporte Técnico,4.0
205,2024-07-23,,Cancelamento,3.0
206,2024-07-24,13.0,Financeiro,4.0
207,2024-07-25,,Financeiro,3.0
208,2024-07-26,21.4,Outros,
209,2024-07-27,13.8,Outros,1.0
210,2024-07-28,6.0,Cancelamento,3.0
211,2024-07-29,13.2,Cancelamento,2.0
212,2024-07-30,6.9,Outros,5.0
213,2024-07-31,19.4,Outros,2.0
214,2024-08-01,1.8,Outros,3.0
215,2024-08-02,1.8,Outros,5.0
216,2024-08-03,15.4,Suporte Técnico,3.0
217,2024-08-04,1.5,Outros,4.0
218,2024-08-05,4.9,Cancelamento,5.0
219,2024-08-06,8.5,Cancelamento,
220,2024-08-07,7.1,Cancelamento,4.0
221,2024-08-08,24.6,Financeiro,3.0
222,2024-08-09,0.8,Outros,4.0
223,2024-08-10,13.8,Outros,5.0
224,2024-08-11,20.9,Suporte Técnico,1.0
225,2024-08-12,48.0,Suporte Técnico,3.0
226,2024-08-13,2.4,Financeiro,3.0
227,2024-08-14,5.0,Financeiro,3.0
228,2024-08-15,26.6,Financeiro,2.0
229,2024-08-16,28.2,Financeiro,3.0
230,2024-08-17,12.7,Outros,3.0
231,2024-08-18,4.8,Outros,4.0
232,2024-08-19,3.9,Suporte Técnico,2.0
233,2024-08-20,13.8,Outros,2.0
234,2024-08-21,5.4,Suporte Técnico,4.0
235,2024-08-22,8.4,Suporte Técnico,3.0
236,2024-08-23,1.0,Outros,3.0
237,2024-08-24,2.0,Cancelamento,4.0
238,2024-08-25,2.4,Outros,3.0
239,2024-08-26,0.9,Suporte Técnico,3.0
240,2024-08-27,7.3,Financeiro,3.0
