id_aluno,materia,turno,faltas,nota_prova1,nota_prova2,media_final,aprovado
1,História,Tarde,2.0,8.3,8.2,8.2,1
2,Física,Noite,3.0,,5.8,5.9,0
3,História,Manhã,0.0,6.4,7.9,7.2,1
4,Física,Noite,1.0,9.3,6.9,8.1,1
5,Matemática,Manhã,1.0,6.8,5.5,6.2,1
6,Física,Tarde,2.0,6.6,8.5,7.6,1
7,Matemática,Tarde,2.0,7.4,6.2,6.8,1
8,Física,Manhã,4.0,3.8,4.7,4.2,0
9,Física,Manhã,1.0,6.6,5.9,6.2,1
10,Física,Manhã,4.0,6.1,7.1,6.6,1
11,Biologia,Manhã,3.0,9.0,6.9,8.0,1
12,Biologia,Tarde,4.0,5.1,7.0,6.0,1
13,Biologia,Manhã,3.0,4.8,5.0,4.9,0
14,Matemática,Manhã,3.0,5.6,7.4,6.5,1
15,Biologia,Tarde,6.0,6.8,7.2,7.0,0
16,Biologia,Manhã,,6.9,6.9,6.9,1
17,Português,Manhã,2.0,7.3,4.3,5.8,0
18,Português,Noite,4.0,5.5,3.7,4.6,0
19,Matemática,Tarde,3.0,5.7,5.3,5.5,0
20,Português,Manhã,4.0,5.5,6.5,6.0,1
21,História,Noite,1.0,4.5,6.1,5.3,0
22,Física,Tarde,4.0,6.8,8.6,7.7,1
23,Biologia,Noite,4.0,6.2,4.5,5.4,0
24,Matemática,Manhã,6.0,5.6,8.9,7.2,0
25,História,Manhã,3.0,7.2,6.1,6.6,1
26,Física,Noite,3.0,7.2,6.3,6.8,1
27,Física,Noite,4.0,5.4,7.7,6.6,1
28,Biologia,Noite,4.0,7.5,8.5,8.0,1
29,Física,Noite,3.0,7.1,5.5,6.3,1
30,Física,Manhã,2.0,6.1,7.0,6.6,1
31,Biologia,Tarde,2.0,7.3,6.9,7.1,1
32,História,Manhã,1.0,8.5,6.8,7.6,1
33,História,Manhã,1.0,6.2,7.6,6.9,1
34,Português,Tarde,5.0,7.8,4.7,6.2,1
35,Matemática,Tarde,3.0,10.0,6.6,8.3,1
36,História,Tarde,2.0,8.3,7.8,8.0,1
37,Matemática,Manhã,2.0,6.7,7.9,7.3,1
38,Física,Tarde,7.0,5.1,7.4,6.2,0
39,Português,Noite,6.0,8.1,4.5,6.3,0
40,Matemática,Noite,0.0,5.5,6.1,5.8,0
41,Biologia,Noite,2.0,2.7,9.6,6.2,1
42,História,Manhã,7.0,6.7,6.7,6.7,0
43,História,Tarde,4.0,7.5,5.6,6.6,1
44,História,Noite,2.0,6.5,6.9,6.7,1
45,Biologia,Manhã,3.0,4.2,4.8,4.5,0
46,Português,Noite,3.0,9.1,8.4,8.8,1
47,Física,Tarde,2.0,8.8,6.0,7.4,1
48,Física,Noite,2.0,6.4,6.7,6.6,1
49,Física,Manhã,2.0,6.5,8.8,7.6,1
50,História,Noite,2.0,9.5,5.9,7.7,1
51,História,Tarde,1.0,6.5,6.3,6.4,1
52,Biologia,Manhã,4.0,6.1,6.4,6.2,1
53,História,Noite,3.0,6.7,8.0,7.4,1
54,Matemática,Noite,0.0,9.0,9.1,9.0,1
55,Português,Tarde,2.0,7.2,4.1,5.6,0
56,Português,Noite,5.0,7.2,8.1,7.6,1
57,História,Noite,2.0,9.0,6.3,7.6,1
58,Português,Tarde,4.0,,7.8,7.3,1
59,Matemática,Noite,1.0,7.2,4.5,5.8,0
60,Física,Tarde,4.0,9.4,3.7,6.6,1
61,História,Manhã,3.0,7.9,7.4,7.6,1
62,Biologia,Manhã,2.0,6.0,6.7,6.4,1
63,Física,Noite,3.0,4.5,6.9,5.7,0
64,História,Manhã,3.0,6.6,4.1,5.4,0
65,Biologia,Noite,3.0,8.4,7.1,7.8,1
66,Biologia,Tarde,3.0,9.0,6.8,7.9,1
67,História,Manhã,6.0,4.3,4.1,4.2,0
68,Física,Manhã,3.0,7.2,5.6,6.4,1
69,História,Manhã,0.0,6.4,5.7,6.1,1
70,Biologia,Tarde,0.0,6.9,7.3,7.1,1
71,Biologia,Tarde,4.0,5.6,5.4,5.5,0
72,Física,Manhã,2.0,8.3,5.7,7.0,1
73,Biologia,Noite,2.0,6.0,7.7,6.8,1
74,Física,Manhã,2.0,7.6,6.1,6.8,1
75,Física,Tarde,,5.0,7.0,6.0,1
76,Biologia,Tarde,3.0,6.5,8.2,7.4,1
77,Matemática,Tarde,3.0,5.5,7.1,6.3,1
78,Português,Noite,5.0,7.5,6.2,6.8,1
79,História,Manhã,3.0,7.6,6.7,7.2,1
80,Português,Manhã,1.0,6.3,7.3,6.8,1
81,Português,Tarde,2.0,,7.1,7.2,1
82,Física,Noite,3.0,8.6,9.1,8.8,1
83,Física,Tarde,2.0,5.4,8.5,7.0,1
84,Português,Noite,2.0,6.1,5.6,5.8,0
85,História,Manhã,5.0,6.7,5.3,6.0,1
86,Matemática,Tarde,0.0,5.9,8.3,7.1,1
87,História,Tarde,7.0,7.4,4.5,6.0,0
88,História,Noite,3.0,6.8,7.7,7.2,1
89,Biologia,Manhã,0.0,7.7,9.1,8.4,1
90,História,Tarde,1.0,5.9,6.2,6.1,1
91,História,Manhã,5.0,5.7,5.9,5.8,0
92,História,Manhã,7.0,8.9,9.5,9.2,0
93,Biologia,Tarde,3.0,4.5,7.2,5.8,0
94,Física,Manhã,3.0,6.1,5.4,5.8,0
95,Física,Tarde,5.0,3.4,7.0,5.2,0
96,Matemática,Tarde,3.0,4.7,4.4,4.6,0
97,História,Manhã,4.0,7.1,8.5,7.8,1
98,Matemática,Manhã,4.0,6.7,8.8,7.8,1
99,Matemática,Manhã,4.0,7.0,8.9,8.0,1
100,Física,Manhã,3.0,5.5,6.8,6.2,1
101,Física,Tarde,0.0,7.0,5.1,6.0,1
102,História,Tarde,1.0,4.0,4.9,4.4,0
103,Matemática,Manhã,4.0,4.4,4.5,4.4,0
104,Português,Manhã,3.0,6.6,7.3,7.0,1
105,Biologia,Tarde,2.0,4.7,6.6,5.6,0
106,Matemática,Manhã,5.0,5.1,7.5,6.3,1
107,Português,Tarde,4.0,7.1,6.2,6.6,1
108,Biologia,Tarde,3.0,6.1,8.1,7.1,1
109,Física,Tarde,3.0,8.1,5.7,6.9,1
110,Biologia,Tarde,3.0,8.1,6.3,7.2,1
111,Biologia,Noite,5.0,3.9,7.2,5.6,0
112,Português,Manhã,4.0,3.3,3.6,3.4,0
113,Português,Tarde,3.0,7.4,9.8,8.6,1
114,Matemática,Tarde,1.0,,6.7,5.1,0
115,Matemática,Manhã,1.0,9.7,6.3,8.0,1
116,Física,Manhã,1.0,7.3,7.6,7.4,1
117,Biologia,Manhã,5.0,6.6,8.0,7.3,1
118,Matemática,Tarde,3.0,5.6,9.0,7.3,1
119,História,Tarde,4.0,5.7,6.2,6.0,1
120,Matemática,Tarde,4.0,7.4,6.9,7.2,1
121,Português,Manhã,4.0,6.9,5.0,6.0,1
122,Física,Manhã,4.0,7.7,7.3,7.5,1
123,Biologia,Noite,4.0,8.5,8.4,8.4,1
124,Matemática,Tarde,3.0,6.0,8.1,7.0,1
125,Biologia,Manhã,1.0,8.0,6.1,7.0,1
126,Português,Noite,3.0,4.6,6.5,5.6,0
127,Física,Manhã,2.0,5.5,6.9,6.2,1
128,Física,Noite,6.0,7.2,4.3,5.8,0
129,Português,Tarde,3.0,5.8,5.4,5.6,0
130,Biologia,Noite,6.0,7.2,8.3,7.8,0
131,Biologia,Manhã,5.0,6.8,8.7,7.8,1
132,Português,Noite,3.0,9.1,6.0,7.6,1
133,Biologia,Noite,6.0,6.2,5.4,5.8,0
134,Matemática,Manhã,,5.9,6.2,6.1,0
135,História,Noite,3.0,7.2,3.3,5.2,0
136,Física,Manhã,2.0,6.5,5.2,5.8,0
137,Português,Tarde,2.0,7.6,6.8,7.2,1
138,Física,Manhã,5.0,6.4,5.9,6.2,1
139,Biologia,Noite,4.0,6.5,6.5,6.5,1
140,Física,Tarde,2.0,6.1,8.1,7.1,1
141,História,Manhã,5.0,4.8,8.6,6.7,1
142,Biologia,Manhã,1.0,6.1,7.5,6.8,1
143,Matemática,Tarde,2.0,6.9,8.4,7.6,1
144,Biologia,Manhã,4.0,8.5,7.3,7.9,1
145,História,Manhã,3.0,6.9,6.9,6.9,1
146,Português,Manhã,2.0,7.0,7.4,7.2,1
147,Física,Noite,5.0,6.6,6.1,6.4,1
148,História,Tarde,3.0,7.6,6.6,7.1,1
149,Português,Noite,2.0,9.6,5.4,7.5,1
150,Matemática,Noite,5.0,7.1,7.8,7.4,1
151,Biologia,Tarde,4.0,6.9,6.2,6.6,1
152,História,Tarde,4.0,8.7,7.2,8.0,1
153,Português,Manhã,3.0,6.9,4.9,5.9,0
154,Física,Tarde,4.0,5.5,5.2,5.4,0
155,História,Tarde,2.0,5.6,4.0,4.8,0
156,Matemática,Manhã,4.0,2.9,5.0,4.0,0
157,Física,Noite,1.0,5.1,7.6,6.4,1
158,História,Tarde,2.0,6.9,6.3,6.6,1
159,Português,Tarde,7.0,8.0,8.1,8.0,0
160,Biologia,Noite,1.0,7.4,6.7,7.0,1
161,Biologia,Noite,,5.5,7.9,6.7,1
162,Matemática,Tarde,4.0,7.3,7.1,7.2,1
163,Matemática,Noite,1.0,6.7,3.7,5.2,0
164,Biologia,Noite,,6.9,9.0,8.0,1
165,História,Manhã,6.0,6.2,6.7,6.4,0
166,Biologia,Manhã,1.0,4.9,7.9,6.4,1
167,Matemática,Manhã,2.0,6.4,6.6,6.5,1
168,Português,Manhã,3.0,5.7,6.1,5.9,0
169,Física,Manhã,5.0,8.3,6.7,7.5,1
170,Biologia,Tarde,2.0,5.5,7.9,6.7,1
171,Português,Noite,3.0,6.5,7.9,7.2,1
172,História,Noite,4.0,,6.3,6.2,1
173,Biologia,Noite,2.0,8.4,7.4,7.9,1
174,Português,Noite,0.0,,3.9,4.6,0
175,Português,Noite,2.0,6.6,7.3,7.0,1
176,Matemática,Manhã,1.0,4.5,7.0,5.8,0
177,História,Noite,1.0,5.4,7.3,6.4,1
178,Português,Tarde,2.0,8.1,8.1,8.1,1
179,Matemática,Tarde,4.0,5.3,8.6,7.0,1
180,Física,Tarde,3.0,6.8,7.6,7.2,1
181,Português,Manhã,4.0,7.4,5.0,6.2,1
182,Matemática,Noite,0.0,10.0,5.9,8.0,1
183,Português,Noite,3.0,,3.7,5.0,0
184,Biologia,Noite,3.0,7.9,6.7,7.3,1
185,História,Noite,2.0,7.8,7.7,7.8,1
186,Física,Tarde,1.0,6.0,7.8,6.9,1
187,Português,Tarde,2.0,7.7,8.1,7.9,1
188,História,Tarde,3.0,7.0,6.6,6.8,1
189,História,Noite,2.0,4.4,7.5,6.0,1
190,Física,Tarde,6.0,5.3,6.8,6.0,0
191,Português,Noite,3.0,6.3,7.4,6.8,1
192,Física,Tarde,5.0,5.3,6.9,6.1,1
193,Matemática,Tarde,4.0,3.9,5.9,4.9,0
194,Matemática,Tarde,6.0,7.7,6.8,7.2,0
195,Português,Tarde,3.0,5.3,6.3,5.8,0
196,Biologia,Tarde,4.0,4.9,5.9,5.4,0
197,Matemática,Tarde,2.0,9.0,6.1,7.6,1
198,Física,Manhã,3.0,5.3,7.4,6.4,1
199,Biologia,Tarde,4.0,7.3,10.0,8.6,1
200,Biologia,Noite,3.0,,8.3,6.7,1
201,Física,Manhã,1.0,4.4,8.2,6.3,1
202,História,Tarde,3.0,4.0,8.1,6.0,1
203,Física,Manhã,3.0,7.1,7.5,7.3,1
204,Português,Tarde,3.0,8.0,5.5,6.8,1
205,Matemática,Tarde,0.0,6.0,6.9,6.4,1
206,História,Noite,3.0,6.9,6.7,6.8,1
207,Biologia,Noite,1.0,7.6,9.6,8.6,1
208,Português,Tarde,3.0,6.6,8.4,7.5,1
209,História,Tarde,1.0,7.2,7.5,7.4,1
210,Português,Manhã,0.0,6.8,7.9,7.4,1
211,Matemática,Tarde,2.0,8.6,7.9,8.2,1
212,Biologia,Manhã,2.0,7.9,7.6,7.8,1
213,Português,Manhã,4.0,5.6,5.5,5.6,0
214,História,Tarde,,6.7,7.4,7.0,1
215,Biologia,Noite,0.0,8.8,9.2,9.0,1
216,Física,Noite,5.0,7.0,6.1,6.6,1
217,Física,Manhã,0.0,,5.6,6.4,1
218,História,Tarde,5.0,3.5,5.3,4.4,0
219,Física,Noite,0.0,5.9,7.5,6.7,1
220,Física,Tarde,3.0,5.7,7.9,6.8,1
221,Português,Noite,3.0,7.9,5.9,6.9,1
222,História,Noite,1.0,4.8,8.1,6.4,1
223,História,Tarde,0.0,5.5,6.6,6.0,1
224,Matemática,Manhã,4.0,,7.5,7.6,1
225,Matemática,Manhã,3.0,7.2,7.1,7.2,1
226,Física,Noite,6.0,3.2,7.3,5.2,0
227,Matemática,Tarde,2.0,6.2,5.9,6.1,1
228,Matemática,Manhã,1.0,5.3,8.9,7.1,1
229,Biologia,Noite,8.0,,7.5,7.6,0
230,Matemática,Manhã,3.0,5.8,7.6,6.7,1
231,Português,Tarde,3.0,5.0,4.8,4.9,0
232,História,Noite,4.0,6.4,7.0,6.7,1
233,Biologia,Noite,4.0,4.5,6.7,5.6,0
