id_app,nome_app,categoria,plataforma,avaliacao,downloads_mil,preco_usd,receita_usd,sucesso_alto
1,App_1,Saúde,iOS,3.7,4926,0.0,0.0,0
2,App_2,Educação,iOS,3.3,2152,2.99,6434480.0,1
3,App_3,Saúde,iOS,4.6,2291,0.0,0.0,0
4,App_4,Finanças,iOS,,2865,0.99,2836350.0,1
5,App_5,Entretenimento,iOS,4.1,4634,4.99,23123660.0,1
6,App_6,Educação,iOS,2.6,224,0.0,0.0,0
7,App_7,Educação,iOS,4.2,3980,0.99,3940200.0,1
8,App_8,Jogos,Android,4.0,1488,0.0,0.0,0
9,App_9,Educação,Android,3.7,1057,0.99,1046430.0,1
10,App_10,Jogos,iOS,3.9,1461,,0.0,0
11,App_11,Jogos,iOS,,4895,1.99,9741050.0,1
12,App_12,Entretenimento,iOS,4.0,64,0.0,0.0,0
13,App_13,Finanças,Android,3.8,4995,0.0,0.0,0
14,App_14,Entretenimento,Android,3.9,2115,0.99,2093850.0,1
15,App_15,Saúde,iOS,4.7,4963,0.0,0.0,0
16,App_16,Saúde,Android,3.4,2720,0.0,0.0,0
17,App_17,Jogos,iOS,3.7,1805,1.99,3591950.0,1
18,App_18,Jogos,iOS,4.2,3600,0.0,0.0,0
19,App_19,Finanças,iOS,4.3,3567,0.0,0.0,0
20,App_20,Saúde,iOS,3.9,4078,4.99,20349220.0,1
21,App_21,Jogos,iOS,,4801,1.99,9553990.0,1
22,App_22,Jogos,iOS,2.6,1489,2.99,4452110.0,1
23,App_23,Educação,iOS,3.5,1459,0.0,0.0,0
24,App_24,Finanças,iOS,3.3,462,4.99,2305380.0,1
25,App_25,Saúde,Android,4.4,1187,2.99,3549130.0000000005,1
26,App_26,Entretenimento,iOS,3.5,1066,0.0,0.0,0
27,App_27,Saúde,Android,3.9,854,0.0,0.0,0
28,App_28,Saúde,Android,4.4,4461,0.99,4416390.0,1
29,App_29,Educação,iOS,3.6,4606,0.0,0.0,0
30,App_30,Entretenimento,iOS,3.3,746,2.99,2230540.0,1
31,App_31,Entretenimento,Android,3.6,391,0.0,0.0,0
32,App_32,Saúde,Android,5.0,2833,4.99,14136670.0,1
33,App_33,Jogos,iOS,4.2,3977,0.0,0.0,0
34,App_34,Jogos,iOS,4.8,3799,1.99,7560010.0,1
