id_pedido,cidade,categoria_comida,valor_pedido,tempo_entrega_min,faixa_horaria,avaliacao_cliente
1,Curitiba,Salada,18.14,35.6,Jantar,3
2,Curitiba,Lanches,40.42,45.9,Madrugada,1
3,São Paulo,Brasileira,66.32,10.0,Almoço,1
4,São Paulo,Brasileira,30.14,,Almoço,1
5,Belo Horizonte,Brasileira,18.1,35.8,Almoço,5
6,Rio de Janeiro,Sushi,41.0,39.7,Madrugada,2
7,São Paulo,Salada,41.63,46.3,Jantar,4
8,Belo Horizonte,Pizza,58.27,24.8,Madrugada,3
9,Rio de Janeiro,Lanches,64.86,36.7,Jantar,1
10,Curitiba,Brasileira,18.52,46.5,Almoço,4
11,Rio de Janeiro,Pizza,51.76,26.2,Almoço,1
12,São Paulo,Sushi,74.55,32.3,Almoço,1
13,São Paulo,Pizza,64.42,25.4,Almoço,3
14,Curitiba,Pizza,77.43,55.6,Almoço,5
15,São Paulo,Lanches,97.96,37.8,Almoço,5
16,São Paulo,Sushi,64.16,50.5,Almoço,1
17,Rio de Janeiro,Pizza,69.26,30.4,Madrugada,4
18,São Paulo,Pizza,44.84,27.4,Jantar,4
19,Porto Alegre,Sushi,65.75,32.3,Almoço,4
20,São Paulo,Lanches,43.95,45.6,Jantar,5
21,Belo Horizonte,Salada,50.83,20.1,Jantar,2
22,Rio de Janeiro,Brasileira,64.12,27.2,Almoço,5
23,Curitiba,Pizza,53.32,33.5,Almoço,2
24,Belo Horizonte,Salada,20.96,42.7,Jantar,5
25,Belo Horizonte,Sushi,37.09,39.6,Almoço,5
26,Curitiba,Sushi,39.25,40.0,Jantar,3
27,Belo Horizonte,Sushi,47.86,27.5,Almoço,5
28,Belo Horizonte,Brasileira,51.84,47.6,Almoço,5
29,Porto Alegre,Brasileira,51.07,35.1,Madrugada,4
30,Rio de Janeiro,Brasileira,62.13,63.0,Almoço,2
31,Belo Horizonte,Sushi,54.37,42.1,Madrugada,3
32,Curitiba,Sushi,45.75,43.3,Jantar,1
33,São Paulo,Sushi,52.88,32.5,Almoço,1
34,São Paulo,Lanches,41.76,38.8,Madrugada,2
35,Rio de Janeiro,Sushi,54.13,22.0,Almoço,4
36,São Paulo,Lanches,80.04,43.9,Madrugada,4
37,Curitiba,Lanches,53.88,39.7,Madrugada,2
38,São Paulo,Sushi,38.66,24.2,Almoço,1
39,São Paulo,Salada,46.77,39.0,Jantar,1
40,São Paulo,Pizza,36.99,45.2,Almoço,3
41,São Paulo,Salada,,11.2,Almoço,2
42,São Paulo,Salada,10.0,23.1,Madrugada,2
