id_aluno,curso,sexo,estado,nota_1,nota_2,concluiu
1001,Power BI,Feminino,MG,8.2,6.2,Sim
1002,Power BI,Feminino,RS,7.8,6.9,Sim
1003,Python,Feminino,PR,5.3,7.3,Sim
1004,Python,Masculino,RS,6.5,8.2,Não
1005,SQL,Feminino,MG,6.5,,Sim
1006,Excel,Masculino,SP,6.7,5.8,Sim
1007,Power BI,Masculino,RJ,7.9,8.1,Não
1008,Excel,Feminino,RS,6.4,6.6,Sim
1009,Machine Learning,Feminino,RJ,7.0,7.5,Sim
1010,Machine Learning,Masculino,RJ,6.4,8.3,Sim
1011,SQL,Masculino,RJ,7.7,9.5,Sim
1012,Excel,Masculino,RS,8.6,7.6,Sim
1013,SQL,Feminino,RS,8.0,4.4,Não
1014,Power BI,Feminino,RS,8.0,8.3,Sim
1015,Machine Learning,Masculino,PR,6.5,7.8,Não
1016,Machine Learning,Feminino,RS,5.1,6.0,Sim
1017,SQL,Feminino,SP,7.3,8.5,Sim
1018,Excel,Masculino,RJ,7.9,7.9,Sim
1019,Python,Feminino,RJ,5.0,10.0,Sim
1020,SQL,Feminino,RJ,7.7,8.3,Não
1021,Excel,Feminino,RJ,6.7,7.6,Sim
1022,SQL,Feminino,MG,6.3,6.2,Sim
1023,Excel,Masculino,PR,7.3,8.0,Sim
1024,Machine Learning,Feminino,RJ,8.6,7.1,Sim
1025,Machine Learning,Masculino,SP,5.9,8.2,Sim
1026,Excel,Masculino,PR,7.6,7.7,Sim
1027,Power BI,Feminino,RJ,9.3,10.0,Sim
1028,Machine Learning,Masculino,SP,9.5,7.2,Não
1029,SQL,Feminino,RS,9.8,7.0,Sim
1030,Power BI,Masculino,RJ,5.6,3.3,Não
1031,Excel,Masculino,SP,9.1,7.6,Sim
1032,SQL,Feminino,PR,9.4,6.7,Sim
1033,Machine Learning,Masculino,MG,,4.7,Não
1034,Excel,Masculino,RS,7.9,6.8,Sim
1035,Python,Feminino,RJ,8.9,6.1,Não
1036,Python,Masculino,SP,5.8,6.3,Sim
1037,Machine Learning,Feminino,RS,6.1,8.7,Sim
1038,SQL,Masculino,PR,8.8,6.1,Sim
1039,Python,Masculino,PR,7.5,3.8,Não
1040,Python,Masculino,MG,7.4,6.1,Sim
1041,SQL,Feminino,PR,7.1,6.0,Não
1042,Power BI,Masculino,SP,9.1,6.7,Sim
1043,Python,Feminino,PR,5.8,7.6,Sim
1044,Excel,Feminino,RS,9.5,6.4,Sim
1045,SQL,Masculino,RJ,7.3,5.7,Sim
1046,Power BI,Masculino,RJ,7.3,6.9,Sim
1047,SQL,Masculino,PR,3.6,6.3,Sim
1048,Python,Feminino,SP,6.9,7.1,Sim
1049,SQL,Masculino,RS,7.7,7.6,Sim
1050,SQL,Feminino,RS,,5.5,Não
1051,Power BI,Feminino,PR,4.1,7.7,Sim
1052,Excel,Feminino,SP,6.2,7.5,Sim
1053,Python,Feminino,RS,9.6,5.0,Sim
1054,Python,Masculino,RS,,7.8,Sim
1055,Python,Feminino,RJ,6.2,7.6,Sim
1056,Power BI,Feminino,PR,5.4,8.1,Sim
1057,Power BI,Masculino,RJ,6.2,9.5,Sim
1058,Machine Learning,Feminino,PR,5.1,6.7,Sim
1059,Excel,Masculino,SP,7.2,,Sim
1060,SQL,Masculino,MG,6.3,6.8,Não
1061,Excel,Masculino,PR,8.8,7.9,Sim
1062,SQL,Feminino,MG,4.7,6.1,Sim
1063,Excel,Masculino,PR,7.2,7.1,Sim
1064,SQL,Feminino,MG,6.7,7.2,Não
1065,Excel,Masculino,MG,9.3,6.5,Sim
1066,Excel,Feminino,SP,8.2,4.0,Sim
1067,Python,Feminino,MG,6.6,8.4,Sim
1068,Excel,Masculino,MG,10.0,5.0,Sim
1069,Power BI,Masculino,PR,7.3,7.0,Sim
1070,SQL,Masculino,RJ,7.5,7.3,Sim
1071,Machine Learning,Feminino,MG,3.8,6.6,Sim
1072,Machine Learning,Feminino,PR,5.8,7.4,Sim
1073,Excel,Masculino,RJ,6.0,7.2,Sim
1074,Machine Learning,Feminino,MG,6.0,,Sim
1075,Machine Learning,Feminino,SP,8.3,6.6,Sim
1076,SQL,Feminino,MG,6.8,7.9,Sim
1077,Power BI,Masculino,RS,4.7,7.7,Sim
1078,Machine Learning,Feminino,SP,6.4,9.5,Sim
1079,Machine Learning,Feminino,PR,5.9,8.1,Sim
1080,Power BI,Feminino,SP,6.7,7.3,Sim
1081,Power BI,Feminino,MG,6.8,6.7,Sim
1082,Excel,Feminino,SP,8.9,8.7,Não
1083,Power BI,Feminino,RS,5.7,7.2,Não
1084,Excel,Feminino,SP,6.7,6.3,Sim
1085,Excel,Feminino,RS,5.9,8.8,Não
1086,Excel,Masculino,RS,5.9,10.0,Sim
1087,Machine Learning,Feminino,RJ,7.0,10.0,Sim
1088,Power BI,Feminino,RS,7.8,8.4,Sim
1089,SQL,Masculino,PR,6.0,5.2,Sim
1090,Excel,Feminino,RS,8.2,,Sim
1091,Power BI,Feminino,SP,8.1,6.3,Sim
1092,SQL,Masculino,MG,8.2,6.3,Não
1093,Python,Feminino,MG,8.1,6.8,Sim
1094,Excel,Masculino,RS,9.6,6.9,Não
1095,Python,Feminino,PR,8.8,6.6,Sim
1096,Machine Learning,Feminino,RJ,8.5,4.7,Sim
1097,SQL,Feminino,RJ,5.8,5.2,Não
1098,Machine Learning,Feminino,RS,4.8,6.5,Não
1099,Power BI,Masculino,MG,7.8,7.5,Não
1100,Machine Learning,Feminino,PR,7.4,7.2,Sim
1101,Power BI,Masculino,PR,9.0,9.0,Não
1102,Machine Learning,Feminino,RS,8.1,6.3,Não
