id_checkin,dia_semana,horario,tempo_treino_min,plano
5001,Terça,Noite,55.1,Básico
5002,Sexta,Tarde,61.8,Premium
5003,Terça,Tarde,102.5,Básico
5004,Segunda,Tarde,111.4,Básico
5005,Segunda,Manhã,62.2,Plus
5006,Sábado,Manhã,61.4,Premium
5007,Sexta,Noite,82.5,Básico
5008,Sexta,Manhã,46.8,Básico
5009,Segunda,Manhã,63.5,Plus
5010,Sexta,Manhã,55.8,Básico
5011,Sexta,Manhã,77.9,Básico
5012,Segunda,Manhã,67.2,Premium
5013,Quinta,Noite,74.0,Plus
5014,Terça,Noite,71.7,Básico
5015,Sexta,Manhã,57.3,Plus
5016,Sábado,Noite,75.1,Básico
5017,Segunda,Manhã,67.7,Básico
5018,Sexta,Manhã,75.0,Básico
5019,Quarta,Noite,79.8,Básico
5020,Sábado,Noite,41.5,Premium
5021,Quinta,Tarde,73.9,Básico
5022,Quarta,Tarde,,Plus
5023,Sexta,Manhã,62.5,Básico
5024,Quarta,Tarde,70.4,Plus
5025,Sábado,Manhã,57.2,Básico
5026,Quinta,Manhã,111.9,Básico
5027,Sexta,Manhã,79.6,Plus
5028,Sexta,Manhã,58.7,Básico
5029,Sábado,Manhã,70.1,Básico
5030,Quarta,Tarde,41.6,Básico
5031,Terça,Tarde,69.4,Básico
5032,Sábado,Noite,53.4,Premium
5033,Segunda,Tarde,60.5,Plus
5034,Segunda,Manhã,69.7,Plus
5035,Quinta,Manhã,53.9,Básico
5036,Quarta,Manhã,42.0,Plus
5037,Sábado,Manhã,45.1,Básico
5038,Sábado,Tarde,63.5,Premium
5039,Sexta,Noite,48.8,Premium
5040,Sexta,Manhã,58.4,Básico
5041,Segunda,Noite,90.5,Premium
5042,Quarta,Manhã,68.2,Plus
5043,Segunda,Tarde,56.7,Básico
5044,Quinta,Tarde,85.6,Plus
5045,Quarta,Manhã,67.3,Plus
5046,Sexta,Tarde,67.2,
5047,Quarta,Manhã,61.4,Básico
5048,Terça,Manhã,81.9,Básico
5049,Segunda,Noite,95.4,Básico
5050,Terça,Noite,83.4,Premium
5051,Quinta,Tarde,75.0,Básico
5052,Quarta,Tarde,63.5,Básico
5053,Segunda,Noite,42.0,Básico
5054,Segunda,Tarde,73.5,
5055,Terça,Manhã,65.4,Básico
5056,Terça,Manhã,78.5,Básico
5057,Sexta,Tarde,81.1,Premium
5058,Sábado,Noite,68.8,Plus
5059,Sábado,Manhã,77.3,Plus
5060,Segunda,Manhã,66.2,Premium
5061,Quinta,Tarde,63.1,Básico
5062,Quinta,Noite,29.8,Plus
5063,Quinta,Noite,42.2,Plus
5064,Segunda,Noite,41.0,Plus
5065,Quarta,Tarde,73.2,Plus
5066,Quinta,Manhã,77.6,Básico
5067,Quarta,Manhã,44.1,Plus
5068,Sábado,Manhã,,Plus
5069,Terça,Manhã,70.5,Básico
5070,Sexta,Noite,55.7,Básico
5071,Segunda,Tarde,86.6,Premium
5072,Quarta,Tarde,65.3,Plus
5073,Segunda,Manhã,60.4,Básico
5074,Terça,Manhã,62.6,
5075,Terça,Tarde,79.5,Plus
