id_funcionario,setor,idade,genero,tempo_empresa_anos,escolaridade,situacao
7001,Administrativo,38,Masculino,2.7,Superior,Ativo
7002,TI,19,Feminino,2.8,Ensino Médio,Desligado
7003,Administrativo,22,Masculino,2.9,Superior,Desligado
7004,Operações,11,Masculino,0.5,Ensino Médio,Ativo
7005,Operações,38,Feminino,5.0,Superior,Desligado
7006,Vendas,51,Masculino,9.8,Superior,Ativo
7007,Vendas,35,Feminino,3.1,Ensino Médio,Ativo
7008,Operações,33,Masculino,3.0,Ensino Médio,Ativo
7009,Administrativo,39,Masculino,4.7,Superior,Desligado
7010,Vendas,45,Feminino,7.0,Pós-graduação,Ativo
7011,Operações,39,Masculino,2.6,Superior,Desligado
7012,Operações,41,Masculino,4.9,Superior,Ativo
7013,Administrativo,46,Feminino,6.8,Ensino Médio,Ativo
7014,Vendas,44,Masculino,3.1,Pós-graduação,Ativo
7015,Operações,46,Feminino,5.9,Ensino Médio,Ativo
7016,TI,43,Feminino,5.8,Superior,Ativo
7017,RH,30,Masculino,6.4,Pós-graduação,Ativo
7018,Operações,35,Outro,3.6,Ensino Médio,Ativo
7019,Vendas,47,Feminino,8.2,Superior,Ativo
7020,Operações,38,,3.4,Superior,Desligado
7021,RH,38,Feminino,7.6,Ensino Médio,Ativo
7022,TI,25,Masculino,6.0,Superior,Ativo
7023,RH,37,Feminino,2.5,Pós-graduação,Ativo
7024,Operações,19,Feminino,6.2,Ensino Médio,Ativo
7025,TI,32,Feminino,3.5,Ensino Médio,Ativo
7026,Administrativo,31,Masculino,5.3,Superior,Ativo
7027,Administrativo,34,Masculino,7.0,Pós-graduação,Ativo
7028,Operações,32,Feminino,1.8,Superior,Ativo
7029,Administrativo,44,Feminino,4.8,Superior,Ativo
7030,Operações,31,Feminino,4.8,Superior,Ativo
7031,Operações,33,Feminino,4.2,Superior,Ativo
7032,TI,46,Feminino,8.6,Superior,Desligado
7033,Administrativo,28,Outro,10.5,Superior,Ativo
7034,TI,31,Feminino,4.1,Ensino Médio,Ativo
7035,Operações,33,Feminino,4.9,Superior,Ativo
7036,Administrativo,41,Masculino,3.4,Ensino Médio,Ativo
7037,TI,28,Masculino,1.7,Superior,Ativo
7038,Administrativo,40,Masculino,3.0,Superior,Ativo
7039,TI,30,Feminino,4.0,Ensino Médio,Ativo
7040,Vendas,25,Feminino,5.6,Ensino Médio,Ativo
7041,RH,33,Masculino,9.1,Pós-graduação,Desligado
7042,Administrativo,40,Feminino,4.6,Ensino Médio,Ativo
7043,TI,42,Masculino,3.1,Superior,Ativo
7044,Operações,24,Masculino,6.7,Superior,Ativo
7045,Operações,36,Feminino,3.6,Superior,Ativo
7046,Operações,23,Masculino,4.1,Superior,Ativo
7047,Operações,22,Feminino,3.8,Superior,Ativo
7048,Operações,28,Masculino,3.7,Ensino Médio,Ativo
7049,Vendas,32,Feminino,0.8,Superior,Ativo
7050,Administrativo,25,Masculino,6.8,Superior,Ativo
7051,Vendas,41,Feminino,2.7,Pós-graduação,Ativo
7052,Administrativo,36,Masculino,3.8,Superior,Ativo
7053,Administrativo,41,Feminino,6.0,Superior,Ativo
7054,Vendas,46,,4.6,Ensino Médio,Ativo
7055,RH,28,Feminino,2.6,Superior,Ativo
7056,TI,38,Masculino,5.3,Ensino Médio,Desligado
7057,Administrativo,26,Feminino,0.5,Superior,Ativo
7058,Vendas,33,Feminino,6.2,Superior,Desligado
7059,RH,35,Feminino,3.3,Superior,Desligado
7060,Vendas,41,Feminino,4.3,Ensino Médio,Ativo
7061,Vendas,29,Feminino,2.4,Superior,Ativo
7062,Vendas,37,Feminino,5.5,Pós-graduação,Ativo
7063,TI,42,Feminino,1.6,Superior,Desligado
7064,Vendas,27,Feminino,3.2,Ensino Médio,Ativo
7065,RH,30,Masculino,3.1,Superior,Ativo
7066,Administrativo,47,Masculino,3.2,Superior,Ativo
7067,RH,36,Masculino,5.0,Ensino Médio,Ativo
7068,RH,31,Masculino,5.2,Ensino Médio,Ativo
7069,Vendas,39,Masculino,1.9,Ensino Médio,Ativo
7070,TI,25,Masculino,1.0,Superior,Ativo
7071,RH,52,Masculino,3.2,Ensino Médio,Ativo
7072,Operações,32,Feminino,5.6,Superior,Ativo
7073,Operações,20,Masculino,2.1,Ensino Médio,Ativo
7074,Vendas,21,Feminino,2.3,Pós-graduação,Ativo
7075,RH,32,Feminino,3.8,Superior,Desligado
7076,Vendas,18,Masculino,2.8,Superior,Ativo
7077,Vendas,20,,2.5,Ensino Médio,Ativo
7078,Operações,35,Feminino,5.1,Ensino Médio,Ativo
7079,RH,28,Masculino,7.5,Pós-graduação,Desligado
7080,TI,72,Feminino,7.5,Ensino Médio,Ativo
7081,Administrativo,25,Masculino,7.6,Superior,Desligado
7082,RH,28,Outro,5.0,Superior,Ativo
7083,TI,35,Masculino,5.2,Superior,Ativo
7084,TI,27,Feminino,2.3,Superior,Ativo
7085,Administrativo,33,Feminino,4.8,Superior,Desligado
7086,Administrativo,28,Masculino,5.4,Superior,Ativo
7087,Administrativo,25,Masculino,7.5,Ensino Médio,Ativo
7088,Operações,29,Feminino,5.5,Superior,Ativo
7089,RH,28,Masculino,,Superior,Ativo
7090,RH,26,Outro,2.5,Pós-graduação,Desligado
7091,TI,43,Masculino,8.0,Ensino Médio,Ativo
7092,Operações,24,Masculino,4.5,Ensino Médio,Ativo
7093,Vendas,43,Masculino,7.1,Ensino Médio,Ativo
7094,Administrativo,47,Outro,3.9,Pós-graduação,Ativo
7095,RH,22,Feminino,4.2,Superior,Desligado
7096,Operações,51,Feminino,5.0,Ensino Médio,Ativo
7097,RH,54,Feminino,3.0,Ensino Médio,Ativo
7098,TI,36,Feminino,2.9,Ensino Médio,Ativo
7099,TI,46,Masculino,4.6,Ensino Médio,Ativo
7100,Administrativo,40,Masculino,0.7,Superior,Ativo
7101,Administrativo,40,Masculino,,Superior,Ativo
7102,Operações,42,Feminino,3.1,Superior,Ativo
7103,Administrativo,36,Masculino,4.0,Superior,Ativo
7104,RH,37,Outro,4.8,Ensino Médio,Desligado
7105,RH,27,Masculino,4.6,Ensino Médio,Ativo
7106,Operações,39,Masculino,3.7,Ensino Médio,Ativo
7107,Vendas,38,Feminino,5.0,Superior,Ativo
7108,RH,31,Masculino,2.1,Superior,Ativo
7109,Operações,26,Outro,3.2,Ensino Médio,Ativo
7110,Operações,31,Masculino,4.0,Pós-graduação,Ativo
7111,Administrativo,48,Masculino,5.0,Superior,Ativo
7112,Administrativo,27,Feminino,4.0,Superior,Ativo
7113,RH,29,Masculino,5.2,Pós-graduação,Ativo
7114,TI,38,Feminino,5.7,Superior,Ativo
7115,RH,31,Feminino,1.1,Superior,Ativo
7116,Operações,32,Feminino,4.1,Superior,Ativo
7117,TI,39,Masculino,5.7,Pós-graduação,Desligado
7118,RH,19,Masculino,1.8,Ensino Médio,Desligado
7119,Vendas,29,,3.2,Ensino Médio,Ativo
7120,TI,19,Masculino,3.4,Ensino Médio,Ativo
7121,Operações,27,Masculino,2.6,Superior,Ativo
7122,Vendas,39,Masculino,2.9,Pós-graduação,Ativo
7123,TI,22,Outro,1.5,Superior,Ativo
7124,Vendas,27,Feminino,4.2,Ensino Médio,Desligado
7125,Operações,33,Masculino,4.1,Superior,Ativo
7126,Vendas,44,Masculino,1.2,Pós-graduação,Ativo
7127,Vendas,37,Feminino,4.9,Superior,Ativo
7128,Operações,53,Feminino,8.7,Pós-graduação,Desligado
7129,RH,37,Feminino,1.1,Ensino Médio,Ativo
7130,RH,51,Feminino,7.5,Pós-graduação,Ativo
7131,Administrativo,25,Masculino,4.3,Ensino Médio,Ativo
7132,Operações,44,Masculino,,Ensino Médio,Desligado
7133,Vendas,35,Feminino,2.6,Ensino Médio,Ativo
7134,Operações,35,Masculino,,Ensino Médio,Ativo
7135,Vendas,42,Masculino,3.1,Ensino Médio,Ativo
7136,TI,34,Masculino,0.6,Ensino Médio,Ativo
7137,TI,26,Masculino,3.1,Ensino Médio,Ativo
7138,Administrativo,25,Masculino,2.2,Superior,Ativo
7139,Operações,34,Outro,2.5,Pós-graduação,Desligado
7140,Operações,33,,3.3,Superior,Ativo
7141,TI,54,Masculino,3.8,Superior,Desligado
7142,TI,28,Masculino,4.9,Superior,Desligado
7143,TI,19,Feminino,2.4,Superior,Ativo
7144,Operações,21,Feminino,6.0,Ensino Médio,Ativo
7145,TI,35,,1.8,Superior,Ativo
7146,Vendas,27,Masculino,4.4,Ensino Médio,Ativo
7147,TI,12,Feminino,3.5,Superior,Ativo
7148,TI,23,Masculino,5.0,Superior,Ativo
7149,TI,34,Feminino,6.1,Superior,Ativo
7150,Vendas,25,Feminino,2.4,Ensino Médio,Ativo
7151,TI,24,Masculino,4.2,Ensino Médio,Desligado
7152,RH,30,Outro,7.4,Ensino Médio,Ativo
7153,RH,28,Feminino,3.4,Superior,Desligado
7154,Operações,32,Feminino,2.7,Superior,Ativo
7155,Vendas,50,Outro,5.7,Ensino Médio,Ativo
7156,RH,34,Masculino,2.5,Ensino Médio,Ativo
7157,RH,25,Masculino,1.5,Superior,Desligado
7158,Operações,35,Feminino,2.7,Ensino Médio,Ativo
7159,Operações,41,Masculino,4.5,Ensino Médio,Ativo
7160,RH,32,Masculino,4.5,Ensino Médio,Ativo
7161,RH,29,Masculino,5.8,Superior,Ativo
7162,Operações,36,Masculino,6.1,Superior,Ativo
7163,Operações,22,Feminino,1.7,Superior,Ativo
7164,RH,27,Feminino,5.8,Ensino Médio,Ativo
7165,Vendas,33,,7.2,Superior,Ativo
7166,Vendas,28,Masculino,4.6,Superior,Ativo
7167,Operações,25,Feminino,4.9,Pós-graduação,Ativo
7168,Vendas,30,Outro,2.2,Superior,Ativo
7169,Operações,32,Feminino,8.3,Pós-graduação,Ativo
7170,Operações,28,Masculino,6.0,Ensino Médio,Ativo
7171,Administrativo,20,Feminino,5.4,Superior,Ativo
7172,TI,35,,2.2,Superior,Ativo
7173,Administrativo,45,Masculino,3.9,Pós-graduação,Ativo
7174,TI,51,Masculino,5.4,Ensino Médio,Ativo
7175,Operações,39,Feminino,1.5,Pós-graduação,Ativo
7176,RH,41,Masculino,2.2,Pós-graduação,Ativo
7177,TI,36,Masculino,3.4,Ensino Médio,Ativo
7178,Administrativo,37,Feminino,0.0,Superior,Ativo
7179,Vendas,22,Masculino,5.1,Ensino Médio,Ativo
7180,TI,34,Feminino,0.4,Superior,Ativo
7181,Administrativo,38,Masculino,3.3,Ensino Médio,Ativo
7182,Operações,57,Masculino,3.4,Ensino Médio,Ativo
7183,Administrativo,37,Feminino,2.3,Ensino Médio,Ativo
7184,Operações,35,Masculino,0.4,Superior,Ativo
7185,TI,37,Feminino,5.0,Superior,Ativo
7186,Administrativo,47,Masculino,4.4,Superior,Ativo
7187,Administrativo,24,Feminino,3.5,Superior,Ativo
7188,RH,30,Feminino,4.6,Superior,Ativo
7189,Vendas,16,Feminino,2.1,Ensino Médio,Desligado
7190,RH,22,Feminino,,Superior,Ativo
7191,RH,44,Masculino,5.0,Superior,Ativo
7192,TI,22,Feminino,4.8,Ensino Médio,Ativo
7193,Operações,36,Masculino,4.5,Superior,Ativo
7194,Administrativo,34,,6.7,Superior,Ativo
7195,Vendas,27,Masculino,5.5,Superior,Ativo
7196,TI,23,Masculino,5.9,Ensino Médio,Ativo
7197,TI,14,Feminino,5.5,Superior,Ativo
7198,Operações,46,Masculino,2.4,Ensino Médio,Ativo
7199,TI,29,Feminino,4.1,Ensino Médio,Ativo
7200,Administrativo,45,Feminino,3.8,Ensino Médio,Ativo
7201,Administrativo,22,Masculino,,Pós-graduação,Desligado
7202,RH,33,Feminino,4.1,Pós-graduação,Ativo
7203,Vendas,23,Masculino,3.0,Superior,Ativo
7204,Administrativo,45,Feminino,0.5,Ensino Médio,Ativo
7205,Operações,53,Feminino,4.4,Superior,Ativo
7206,Vendas,41,Feminino,5.3,Superior,Ativo
