ID_Registro,Setor,Mes,Total_Produzido,Custo_Producao
1,Farmacêutico,2024-01,2834,115681.72
2,Farmacêutico,2024-02,8843,289263.44
3,Farmacêutico,2024-03,4275,453706.06
4,Farmacêutico,2024-04,6753,320253.23
5,Têxtil,2024-05,2907,465954.97
6,Têxtil,2024-06,3261,215986.43
7,Tecnologia,2024-07,9737,275152.71
8,Alimentício,2024-08,2837,490325.54
9,Têxtil,2024-09,2798,455303.66
10,Têxtil,2024-10,8750,60646.6
11,Têxtil,2024-11,2378,486239.33
12,Têxtil,2024-12,2019,496817.32
13,Têxtil,2025-01,6825,359046.86
14,Têxtil,2025-02,5169,376796.18
15,Alimentício,2025-03,9965,350404.63
16,Têxtil,2025-04,8337,271399.14
17,Têxtil,2025-05,5981,56091.98
18,Alimentício,2025-06,9856,436801.83
19,Tecnologia,2025-07,2451,55633.37
20,Automobilístico,2025-08,9400,444353.07
