id_compra,dia_semana,categoria,valor,forma_pagamento
9001,Sexta,Limpeza,28.03,Cartão Débito
9002,Domingo,Bebidas,37.9,Cartão Crédito
9003,Quinta,Pet,15.23,Cartão Débito
9004,Quarta,Outros,34.07,Cartão Débito
9005,Quarta,Bebidas,75.31,Cartão Débito
9006,Quinta,Limpeza,22.48,Cartão Crédito
9007,Domingo,Alimentos,41.37,Cartão Débito
9008,Quinta,Pet,65.58,Pix
9009,Terça,Limpeza,80.9,Cartão Crédito
9010,Sábado,Outros,15.88,Cartão Crédito
9011,Quarta,Bebidas,8.81,Cartão Débito
9012,Sexta,Higiene,9.59,Cartão Crédito
9013,Segunda,Limpeza,27.27,Cartão Crédito
9014,Terça,Bebidas,28.76,Dinheiro
9015,Terça,Limpeza,7.34,Cartão Crédito
9016,Sexta,Limpeza,47.21,Pix
9017,Domingo,Higiene,33.21,Cartão Crédito
9018,Quarta,Higiene,38.97,Cartão Crédito
9019,Sexta,Bebidas,42.6,Cartão Débito
9020,Quinta,Bebidas,28.13,Dinheiro
9021,Sexta,Alimentos,23.4,Cartão Crédito
9022,Sábado,Alimentos,65.11,Cartão Crédito
9023,Quarta,Higiene,32.45,Cartão Débito
9024,Sexta,Alimentos,65.55,Cartão Débito
9025,Quinta,Higiene,15.83,Pix
9026,Domingo,Higiene,26.89,
9027,Terça,Bebidas,70.3,Cartão Crédito
9028,Segunda,Limpeza,11.69,Cartão Crédito
9029,Sábado,Higiene,6.81,Cartão Crédito
9030,Segunda,Bebidas,17.06,Cartão Crédito
9031,Segunda,Higiene,29.15,Cartão Débito
9032,Quinta,Outros,88.01,Cartão Débito
9033,Domingo,Limpeza,60.03,
9034,Quinta,Alimentos,33.07,Cartão Crédito
9035,Domingo,Alimentos,16.19,Cartão Débito
9036,Quarta,Higiene,2.78,Cartão Débito
9037,Segunda,Pet,31.74,Cartão Crédito
9038,Quinta,Higiene,77.54,Cartão Crédito
9039,Sábado,Limpeza,35.74,Cartão Crédito
9040,Quarta,Bebidas,34.49,Cartão Débito
9041,Quarta,Outros,122.19,Cartão Crédito
9042,Domingo,Bebidas,111.04,Cartão Crédito
9043,Terça,Bebidas,16.64,Cartão Crédito
9044,Segunda,Bebidas,38.51,Dinheiro
9045,Domingo,Limpeza,20.0,Cartão Crédito
