id_reserva,dia_checkin,tipo_quarto,meio_reserva,num_noites,avaliacao_hospede
1,Quarta,Suíte,App,1.0,3.0
2,Segunda,Luxo,App,7.0,3.0
3,Segunda,Luxo,Telefone,1.0,2.0
4,Segunda,Suíte,Site,7.0,3.0
5,Segunda,Standard,Site,7.0,4.0
6,Quinta,Luxo,Site,2.0,2.0
7,Sexta,Luxo,Site,1.0,4.0
8,Quarta,Luxo,Site,2.0,4.0
9,Sexta,Luxo,Telefone,2.0,4.0
10,Segunda,Standard,Agência,7.0,5.0
11,Sexta,Executivo,Site,5.0,5.0
12,Segunda,Executivo,App,2.0,3.0
13,Sábado,Executivo,App,1.0,
14,Segunda,Luxo,Telefone,1.0,4.0
15,Domingo,Suíte,App,7.0,
16,Domingo,Executivo,App,5.0,4.0
17,Quarta,Standard,Site,5.0,4.0
18,Sexta,Executivo,Agência,7.0,4.0
19,Sábado,Standard,App,6.0,4.0
20,Sábado,Suíte,Site,4.0,4.0
21,Domingo,Luxo,Agência,2.0,5.0
22,Segunda,Luxo,Site,,4.0
23,Quinta,Luxo,Site,3.0,2.0
24,Terça,Standard,App,6.0,3.0
25,Terça,Standard,App,,1.0
26,Sábado,Standard,App,6.0,4.0
27,Terça,Suíte,App,5.0,4.0
28,Segunda,Standard,Site,6.0,4.0
29,Sexta,Suíte,Site,3.0,4.0
30,Domingo,Standard,Telefone,6.0,2.0
31,Sexta,Luxo,Telefone,4.0,4.0
32,Domingo,Suíte,Agência,6.0,
33,Quarta,Luxo,Agência,,5.0
34,Domingo,Executivo,Site,1.0,5.0
35,Segunda,Suíte,App,4.0,4.0
36,Segunda,Executivo,Site,1.0,2.0
37,Domingo,Suíte,Site,2.0,3.0
38,Quarta,Standard,Site,5.0,3.0
39,Quinta,Standard,App,3.0,5.0
40,Quinta,Standard,Telefone,3.0,1.0
41,Segunda,Suíte,Telefone,1.0,3.0
42,Segunda,Executivo,App,5.0,5.0
43,Domingo,Luxo,Site,4.0,4.0
44,Quarta,Executivo,App,4.0,4.0
45,Sexta,Suíte,Agência,3.0,4.0
46,Terça,Executivo,Telefone,5.0,5.0
47,Terça,Standard,App,4.0,5.0
48,Sexta,Executivo,Site,2.0,5.0
49,Terça,Executivo,App,6.0,3.0
50,Sexta,Standard,Site,7.0,4.0
51,Sábado,Standard,App,6.0,1.0
52,Quinta,Standard,Telefone,2.0,4.0
53,Terça,Executivo,App,6.0,2.0
54,Domingo,Executivo,Agência,4.0,4.0
55,Sábado,Standard,Site,2.0,5.0
56,Quinta,Executivo,Site,7.0,4.0
57,Sábado,Executivo,Agência,1.0,4.0
58,Terça,Suíte,Site,3.0,4.0
59,Sábado,Executivo,Site,3.0,4.0
60,Quinta,Executivo,Agência,5.0,5.0
61,Quarta,Standard,Site,2.0,4.0
62,Terça,Luxo,Site,4.0,3.0
63,Quinta,Suíte,Telefone,5.0,4.0
64,Sexta,Suíte,Site,1.0,4.0
65,Sábado,Executivo,Telefone,1.0,4.0
66,Quarta,Executivo,Site,1.0,5.0
67,Sábado,Suíte,Site,3.0,4.0
68,Sábado,Luxo,App,5.0,4.0
69,Segunda,Luxo,Site,5.0,2.0
70,Sábado,Luxo,Site,5.0,4.0
71,Domingo,Luxo,Telefone,4.0,2.0
72,Sexta,Executivo,Agência,7.0,3.0
73,Quinta,Suíte,App,4.0,4.0
74,Quinta,Luxo,Telefone,5.0,5.0
75,Sábado,Suíte,Telefone,4.0,2.0
76,Quarta,Standard,Telefone,3.0,4.0
77,Quarta,Suíte,Telefone,1.0,
78,Domingo,Executivo,Site,4.0,3.0
79,Terça,Suíte,App,4.0,4.0
80,Domingo,Luxo,Site,1.0,5.0
81,Sábado,Executivo,App,2.0,5.0
82,Sábado,Standard,App,1.0,3.0
83,Sexta,Suíte,App,4.0,4.0
84,Sexta,Executivo,App,6.0,4.0
85,Domingo,Standard,Agência,6.0,4.0
86,Sábado,Standard,Agência,6.0,4.0
87,Terça,Luxo,App,1.0,5.0
88,Terça,Executivo,App,6.0,4.0
89,Domingo,Suíte,Site,2.0,4.0
90,Quarta,Standard,Agência,6.0,3.0
91,Segunda,Standard,Telefone,4.0,3.0
92,Quinta,Executivo,App,3.0,4.0
93,Sexta,Suíte,Telefone,2.0,4.0
94,Quarta,Standard,Site,1.0,4.0
95,Sábado,Luxo,Telefone,1.0,3.0
96,Sábado,Luxo,App,5.0,5.0
97,Sexta,Suíte,Site,7.0,4.0
98,Segunda,Standard,Agência,3.0,4.0
99,Terça,Suíte,Site,3.0,5.0
100,Terça,Executivo,Telefone,3.0,4.0
101,Quinta,Executivo,Site,6.0,2.0
102,Terça,Luxo,Site,,4.0
103,Sexta,Standard,Site,4.0,3.0
104,Quarta,Suíte,Site,1.0,
105,Terça,Standard,Telefone,3.0,3.0
106,Domingo,Executivo,App,5.0,4.0
