id_pedido,categoria_produto,transportadora,dias_entrega,status_entrega
10001,Casa,Motoboy,,Entregue
10002,Moda,Correios,1.9,Entregue
10003,Moda,Correios,4.8,Atrasada
10004,Eletrônicos,Correios,3.6,Entregue
10005,Esportes,Motoboy,2.8,Entregue
10006,Beleza,Transportadora X,5.0,Entregue
10007,Esportes,Correios,6.9,Entregue
10008,Eletrônicos,Loggi,5.9,Atrasada
10009,Moda,Correios,,Cancelada
10010,Casa,Transportadora X,,Entregue
10011,Casa,Loggi,7.2,Entregue
10012,Beleza,Correios,5.8,Entregue
10013,Moda,Transportadora X,4.3,Entregue
10014,Moda,Transportadora X,4.0,Entregue
10015,Esportes,Correios,2.6,Entregue
10016,Casa,Loggi,1.2,Cancelada
10017,Esportes,Correios,5.9,Atrasada
10018,Moda,Loggi,,Entregue
10019,Beleza,Correios,3.8,Entregue
10020,Eletrônicos,Correios,2.4,Entregue
10021,Eletrônicos,Loggi,4.5,Entregue
10022,Esportes,Loggi,7.5,Entregue
10023,Eletrônicos,Loggi,7.4,Entregue
10024,Esportes,Loggi,4.0,Entregue
10025,Beleza,Correios,4.8,Atrasada
10026,Beleza,Correios,4.7,Entregue
10027,Beleza,Transportadora X,5.1,Entregue
10028,Casa,Transportadora X,5.3,Entregue
10029,Casa,Correios,11.5,Entregue
10030,Eletrônicos,Correios,4.5,Atrasada
10031,Livros,Loggi,3.9,Entregue
10032,Beleza,Correios,4.5,Atrasada
10033,Casa,Correios,,Entregue
10034,Beleza,Transportadora X,2.9,Atrasada
10035,Casa,Transportadora X,3.8,Entregue
10036,Moda,Correios,7.8,Entregue
10037,Eletrônicos,Correios,6.1,Entregue
10038,Casa,Loggi,7.4,Atrasada
10039,Moda,Correios,2.2,Entregue
10040,Esportes,Transportadora X,4.1,Entregue
10041,Esportes,Loggi,,Entregue
10042,Moda,Transportadora X,2.6,Entregue
10043,Moda,Loggi,3.6,Entregue
10044,Eletrônicos,Correios,6.5,Cancelada
10045,Casa,Correios,6.9,Entregue
10046,Eletrônicos,Transportadora X,6.6,Entregue
10047,Livros,Correios,6.7,Entregue
10048,Livros,Motoboy,7.0,Atrasada
10049,Livros,Transportadora X,3.4,Entregue
10050,Beleza,Transportadora X,6.5,Entregue
10051,Esportes,Loggi,8.2,Entregue
10052,Moda,Correios,2.8,Entregue
10053,Esportes,Correios,7.8,Entregue
10054,Eletrônicos,Correios,6.1,Entregue
10055,Livros,Correios,6.0,Entregue
10056,Beleza,Correios,4.2,Atrasada
10057,Livros,Correios,8.7,Entregue
10058,Eletrônicos,Transportadora X,4.9,Entregue
10059,Beleza,Transportadora X,7.1,Atrasada
10060,Casa,Transportadora X,5.8,Entregue
10061,Moda,Loggi,4.6,Cancelada
10062,Casa,Transportadora X,6.1,Entregue
10063,Esportes,Correios,5.5,Entregue
10064,Casa,Correios,5.9,Entregue
