id_usuario,dispositivo,plano_internet,periodo_uso,consumo_gb_mes,satisfacao
1148,Smartphone,Intermediário,Madrugada,69.0,
1864,Smart TV,Avançado,Manhã,55.8,3.0
1428,Notebook,Básico,Madrugada,137.0,5.0
1796,Desktop,Intermediário,Tarde,53.2,4.0
1099,Tablet,Intermediário,Noite,85.6,1.0
1680,Tablet,Básico,Manhã,69.1,4.0
1649,Tablet,Básico,Madrugada,71.3,5.0
1027,Tablet,Básico,Madrugada,79.6,5.0
1588,Smart TV,Intermediário,Madrugada,54.7,4.0
1670,Smartphone,Básico,Manhã,86.2,4.0
1953,Smart TV,Básico,Manhã,51.8,3.0
1685,Smart TV,Intermediário,Noite,109.0,3.0
1273,Tablet,Básico,Noite,,2.0
1634,Smartphone,Avançado,Madrugada,82.0,2.0
1781,Desktop,Intermediário,Manhã,46.3,4.0
1375,Smartphone,Básico,Noite,62.4,3.0
1888,Smart TV,Básico,Madrugada,81.0,3.0
1809,Smart TV,Básico,Madrugada,80.0,3.0
1556,Smartphone,Intermediário,Tarde,117.4,4.0
1892,Smart TV,Básico,Manhã,90.3,5.0
1029,Smart TV,Básico,Madrugada,,3.0
1910,Desktop,Intermediário,Manhã,50.2,5.0
1772,Desktop,Básico,Manhã,96.8,3.0
1846,Smartphone,Avançado,Tarde,111.2,3.0
1954,Smartphone,Avançado,Noite,74.2,4.0
1628,Notebook,Básico,Noite,94.3,3.0
1689,Smartphone,Básico,Noite,75.2,3.0
1320,Tablet,Básico,Madrugada,41.0,5.0
1663,Smartphone,Básico,Tarde,73.5,4.0
1109,Smart TV,Intermediário,Manhã,49.6,3.0
1784,Smartphone,Intermediário,Madrugada,69.9,5.0
1127,Smartphone,Básico,Tarde,81.1,1.0
1869,Tablet,Básico,Manhã,52.1,1.0
1024,Notebook,Avançado,Madrugada,84.8,3.0
1816,Tablet,Básico,Manhã,42.7,5.0
1963,Desktop,Básico,Tarde,62.1,5.0
1450,Desktop,Avançado,Noite,60.8,4.0
1406,Notebook,Intermediário,Noite,102.1,5.0
1770,Notebook,Intermediário,Madrugada,62.6,5.0
1169,Desktop,Intermediário,Manhã,71.7,4.0
1939,Tablet,Básico,Manhã,64.9,4.0
1755,Smartphone,Intermediário,Noite,58.3,4.0
1561,Tablet,Básico,Noite,54.3,4.0
1140,Tablet,Intermediário,Manhã,44.0,
1154,Smartphone,Básico,Madrugada,123.3,1.0
1653,Smartphone,Básico,Tarde,49.9,2.0
1517,Notebook,Básico,Madrugada,53.9,5.0
1927,Desktop,Básico,Madrugada,,4.0
1795,Smart TV,Básico,Madrugada,70.7,4.0
1246,Desktop,Intermediário,Noite,8.6,3.0
1321,Smart TV,Básico,Tarde,64.2,4.0
1221,Tablet,Básico,Madrugada,82.2,4.0
1765,Smartphone,Intermediário,Noite,67.1,4.0
1441,Desktop,Intermediário,Manhã,73.3,3.0
1270,Desktop,Intermediário,Tarde,37.5,3.0
1166,Tablet,Básico,Noite,69.5,4.0
1962,Notebook,Básico,Madrugada,108.4,4.0
1561,Notebook,Intermediário,Madrugada,80.2,3.0
1743,Notebook,Básico,Noite,125.5,4.0
1092,Desktop,Intermediário,Madrugada,56.0,2.0
1174,Notebook,Básico,Noite,71.8,4.0
1407,Notebook,Intermediário,Madrugada,94.3,4.0
1550,Tablet,Intermediário,Noite,49.6,4.0
1365,Smart TV,Intermediário,Tarde,,4.0
1322,Desktop,Básico,Noite,,4.0
1402,Smart TV,Intermediário,Noite,27.9,4.0
1650,Smartphone,Avançado,Noite,73.6,1.0
1302,Smartphone,Básico,Noite,88.7,5.0
1828,Smartphone,Básico,Noite,19.0,5.0
1824,Notebook,Avançado,Tarde,111.1,2.0
1796,Desktop,Avançado,Tarde,101.1,1.0
1615,Tablet,Básico,Tarde,80.4,2.0
1619,Tablet,Intermediário,Manhã,91.2,
1922,Notebook,Intermediário,Noite,75.5,1.0
1201,Tablet,Intermediário,Noite,63.3,4.0
1426,Desktop,Avançado,Manhã,94.0,3.0
1984,Smart TV,Intermediário,Tarde,79.2,5.0
1058,Tablet,Intermediário,Manhã,97.3,4.0
1477,Smart TV,Intermediário,Noite,41.4,3.0
1292,Smartphone,Intermediário,Manhã,63.3,4.0
1902,Smart TV,Intermediário,Madrugada,58.1,4.0
1568,Tablet,Básico,Tarde,99.1,4.0
1068,Smart TV,Avançado,Noite,86.1,4.0
1417,Smartphone,Básico,Madrugada,66.4,5.0
1599,Notebook,Intermediário,Madrugada,54.1,4.0
1506,Smart TV,Intermediário,Tarde,44.4,4.0
1103,Notebook,Básico,Madrugada,63.8,5.0
1454,Smartphone,Intermediário,Noite,122.0,4.0
1880,Desktop,Intermediário,Manhã,81.5,4.0
1752,Desktop,Intermediário,Noite,50.7,4.0
1854,Smartphone,Básico,Manhã,102.3,4.0
1587,Notebook,Avançado,Noite,,1.0
1868,Smart TV,Básico,Tarde,64.4,4.0
1249,Smartphone,Intermediário,Tarde,32.2,2.0
1848,Smart TV,Intermediário,Manhã,69.1,3.0
1564,Desktop,Básico,Noite,28.2,4.0
1063,Smart TV,Básico,Madrugada,,4.0
1885,Smart TV,Intermediário,Noite,53.1,5.0
1007,Desktop,Intermediário,Tarde,75.6,4.0
1266,Tablet,Básico,Manhã,83.3,4.0
1345,Tablet,Intermediário,Madrugada,66.2,4.0
1942,Smart TV,Intermediário,Noite,65.5,4.0
1613,Smart TV,Básico,Tarde,81.3,5.0
1545,Smartphone,Básico,Tarde,101.1,4.0
1655,Desktop,Básico,Noite,85.3,4.0
1244,Notebook,Básico,Madrugada,121.5,4.0
