id_usuario,sexo,faixa_idade,atividade,duracao_min,calorias_gastas
5486,Feminino,36-45,Yoga,77.1,409.5
5333,Outro,46-60,Caminhada,46.9,339.6
5699,Outro,60+,Corrida,58.0,549.7
5143,Masculino,36-45,Bicicleta,38.8,455.4
5251,Feminino,18-25,Corrida,43.7,320.7
5006,Masculino,18-25,Yoga,38.7,338.3
5902,Masculino,26-35,Caminhada,82.0,557.2
5819,Feminino,26-35,Bicicleta,43.3,286.9
5352,Outro,18-25,Corrida,12.9,329.8
5521,Outro,60+,Caminhada,25.8,242.7
5572,Outro,26-35,Musculação,30.2,300.3
5224,Feminino,46-60,Outros,36.8,343.4
5061,Masculino,60+,Outros,68.6,
5110,Feminino,46-60,Musculação,65.6,293.6
5554,Feminino,46-60,Caminhada,61.4,257.8
5200,Masculino,18-25,Yoga,69.2,464.5
5787,Masculino,60+,Caminhada,20.3,321.1
5163,Masculino,26-35,Bicicleta,35.0,282.5
5552,Outro,18-25,Corrida,55.9,217.9
5931,Feminino,60+,Bicicleta,34.8,417.5
5072,Outro,36-45,Corrida,42.1,
5407,Outro,26-35,Musculação,47.3,367.3
5853,Outro,18-25,Caminhada,-6.8,338.7
5118,Masculino,26-35,Musculação,78.4,308.3
5350,Masculino,60+,Caminhada,20.6,279.5
5907,Feminino,18-25,Bicicleta,32.7,385.9
5882,Outro,46-60,Yoga,33.2,402.3
5254,Outro,60+,Corrida,30.9,557.2
5619,Feminino,60+,Corrida,51.9,424.3
5345,Feminino,26-35,Yoga,68.1,341.1
5787,Masculino,60+,Caminhada,23.6,412.6
5616,Masculino,26-35,Corrida,44.1,285.6
5788,Masculino,46-60,Bicicleta,73.4,412.5
5492,Masculino,36-45,Yoga,41.4,
5843,Outro,36-45,Caminhada,78.7,359.3
5858,Outro,60+,Corrida,67.9,277.3
5573,Outro,36-45,Corrida,62.7,348.4
5377,Masculino,46-60,Bicicleta,7.9,381.9
5484,Masculino,36-45,Outros,32.9,258.3
5910,Masculino,26-35,Caminhada,43.5,360.8
5911,Feminino,46-60,Musculação,55.7,241.4
5446,Outro,60+,Corrida,30.1,347.1
5569,Masculino,60+,Yoga,41.8,451.6
5276,Masculino,18-25,Corrida,46.6,347.8
5895,Masculino,36-45,Outros,30.0,370.9
5809,Feminino,36-45,Bicicleta,20.3,211.1
5999,Masculino,46-60,Yoga,26.0,407.8
5394,Masculino,18-25,Caminhada,69.6,161.7
5958,Masculino,60+,Yoga,43.6,406.4
5585,Masculino,18-25,Outros,11.9,196.5
5648,Feminino,18-25,Caminhada,32.0,548.8
5686,Feminino,26-35,Outros,60.7,303.6
5559,Feminino,18-25,Musculação,47.6,256.8
5061,Feminino,36-45,Caminhada,64.7,378.1
5676,Masculino,46-60,Yoga,55.3,
5031,Masculino,18-25,Caminhada,71.6,227.2
5543,Outro,26-35,Outros,47.6,454.5
5331,Masculino,26-35,Outros,41.3,449.0
5560,Masculino,18-25,Corrida,49.4,399.4
5777,Feminino,18-25,Outros,25.3,493.9
5365,Outro,18-25,Outros,60.8,
5725,Feminino,46-60,Yoga,62.0,391.1
5991,Feminino,46-60,Bicicleta,55.7,505.9
5466,Masculino,46-60,Musculação,,58.5
5614,Outro,26-35,Bicicleta,-3.8,332.3
5369,Outro,26-35,Corrida,34.2,401.6
5503,Outro,60+,Bicicleta,12.9,252.6
