id_curso,categoria,plataforma,horas_concluidas,avaliacao_usuario
1000,Tecnologia,Outros,20.6,4.0
1001,Tecnologia,Udemy,12.4,2.0
1002,Negócios,edX,5.3,3.0
1003,Design,edX,22.4,3.0
1004,Idiomas,Coursera,16.0,4.0
1005,Negócios,Coursera,17.1,4.0
1006,Tecnologia,Outros,18.6,4.0
1007,Idiomas,edX,25.2,4.0
1008,Design,Udemy,4.7,3.0
1009,Tecnologia,edX,9.7,4.0
1010,Design,Udemy,17.4,4.0
1011,Negócios,Outros,9.4,5.0
1012,Saúde,Udemy,19.6,3.0
1013,Idiomas,Coursera,12.5,3.0
1014,Design,Coursera,9.1,3.0
1015,Negócios,edX,12.6,5.0
1016,Design,Outros,15.9,5.0
1017,Saúde,Coursera,12.7,4.0
1018,Negócios,Alura,10.2,4.0
1019,Tecnologia,Coursera,22.2,4.0
1020,Tecnologia,Alura,32.7,5.0
1021,Idiomas,Outros,20.8,4.0
1022,Saúde,Udemy,12.9,4.0
1023,Tecnologia,Coursera,8.8,4.0
1024,Tecnologia,Outros,14.5,3.0
1025,Saúde,Outros,20.1,4.0
1026,Negócios,Outros,14.4,5.0
1027,Design,Udemy,20.0,5.0
1028,Saúde,edX,12.7,3.0
1029,Saúde,Udemy,17.2,3.0
1030,Saúde,Outros,17.7,4.0
1031,Negócios,Udemy,,3.0
1032,Idiomas,Coursera,16.4,5.0
1033,Saúde,Coursera,7.3,3.0
1034,Idiomas,Outros,22.0,4.0
1035,Idiomas,Alura,19.8,3.0
1036,Tecnologia,Outros,8.8,4.0
1037,Idiomas,Alura,5.8,4.0
1038,Tecnologia,Udemy,22.6,5.0
1039,Idiomas,Coursera,16.9,4.0
1040,Tecnologia,Udemy,17.2,4.0
1041,Design,Udemy,8.5,5.0
1042,Saúde,edX,18.7,2.0
1043,Design,Outros,11.5,4.0
1044,Idiomas,edX,13.9,2.0
1045,Saúde,Udemy,24.6,4.0
1046,Negócios,Alura,14.5,2.0
1047,Design,Udemy,24.0,5.0
1048,Design,Outros,11.5,5.0
1049,Negócios,Alura,11.2,1.0
1050,Negócios,Alura,16.1,4.0
1051,Tecnologia,Outros,12.5,4.0
1052,Negócios,Udemy,14.3,
1053,Saúde,edX,20.3,4.0
1054,Design,Udemy,16.4,3.0
