id_cliente,departamento,forma_envio,tempo_entrega_dias,avaliacao,reembolso
18478,Moda,Expressa,5.2,4.0,Não
16276,Alimentos,Econômica,6.9,4.0,Não
12925,Esporte,Econômica,8.5,1.0,Não
18726,Esporte,Econômica,6.7,2.0,Não
15419,Eletrônicos,Expressa,4.0,3.0,Não
17269,Moda,Econômica,8.3,3.0,Não
13514,Esporte,Expressa,8.7,1.0,Não
11106,Livros,Expressa,12.3,1.0,Sim
14667,Alimentos,Expressa,3.1,5.0,Não
10999,Livros,Econômica,6.2,5.0,Sim
10350,Moda,Econômica,6.0,5.0,Não
10728,Livros,Expressa,6.5,4.0,Não
19536,Eletrônicos,Econômica,4.5,4.0,Não
14055,Eletrônicos,Econômica,3.7,5.0,Não
11302,Livros,Normal,7.3,4.0,Não
11588,Livros,Normal,5.2,5.0,Não
10241,Moda,Normal,2.3,2.0,Não
16525,Beleza,Econômica,9.7,4.0,Sim
19784,Moda,Econômica,8.1,5.0,Sim
10246,Livros,Expressa,10.7,4.0,Não
18790,Livros,Econômica,9.7,4.0,Não
14781,Esporte,Expressa,7.5,4.0,Não
11311,Esporte,Econômica,0.4,,Sim
10849,Alimentos,Expressa,2.4,4.0,Não
14189,Alimentos,Expressa,8.8,5.0,Não
10977,Moda,Normal,10.5,4.0,Não
18744,Esporte,Normal,12.8,3.0,Não
10453,Alimentos,Econômica,9.5,4.0,Não
15575,Esporte,Expressa,18.3,4.0,Não
19586,Livros,Expressa,3.4,4.0,Não
18223,Alimentos,Econômica,8.9,4.0,Não
14893,Beleza,Econômica,9.8,1.0,Não
11296,Beleza,Normal,11.5,2.0,Não
12445,Eletrônicos,Normal,11.6,5.0,Não
11518,Beleza,Econômica,4.4,5.0,Não
11210,Livros,Econômica,10.3,2.0,Não
18302,Esporte,Normal,10.6,4.0,Não
10151,Livros,Expressa,12.8,5.0,Não
10205,Alimentos,Normal,2.6,5.0,Não
18993,Alimentos,Expressa,7.9,2.0,Não
11604,Eletrônicos,Normal,6.8,1.0,Não
14572,Beleza,Expressa,3.5,4.0,Não
19714,Moda,Expressa,,4.0,Não
18329,Eletrônicos,Expressa,3.4,5.0,Não
10082,Alimentos,Normal,12.5,2.0,Não
17768,Beleza,Econômica,3.5,5.0,Não
11525,Livros,Econômica,6.4,5.0,Sim
15297,Moda,Normal,6.4,1.0,Não
13788,Esporte,Econômica,7.5,4.0,Sim
10106,Beleza,Normal,6.8,1.0,Não
10067,Beleza,Normal,4.6,1.0,Sim
14059,Esporte,Econômica,10.2,4.0,Não
10521,Beleza,Normal,6.0,5.0,Não
11802,Beleza,Econômica,,5.0,Não
18640,Beleza,Expressa,1.9,4.0,Sim
16402,Beleza,Normal,5.6,3.0,Não
10558,Beleza,Normal,4.2,4.0,Sim
10625,Moda,Normal,10.1,3.0,Não
19142,Beleza,Expressa,6.1,4.0,Não
13343,Eletrônicos,Normal,9.2,3.0,Não
17409,Alimentos,Normal,12.0,4.0,Não
14900,Alimentos,Econômica,8.5,2.0,Não
19461,Esporte,Normal,5.4,3.0,Sim
11250,Beleza,Normal,8.9,,Não
10824,Eletrônicos,Econômica,5.9,3.0,Não
14150,Eletrônicos,Normal,3.7,4.0,Não
14089,Beleza,Econômica,8.7,4.0,Sim
15622,Alimentos,Expressa,7.2,4.0,Não
13035,Eletrônicos,Normal,4.6,4.0,Não
15815,Livros,Normal,4.8,2.0,Não
12721,Livros,Expressa,7.7,4.0,Não
17020,Eletrônicos,Expressa,0.6,3.0,Não
14389,Eletrônicos,Econômica,2.2,4.0,Não
18734,Livros,Expressa,3.8,1.0,Não
14324,Esporte,Expressa,7.9,4.0,Não
10986,Alimentos,Expressa,2.7,4.0,Não
15556,Beleza,Normal,7.8,,Sim
18363,Esporte,Normal,7.6,3.0,Não
14131,Livros,Normal,3.9,4.0,Não
16077,Alimentos,Expressa,6.1,5.0,Não
15504,Moda,Normal,9.1,4.0,Não
15149,Moda,Econômica,,1.0,Sim
19871,Esporte,Econômica,7.4,4.0,Não
19204,Moda,Expressa,7.0,1.0,Sim
15647,Alimentos,Econômica,8.7,4.0,Não
11790,Esporte,Econômica,11.0,5.0,Não
12151,Beleza,Expressa,4.4,3.0,Não
16473,Alimentos,Econômica,8.2,4.0,Sim
18600,Livros,Expressa,9.2,3.0,Não
17476,Livros,Expressa,11.3,4.0,Não
12290,Beleza,Normal,8.0,5.0,Não
19626,Eletrônicos,Normal,3.9,4.0,Não
15519,Alimentos,Expressa,7.3,5.0,Não
15397,Esporte,Normal,9.3,3.0,Não
11112,Alimentos,Econômica,3.5,4.0,Não
19885,Beleza,Expressa,6.5,5.0,Não
17215,Eletrônicos,Econômica,5.0,2.0,Não
12563,Moda,Expressa,8.5,4.0,Não
14347,Eletrônicos,Normal,3.8,5.0,Não
12163,Alimentos,Normal,3.1,4.0,Não
13599,Beleza,Econômica,10.2,4.0,Não
15904,Esporte,Expressa,11.6,3.0,Não
11943,Livros,Normal,1.8,1.0,Não
15075,Livros,Normal,8.9,5.0,Não
15725,Beleza,Expressa,14.6,4.0,Não
15770,Eletrônicos,Econômica,2.4,2.0,Não
14196,Eletrônicos,Expressa,8.2,2.0,Não
12008,Eletrônicos,Normal,4.6,4.0,Não
16031,Beleza,Econômica,3.9,3.0,Sim
17624,Beleza,Econômica,9.4,2.0,Não
16004,Livros,Normal,7.8,5.0,Não
15712,Moda,Expressa,11.7,3.0,Não
13460,Eletrônicos,Econômica,7.5,3.0,Sim
11493,Livros,Normal,7.0,3.0,Sim
12641,Livros,Expressa,7.4,2.0,Não
10862,Esporte,Normal,6.1,5.0,Não
10559,Livros,Econômica,7.7,3.0,Sim
13739,Livros,Econômica,3.1,4.0,Não
17103,Esporte,Econômica,5.3,4.0,Não
14164,Livros,Expressa,6.9,,Não
17425,Esporte,Normal,8.4,,Não
