id_imovel,cidade,tipo_imovel,mobilhado,area_m2,preco_aluguel
3000,Curitiba,Kitnet,Não,49.5,2403.0
3001,Porto Alegre,Casa,Não,80.8,1352.58
3002,Belo Horizonte,Studio,Não,64.4,2931.24
3003,Curitiba,Kitnet,Não,70.0,1786.92
3004,Recife,Apartamento,Não,52.0,
3005,Belo Horizonte,Kitnet,Sim,37.9,1927.88
3006,Porto Alegre,Apartamento,Não,89.1,2699.8
3007,Belo Horizonte,Studio,Sim,61.5,1373.57
3008,Belo Horizonte,Casa,Sim,75.1,2398.75
3009,São Paulo,Casa,Não,76.6,3324.99
3010,Curitiba,Kitnet,Sim,75.8,
3011,Curitiba,Kitnet,Não,64.5,2608.31
3012,São Paulo,Studio,Sim,68.4,1582.86
3013,Belo Horizonte,Casa,Não,52.8,3035.04
3014,Porto Alegre,Studio,Não,65.4,2315.43
3015,Belo Horizonte,Studio,Não,96.0,3207.47
3016,Rio de Janeiro,Casa,Não,70.7,3219.22
3017,São Paulo,Kitnet,Não,34.4,3980.78
3018,São Paulo,Casa,Não,44.9,2497.2
3019,Belo Horizonte,Studio,Sim,79.6,3681.6
3020,São Paulo,Casa,Não,49.6,2123.79
3021,São Paulo,Apartamento,Não,108.3,3421.69
3022,Curitiba,Casa,Não,56.0,1155.04
3023,Recife,Apartamento,Sim,112.4,2272.93
3024,Recife,Studio,Não,69.4,2119.47
3025,Belo Horizonte,Studio,Sim,81.6,2649.03
3026,Rio de Janeiro,Kitnet,Não,103.8,2013.96
3027,São Paulo,Studio,Não,52.5,3088.02
3028,Curitiba,Kitnet,Sim,48.3,1648.45
3029,São Paulo,Kitnet,Não,75.7,2222.87
3030,Rio de Janeiro,Kitnet,Sim,59.5,2119.07
3031,Belo Horizonte,Casa,Não,77.1,1304.68
3032,Belo Horizonte,Kitnet,Não,48.0,1343.3
3033,Rio de Janeiro,Casa,Não,49.6,1501.08
3034,São Paulo,Kitnet,Não,95.7,3018.42
3035,Porto Alegre,Apartamento,Não,87.9,2470.82
3036,Belo Horizonte,Kitnet,Sim,100.9,
3037,Recife,Casa,Não,77.3,2897.38
3038,Belo Horizonte,Kitnet,Não,29.5,2770.21
3039,São Paulo,Apartamento,Sim,36.7,2293.22
3040,Belo Horizonte,Studio,Sim,52.7,2496.42
3041,Belo Horizonte,Apartamento,Não,101.3,2227.49
