id_participante,genero,idade,evento,dia_semana,avaliacao_evento
8000,Outro,30,Cinema,Segunda,5.0
8001,Outro,38,Festival,Terça,5.0
8002,Outro,54,Festival,Sexta,3.0
8003,Outro,53,Exposição,Segunda,4.0
8004,Masculino,34,Festival,Segunda,5.0
8005,Outro,65,Teatro,Quarta,4.0
8006,Feminino,36,Exposição,Sábado,4.0
8007,Outro,52,Festival,Terça,3.0
8008,Outro,25,Festival,Domingo,3.0
8009,Outro,60,Exposição,Terça,3.0
8010,Feminino,18,Show,Terça,5.0
8011,Masculino,29,Festival,Segunda,4.0
8012,Feminino,41,Exposição,Quinta,4.0
8013,Masculino,23,Show,Sábado,5.0
8014,Masculino,60,Exposição,Quarta,5.0
8015,Outro,56,Cinema,Sexta,4.0
8016,Masculino,52,Exposição,Segunda,5.0
8017,Outro,30,Exposição,Quinta,4.0
8018,Outro,53,Exposição,Quinta,5.0
8019,Feminino,65,Exposição,Domingo,4.0
8020,Outro,16,Teatro,Sexta,3.0
8021,Feminino,38,Cinema,Quinta,5.0
8022,Feminino,64,Festival,Domingo,3.0
8023,Masculino,48,Show,Terça,4.0
8024,Feminino,18,Teatro,Terça,5.0
8025,Masculino,46,Exposição,Domingo,3.0
8026,Masculino,57,Cinema,Quarta,4.0
8027,Feminino,25,Teatro,Quinta,2.0
8028,Feminino,52,Cinema,Sexta,4.0
8029,Outro,67,Show,Domingo,5.0
8030,Masculino,26,Festival,Segunda,4.0
8031,Outro,65,Exposição,Domingo,5.0
8032,Feminino,62,Show,Terça,5.0
8033,Masculino,67,Exposição,Domingo,4.0
8034,Feminino,38,Festival,Sábado,4.0
8035,Outro,46,Teatro,Sexta,4.0
8036,Feminino,36,Festival,Sábado,4.0
8037,Masculino,67,Cinema,Sexta,4.0
8038,Feminino,33,Festival,Quarta,4.0
8039,Outro,27,Festival,Terça,2.0
8040,Feminino,56,Festival,Sábado,3.0
8041,Masculino,22,Cinema,Quarta,4.0
8042,Feminino,66,Festival,Quinta,
8043,Masculino,20,Cinema,Quinta,4.0
8044,Feminino,44,Exposição,Quarta,4.0
8045,Outro,64,Show,Sábado,4.0
8046,Masculino,16,Festival,Sábado,4.0
8047,Masculino,61,Festival,Quarta,2.0
8048,Masculino,57,Cinema,Sábado,2.0
8049,Masculino,61,Exposição,Sexta,4.0
8050,Outro,17,Festival,Quarta,4.0
8051,Feminino,35,Exposição,Sábado,3.0
8052,Feminino,25,Festival,Terça,3.0
8053,Masculino,40,Show,Sexta,3.0
8054,Masculino,59,Festival,Quinta,5.0
8055,Masculino,54,Exposição,Quarta,4.0
8056,Feminino,56,Teatro,Segunda,4.0
8057,Feminino,63,Festival,Quarta,3.0
8058,Feminino,64,Festival,Quarta,4.0
8059,Outro,53,Teatro,Domingo,1.0
8060,Feminino,64,Exposição,Sábado,4.0
8061,Masculino,63,Teatro,Quarta,2.0
8062,Feminino,54,Cinema,Terça,5.0
8063,Outro,37,Festival,Sexta,4.0
8064,Feminino,19,Festival,Quinta,4.0
8065,Outro,27,Cinema,Quarta,5.0
8066,Feminino,32,Festival,Sábado,5.0
8067,Masculino,49,Show,Terça,3.0
8068,Masculino,50,Exposição,Quarta,4.0
8069,Outro,49,Festival,Terça,2.0
8070,Masculino,63,Festival,Quinta,4.0
8071,Masculino,68,Exposição,Sexta,4.0
8072,Masculino,18,Teatro,Segunda,5.0
8073,Feminino,25,Teatro,Sexta,4.0
8074,Masculino,60,Exposição,Domingo,3.0
8075,Outro,28,Festival,Sexta,4.0
8076,Outro,58,Cinema,Quinta,4.0
8077,Feminino,60,Exposição,Domingo,5.0
8078,Masculino,48,Festival,Terça,3.0
8079,Masculino,21,Teatro,Quarta,4.0
8080,Outro,62,Show,Sábado,5.0
8081,Feminino,48,Show,Quarta,
8082,Feminino,58,Teatro,Sexta,4.0
8083,Feminino,21,Teatro,Sexta,3.0
8084,Feminino,46,Cinema,Terça,4.0
8085,Feminino,68,Cinema,Quinta,3.0
8086,Masculino,36,Cinema,Domingo,4.0
8087,Feminino,16,Show,Domingo,5.0
8088,Masculino,61,Teatro,Sábado,4.0
8089,Outro,32,Teatro,Sábado,5.0
8090,Masculino,52,Cinema,Quarta,2.0
8091,Outro,25,Festival,Terça,3.0
8092,Outro,25,Exposição,Segunda,3.0
8093,Outro,56,Cinema,Quinta,2.0
8094,Masculino,67,Show,Sexta,3.0
8095,Outro,46,Exposição,Sábado,5.0
8096,Outro,51,Festival,Quinta,4.0
8097,Masculino,41,Festival,Terça,4.0
8098,Outro,30,Cinema,Sábado,
8099,Outro,63,Teatro,Sábado,4.0
8100,Masculino,17,Show,Terça,4.0
8101,Outro,30,Show,Sexta,
8102,Feminino,39,Exposição,Quarta,3.0
8103,Outro,24,Cinema,Terça,3.0
8104,Feminino,63,Cinema,Quinta,2.0
8105,Masculino,31,Teatro,Terça,5.0
8106,Outro,49,Festival,Quarta,4.0
8107,Outro,21,Cinema,Sábado,3.0
8108,Feminino,53,Show,Segunda,4.0
8109,Feminino,64,Exposição,Domingo,4.0
8110,Masculino,22,Show,Quarta,5.0
8111,Masculino,25,Show,Sexta,4.0
8112,Masculino,30,Cinema,Quarta,3.0
8113,Outro,31,Teatro,Terça,4.0
8114,Masculino,58,Festival,Quinta,5.0
8115,Outro,49,Exposição,Sábado,4.0
8116,Masculino,37,Festival,Domingo,4.0
8117,Outro,17,Cinema,Quarta,4.0
8118,Masculino,63,Festival,Segunda,3.0
8119,Feminino,63,Teatro,Terça,5.0
8120,Feminino,20,Show,Domingo,5.0
8121,Outro,66,Cinema,Quarta,4.0
8122,Masculino,62,Show,Segunda,4.0
8123,Feminino,67,Show,Quinta,2.0
8124,Feminino,60,Festival,Domingo,4.0
8125,Masculino,46,Festival,Domingo,3.0
8126,Outro,26,Cinema,Terça,4.0
8127,Masculino,16,Show,Domingo,5.0
8128,Feminino,54,Cinema,Quarta,4.0
8129,Masculino,60,Teatro,Quinta,4.0
8130,Masculino,65,Exposição,Quinta,2.0
8131,Masculino,63,Festival,Quarta,4.0
8132,Masculino,42,Cinema,Quinta,4.0
8133,Outro,61,Festival,Sábado,4.0
8134,Feminino,19,Show,Segunda,5.0
8135,Feminino,33,Exposição,Quarta,5.0
8136,Outro,24,Festival,Segunda,2.0
8137,Outro,28,Show,Terça,4.0
8138,Outro,25,Cinema,Terça,4.0
8139,Masculino,62,Teatro,Terça,2.0
8140,Outro,56,Cinema,Sexta,4.0
8141,Outro,38,Teatro,Sexta,
8142,Feminino,48,Teatro,Quarta,4.0
8143,Feminino,19,Teatro,Terça,5.0
8144,Feminino,25,Teatro,Domingo,3.0
8145,Feminino,55,Show,Segunda,4.0
8146,Outro,20,Show,Domingo,3.0
8147,Feminino,69,Exposição,Sábado,2.0
8148,Masculino,56,Show,Quarta,4.0
8149,Feminino,16,Festival,Quarta,
