id_cidadao,bairro,genero,idade,servico_acessado,avaliacao_servico
9000,Zona Leste,Masculino,28,Segurança,5.0
9001,Zona Oeste,Feminino,36,Transporte,5.0
9002,Centro,Outro,53,Segurança,5.0
9003,Zona Norte,Masculino,50,Transporte,5.0
9004,Centro,Feminino,54,Transporte,2.0
9005,Zona Oeste,Outro,20,Lazer,4.0
9006,Zona Oeste,Feminino,43,Segurança,4.0
9007,Zona Norte,Masculino,22,Educação,3.0
9008,Zona Leste,Feminino,30,Saúde,4.0
9009,Zona Norte,Masculino,29,Transporte,5.0
9010,Zona Sul,Outro,55,Educação,3.0
9011,Zona Norte,Masculino,30,Transporte,4.0
9012,Centro,Masculino,40,Segurança,3.0
9013,Centro,Feminino,58,Lazer,3.0
9014,Centro,Outro,42,Educação,2.0
9015,Zona Norte,Feminino,60,Educação,1.0
9016,Zona Leste,Masculino,24,Transporte,3.0
9017,Zona Oeste,Feminino,35,Lazer,4.0
9018,Zona Leste,Masculino,48,Educação,5.0
9019,Zona Norte,Feminino,64,Saúde,4.0
9020,Zona Norte,Masculino,42,Saúde,4.0
9021,Zona Sul,Masculino,38,Transporte,3.0
9022,Centro,Outro,31,Segurança,4.0
9023,Zona Norte,Feminino,26,Lazer,3.0
9024,Zona Leste,Feminino,60,Educação,
9025,Zona Leste,Outro,28,Saúde,3.0
9026,Zona Oeste,Outro,66,Lazer,3.0
9027,Zona Sul,Masculino,69,Segurança,2.0
9028,Zona Norte,Masculino,39,Lazer,2.0
9029,Zona Leste,Masculino,23,Segurança,1.0
9030,Zona Norte,Outro,37,Transporte,3.0
9031,Zona Leste,Feminino,41,Lazer,3.0
9032,Zona Norte,Outro,61,Saúde,3.0
9033,Zona Oeste,Outro,64,Saúde,4.0
9034,Centro,Masculino,64,Educação,3.0
9035,Zona Norte,Masculino,46,Segurança,5.0
9036,Zona Norte,Masculino,49,Educação,4.0
9037,Centro,Outro,30,Educação,3.0
9038,Zona Sul,Feminino,20,Educação,4.0
9039,Zona Sul,Outro,57,Lazer,3.0
9040,Zona Oeste,Feminino,68,Segurança,3.0
9041,Centro,Feminino,21,Transporte,4.0
9042,Zona Sul,Outro,45,Lazer,5.0
9043,Zona Leste,Feminino,32,Lazer,3.0
9044,Zona Oeste,Outro,44,Lazer,2.0
9045,Zona Leste,Masculino,43,Segurança,4.0
9046,Zona Norte,Masculino,40,Transporte,3.0
9047,Zona Leste,Outro,26,Educação,3.0
9048,Centro,Outro,22,Segurança,5.0
9049,Zona Sul,Outro,44,Segurança,4.0
9050,Zona Norte,Masculino,55,Lazer,3.0
9051,Centro,Outro,36,Transporte,3.0
9052,Zona Oeste,Outro,59,Lazer,3.0
9053,Zona Sul,Outro,21,Saúde,4.0
9054,Zona Sul,Masculino,30,Lazer,3.0
9055,Zona Leste,Masculino,37,Educação,3.0
9056,Zona Leste,Masculino,49,Transporte,3.0
9057,Zona Leste,Feminino,65,Transporte,2.0
9058,Centro,Outro,62,Saúde,3.0
9059,Zona Sul,Masculino,36,Educação,3.0
9060,Zona Leste,Masculino,69,Educação,2.0
9061,Centro,Outro,20,Saúde,3.0
9062,Zona Sul,Feminino,47,Saúde,5.0
9063,Zona Sul,Masculino,68,Saúde,4.0
9064,Zona Oeste,Masculino,18,Transporte,3.0
9065,Centro,Feminino,19,Segurança,4.0
9066,Zona Sul,Feminino,41,Saúde,3.0
9067,Zona Sul,Outro,36,Educação,5.0
9068,Zona Oeste,Masculino,35,Segurança,2.0
9069,Zona Norte,Feminino,66,Educação,1.0
9070,Zona Leste,Masculino,54,Educação,4.0
9071,Zona Leste,Outro,62,Transporte,3.0
9072,Zona Oeste,Outro,61,Saúde,4.0
9073,Centro,Masculino,49,Transporte,
9074,Centro,Masculino,30,Educação,5.0
9075,Zona Oeste,Outro,42,Saúde,
9076,Zona Sul,Outro,30,Lazer,
9077,Zona Sul,Feminino,47,Segurança,4.0
