data,id_residencia,bairro,consumo_kwh
2024-01-01,1001,Zona Leste,25.68
2024-01-02,1001,Zona Leste,24.64
2024-01-03,1001,Zona Leste,24.23
2024-01-04,1001,Zona Leste,34.81
2024-01-05,1001,Zona Leste,28.47
2024-01-06,1001,Zona Leste,35.46
2024-01-07,1001,Zona Leste,28.48
2024-01-08,1001,Zona Leste,29.88
2024-01-09,1001,Zona Leste,27.51
2024-01-10,1001,Zona Leste,24.79
2024-01-11,1001,Zona Leste,32.52
2024-01-12,1001,Zona Leste,19.94
2024-01-13,1001,Zona Leste,18.28
2024-01-14,1001,Zona Leste,24.25
2024-01-15,1001,Zona Leste,34.02
2024-01-16,1001,Zona Leste,21.3
2024-01-17,1001,Zona Leste,31.41
2024-01-18,1001,Zona Leste,24.79
2024-01-19,1001,Zona Leste,18.08
2024-01-20,1001,Zona Leste,29.34
2024-01-21,1001,Zona Leste,20.08
2024-01-22,1001,Zona Leste,28.08
2024-01-23,1001,Zona Leste,25.03
2024-01-24,1001,Zona Leste,21.23
2024-01-25,1001,Zona Leste,23.88
2024-01-26,1001,Zona Leste,22.83
2024-01-27,1001,Zona Leste,29.18
2024-01-28,1001,Zona Leste,28.59
2024-01-29,1001,Zona Leste,18.47
2024-01-30,1001,Zona Leste,30.2
2024-01-31,1001,Zona Leste,27.54
2024-02-01,1001,Zona Leste,25.52
2024-02-02,1001,Zona Leste,19.65
2024-02-03,1001,Zona Leste,18.03
2024-02-04,1001,Zona Leste,30.62
2024-02-05,1001,Zona Leste,20.83
2024-02-06,1001,Zona Leste,30.84
2024-02-07,1001,Zona Leste,7.46
2024-02-08,1001,Zona Leste,20.72
2024-02-09,1001,Zona Leste,31.33
2024-02-10,1001,Zona Leste,25.79
2024-02-11,1001,Zona Leste,24.25
2024-02-12,1001,Zona Leste,25.63
2024-02-13,1001,Zona Leste,37.26
2024-02-14,1001,Zona Leste,28.08
2024-02-15,1001,Zona Leste,22.63
2024-02-16,1001,Zona Leste,20.87
2024-02-17,1001,Zona Leste,27.65
2024-02-18,1001,Zona Leste,24.41
2024-02-19,1001,Zona Leste,20.44
2024-02-20,1001,Zona Leste,22.56
2024-02-21,1001,Zona Leste,30.41
2024-02-22,1001,Zona Leste,28.57
2024-02-23,1001,Zona Leste,28.65
2024-02-24,1001,Zona Leste,19.44
2024-02-25,1001,Zona Leste,24.73
2024-02-26,1001,Zona Leste,26.92
2024-02-27,1001,Zona Leste,23.33
2024-02-28,1001,Zona Leste,32.34
2024-02-29,1001,Zona Leste,27.17
2024-03-01,1001,Zona Leste,28.85
2024-03-02,1001,Zona Leste,24.3
2024-03-03,1001,Zona Leste,23.23
2024-03-04,1001,Zona Leste,38.72
2024-03-05,1001,Zona Leste,28.42
2024-03-06,1001,Zona Leste,24.3
2024-03-07,1001,Zona Leste,25.67
2024-03-08,1001,Zona Leste,28.65
2024-03-09,1001,Zona Leste,29.32
2024-03-10,1001,Zona Leste,22.96
2024-03-11,1001,Zona Leste,24.84
2024-03-12,1001,Zona Leste,30.16
2024-03-13,1001,Zona Leste,24.31
2024-03-14,1001,Zona Leste,22.46
2024-03-15,1001,Zona Leste,24.45
2024-03-16,1001,Zona Leste,23.21
2024-03-17,1001,Zona Leste,26.27
2024-03-18,1001,Zona Leste,24.72
2024-03-19,1001,Zona Leste,30.02
2024-03-20,1001,Zona Leste,18.19
2024-03-21,1001,Zona Leste,16.45
2024-03-22,1001,Zona Leste,23.68
2024-03-23,1001,Zona Leste,23.17
2024-03-24,1001,Zona Leste,22.93
2024-03-25,1001,Zona Leste,27.95
2024-03-26,1001,Zona Leste,29.73
2024-03-27,1001,Zona Leste,28.97
2024-03-28,1001,Zona Leste,28.05
2024-03-29,1001,Zona Leste,25.7
2024-03-30,1001,Zona Leste,32.52
2024-03-31,1001,Zona Leste,27.23
2024-04-01,1001,Zona Leste,20.33
2024-04-02,1001,Zona Leste,18.96
2024-04-03,1001,Zona Leste,18.66
2024-04-04,1001,Zona Leste,36.68
2024-04-05,1001,Zona Leste,24.62
2024-04-06,1001,Zona Leste,18.77
2024-04-07,1001,Zona Leste,25.41
2024-04-08,1001,Zona Leste,27.28
2024-04-09,1001,Zona Leste,25.82
