id_aluno,idade,nivel_educacional,horas_disponiveis_semana,interesse_tecnologia
1001,25,Pós,4.4,Alto
1002,41,Técnico,5.6,Baixo
1003,20,Técnico,9.0,Baixo
1004,24,Pós,4.3,Médio
1005,40,Técnico,13.8,Médio
1006,32,Técnico,9.9,Médio
1007,33,Técnico,13.6,Alto
1008,27,Pós,13.0,Médio
1009,37,Médio,4.0,Médio
1010,19,Médio,5.2,Alto
1011,38,Superior,15.2,Médio
1012,19,Superior,13.8,Médio
1013,19,Técnico,5.1,Baixo
1014,31,Médio,9.4,Médio
1015,19,Pós,4.0,Baixo
1016,34,Médio,10.4,Alto
1017,33,Pós,13.0,Médio
1018,41,Médio,11.7,Médio
1019,32,Superior,4.3,Médio
1020,21,Médio,7.4,Médio
1021,28,Técnico,13.1,Alto
1022,43,Médio,8.2,Baixo
1023,33,Superior,18.3,Alto
1024,44,Médio,8.6,Alto
1025,26,Técnico,7.5,Alto
1026,39,Superior,13.1,Alto
1027,19,Técnico,10.8,Alto
1028,44,Pós,8.6,Baixo
1029,29,Médio,19.2,Médio
1030,21,Médio,9.3,Baixo
1031,18,Técnico,11.9,Médio
1032,30,Técnico,11.1,Médio
1033,38,Pós,8.7,Médio
1034,36,Médio,5.4,Médio
1035,21,Técnico,16.8,Alto
1036,21,Médio,7.1,Alto
1037,44,Superior,14.4,Médio
1038,44,Médio,9.1,Médio
1039,20,Superior,10.0,Alto
1040,24,Médio,7.8,Alto
1041,34,Técnico,13.0,Médio
1042,32,Pós,3.6,Médio
1043,18,Superior,17.8,Alto
1044,31,Superior,4.2,Baixo
1045,40,Pós,10.5,Baixo
1046,24,Superior,13.8,Baixo
1047,44,Superior,1.9,Médio
1048,33,Superior,9.7,Médio
1049,19,Técnico,11.2,Baixo
1050,42,Médio,3.3,Baixo
1051,26,Técnico,10.9,Alto
1052,36,Superior,7.3,Baixo
1053,19,Pós,9.5,Baixo
1054,38,Técnico,18.0,Baixo
1055,44,Médio,12.1,Alto
1056,41,Médio,9.9,Médio
1057,31,Médio,8.3,Baixo
1058,34,Técnico,4.6,Alto
1059,33,Superior,7.9,Baixo
1060,32,Médio,9.1,Médio
1061,24,Superior,11.7,Baixo
1062,30,Superior,5.6,Médio
1063,23,Pós,14.9,Baixo
1064,29,Superior,9.1,Baixo
1065,35,Superior,7.2,Alto
1066,17,Pós,7.6,Alto
1067,41,Técnico,12.9,Baixo
1068,19,Superior,11.7,Baixo
1069,38,Pós,17.1,Alto
1070,27,Técnico,12.1,Alto
1071,34,Técnico,14.7,Alto
1072,25,Superior,18.3,Baixo
1073,30,Superior,8.2,Baixo
1074,27,Técnico,12.6,Alto
1075,34,Médio,9.3,Baixo
1076,38,Superior,14.1,Alto
1077,21,Técnico,7.6,Médio
1078,35,Superior,16.3,Médio
1079,25,Pós,12.4,Médio
1080,44,Médio,6.4,Alto
1081,44,Técnico,12.4,Alto
1082,36,Superior,8.3,Médio
1083,38,Superior,10.4,Alto
1084,31,Técnico,15.2,Alto
1085,17,Superior,15.6,Alto
1086,30,Técnico,3.1,Baixo
1087,42,Técnico,11.2,Alto
1088,29,Técnico,8.6,Alto
1089,27,Técnico,12.1,Baixo
1090,20,Superior,8.5,Baixo
1091,23,Pós,11.9,Médio
1092,20,Médio,4.3,Alto
1093,37,Superior,11.6,Baixo
1094,32,Pós,6.7,Baixo
1095,27,Técnico,11.7,Alto
1096,40,Médio,9.4,Baixo
1097,39,Superior,15.0,Baixo
1098,32,Médio,16.7,Baixo
1099,20,Superior,7.4,Médio
1100,26,Pós,23.9,Baixo
1101,33,Técnico,11.6,Alto
1102,37,Pós,11.3,Baixo
1103,28,Pós,8.8,Alto
1104,21,Médio,4.3,Alto
1105,22,Superior,7.5,Alto
1106,24,Técnico,9.6,Médio
1107,23,Superior,13.8,Alto
1108,39,Técnico,6.1,Alto
1109,19,Técnico,5.6,Baixo
1110,27,Técnico,9.0,Baixo
1111,37,Superior,7.6,Médio
1112,35,Técnico,6.1,Baixo
1113,30,Médio,10.4,Alto
1114,40,Pós,7.6,Médio
1115,29,Médio,14.5,Alto
1116,18,Pós,13.7,Alto
1117,43,Superior,0.9,Médio
1118,23,Pós,8.6,Baixo
1119,27,Pós,9.3,Alto
1120,39,Superior,14.9,Baixo
1121,17,Médio,7.5,Baixo
1122,43,Superior,8.9,Alto
1123,40,Técnico,14.6,Baixo
1124,19,Médio,14.6,Baixo
1125,36,Superior,12.8,Médio
1126,38,Técnico,4.9,Médio
1127,21,Médio,16.1,Baixo
1128,35,Médio,9.3,Alto
1129,21,Técnico,8.5,Baixo
1130,20,Técnico,11.8,Baixo
1131,40,Pós,15.8,Baixo
1132,26,Superior,11.0,Baixo
1133,33,Superior,9.8,Alto
1134,33,Pós,13.3,Alto
1135,38,Técnico,19.2,Baixo
1136,42,Médio,6.2,Médio
1137,39,Superior,10.4,Médio
1138,23,Técnico,20.2,Alto
1139,22,Superior,11.6,Alto
1140,23,Médio,2.5,Baixo
1141,43,Pós,15.1,Baixo
1142,37,Médio,8.2,Alto
1143,43,Técnico,4.9,Médio
1144,24,Técnico,12.5,Baixo
1145,28,Técnico,8.8,Médio
1146,36,Pós,8.4,Médio
1147,42,Superior,7.9,Médio
1148,19,Pós,13.3,Baixo
1149,36,Superior,10.1,Baixo
1150,41,Pós,16.1,Baixo
